"deferred_id","target_object_id","disposition","candidate_fact_count","candidate_fact_ids","boundary_check","notes"
"DEF-M2GA-AIF1-01","OBJ-AWS-INFERENTIA1-CHIP","split_into_candidate_facts","1","FACT-M2W2-AWS-INF1-NCV1-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF1-02","OBJ-AWS-INFERENTIA1-CHIP","split_into_candidate_facts","2","FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK|FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF1-03","OBJ-AWS-INFERENTIA1-CHIP","split_into_candidate_facts","2","FACT-M2W2-AWS-INF1-DRAM-CAPACITY|FACT-M2W2-AWS-INF1-DRAM-BW","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF1-04","OBJ-AWS-INFERENTIA1-CHIP","split_into_candidate_facts","3","FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16|FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE|FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN1-01","OBJ-AWS-TRAINIUM1-CHIP","split_into_candidate_facts","1","FACT-M2W2-AWS-TRN1-NCV2-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN1-02","OBJ-AWS-TRAINIUM1-CHIP","split_into_candidate_facts","3","FACT-M2W2-AWS-TRN1-CHIP-INT8-PEAK|FACT-M2W2-AWS-TRN1-CHIP-MIXED-PEAK|FACT-M2W2-AWS-TRN1-CHIP-FP32-PEAK","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN1-03","OBJ-AWS-TRAINIUM1-CHIP","split_into_candidate_facts","3","FACT-M2W2-AWS-TRN1-HBM-CAPACITY|FACT-M2W2-AWS-TRN1-HBM-BW-GIB|FACT-M2W2-AWS-TRN1-HBM-BW-GB","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN1-04","OBJ-AWS-TRAINIUM1-CHIP","split_into_candidate_facts","3","FACT-M2W2-AWS-TRN1-DMA-BW|FACT-M2W2-AWS-TRN1-DMA-COUNT|FACT-M2W2-AWS-TRN1-CC-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN1-05","OBJ-AWS-TRAINIUM1-CHIP","split_into_candidate_facts","1","FACT-M2W2-AWS-TRN1-NEURONLINK-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF2-01","OBJ-AWS-INFERENTIA2-CHIP","split_into_candidate_facts","1","FACT-M2W2-AWS-INF2-NCV2-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF2-02","OBJ-AWS-INFERENTIA2-CHIP","split_into_candidate_facts","3","FACT-M2W2-AWS-INF2-CHIP-INT8-PEAK|FACT-M2W2-AWS-INF2-CHIP-MIXED-PEAK|FACT-M2W2-AWS-INF2-CHIP-FP32-PEAK","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF2-03","OBJ-AWS-INFERENTIA2-CHIP","split_into_candidate_facts","3","FACT-M2W2-AWS-INF2-HBM-CAPACITY|FACT-M2W2-AWS-INF2-HBM-BW-GIB|FACT-M2W2-AWS-INF2-HBM-BW-GB","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF2-04","OBJ-AWS-INFERENTIA2-CHIP","split_into_candidate_facts","3","FACT-M2W2-AWS-INF2-DMA-BW|FACT-M2W2-AWS-INF2-DMA-COUNT|FACT-M2W2-AWS-INF2-CC-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-AIF2-05","OBJ-AWS-INFERENTIA2-CHIP","split_into_candidate_facts","1","FACT-M2W2-AWS-INF2-NEURONLINK-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN3-01","OBJ-AWS-TRAINIUM3-CHIP","split_into_candidate_facts","1","FACT-M2W2-AWS-TRN3-NCV4-COUNT","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN3-02","OBJ-AWS-TRAINIUM3-CHIP","split_into_candidate_facts","5","FACT-M2W2-AWS-TRN3-CHIP-MX-PEAK|FACT-M2W2-AWS-TRN3-CHIP-MIXED-PEAK|FACT-M2W2-AWS-TRN3-CHIP-SPARSE-PEAK|FACT-M2W2-AWS-TRN3-CHIP-FP32-PEAK|FACT-M2W2-AWS-TRN3-CHIP-FP8-GENERIC","package_only","已拆为五条原子事实；A08 generic FP8 固定定值与 A06 MXFP8/MXFP4 分开，未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN3-03","OBJ-AWS-TRAINIUM3-CHIP","split_into_candidate_facts","6","FACT-M2W2-AWS-TRN3-NCV4-TENSOR-MX|FACT-M2W2-AWS-TRN3-NCV4-TENSOR-MIXED|FACT-M2W2-AWS-TRN3-NCV4-TENSOR-FP32|FACT-M2W2-AWS-TRN3-NCV4-VECTOR-FP32|FACT-M2W2-AWS-TRN3-NCV4-SCALAR-FP32|FACT-M2W2-AWS-TRN3-NCV4-TENSOR-CLOCK","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
"DEF-M2GA-ATRN3-04","OBJ-AWS-TRAINIUM3-CHIP","split_into_candidate_facts","2","FACT-M2W2-AWS-TRN3-SBUF-CAPACITY|FACT-M2W2-AWS-TRN3-PSUM-CAPACITY","package_only","已按原子字段拆分；未复制 architecture 机制、实例总量或系统聚合量。"
