"mapping_id","card_id","card_path","card_section","owner_object_id","fact_id","assertion_ids","source_ids","mapping_role","formal_resolution_state","formal_review_status","notes"
"MAP-M2W2-TRN2INST-3XL-CHIP-QTY","AWS_EC2_trn2.3xlarge_实例卡","cards/AWS_EC2_trn2.3xlarge_实例卡.md","1. 对象和范围","OBJ-AWS-TRN2-3XLARGE","FACT-AWS-TRN2-3XL-CHIP-QTY","ASSERT-FACT-AWS-TRN2-3XL-CHIP-QTY-S06","SRC-AWS-TRN2-S06","adopted_direct","provisional","reviewed","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-3XL-EFA-RATE","AWS_EC2_trn2.3xlarge_实例卡","cards/AWS_EC2_trn2.3xlarge_实例卡.md","8. 互联和系统扩展","OBJ-AWS-TRN2-3XLARGE","FACT-AWS-TRN2-3XL-EFA-RATE","ASSERT-FACT-AWS-TRN2-3XL-EFA-RATE-S07","SRC-AWS-TRN2-S07","adopted_direct","provisional","reviewed","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-3XL-MEM-CAP","AWS_EC2_trn2.3xlarge_实例卡","cards/AWS_EC2_trn2.3xlarge_实例卡.md","5. 存储层次","OBJ-AWS-TRN2-3XLARGE","FACT-AWS-TRN2-3XL-MEM-CAP","ASSERT-FACT-AWS-TRN2-3XL-MEM-CAP-S07","SRC-AWS-TRN2-S07","current_conflict_member","conflict_member","needs_resolution","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-3XL-MEM-CAP-GENERIC","AWS_EC2_trn2.3xlarge_实例卡","cards/AWS_EC2_trn2.3xlarge_实例卡.md","10. 冲突与待核","OBJ-AWS-TRN2-3XLARGE","FACT-AWS-TRN2-3XL-MEM-CAP-GENERIC","ASSERT-FACT-AWS-TRN2-3XL-MEM-CAP-GENERIC-S15","SRC-AWS-TRN2-S15","rejected_conflict_evidence","conflict_member","needs_resolution","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-48XL-BF16-DENSE","AWS_EC2_trn2.48xlarge_实例卡","cards/AWS_EC2_trn2.48xlarge_实例卡.md","3. 计算资源","OBJ-AWS-TRN2-48XLARGE","FACT-AWS-TRN2-48XL-BF16-DENSE","ASSERT-FACT-AWS-TRN2-48XL-BF16-DENSE-S06","SRC-AWS-TRN2-S06","adopted_direct","provisional","reviewed","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-48XL-BF16-SPARSE","AWS_EC2_trn2.48xlarge_实例卡","cards/AWS_EC2_trn2.48xlarge_实例卡.md","3. 计算资源","OBJ-AWS-TRN2-48XLARGE","FACT-AWS-TRN2-48XL-BF16-SPARSE","ASSERT-FACT-AWS-TRN2-48XL-BF16-SPARSE-S06","SRC-AWS-TRN2-S06","current_conflict_member","conflict_member","needs_resolution","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-48XL-BF16-SPARSE-HIST2024","AWS_EC2_trn2.48xlarge_实例卡","cards/AWS_EC2_trn2.48xlarge_实例卡.md","3. 计算资源；10. 冲突与待核","OBJ-AWS-TRN2-48XLARGE","FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024","ASSERT-FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024-S10","SRC-AWS-TRN2-S10","historical_conflict_evidence","conflict_member","needs_resolution","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-48XL-CHIP-QTY","AWS_EC2_trn2.48xlarge_实例卡","cards/AWS_EC2_trn2.48xlarge_实例卡.md","1. 对象和范围","OBJ-AWS-TRN2-48XLARGE","FACT-AWS-TRN2-48XL-CHIP-QTY","ASSERT-FACT-AWS-TRN2-48XL-CHIP-QTY-S06","SRC-AWS-TRN2-S06","adopted_direct","provisional","reviewed","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-48XL-EFA-RATE","AWS_EC2_trn2.48xlarge_实例卡","cards/AWS_EC2_trn2.48xlarge_实例卡.md","8. 互联和系统扩展","OBJ-AWS-TRN2-48XLARGE","FACT-AWS-TRN2-48XL-EFA-RATE","ASSERT-FACT-AWS-TRN2-48XL-EFA-RATE-S07","SRC-AWS-TRN2-S07","adopted_direct","provisional","reviewed","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
"MAP-M2W2-TRN2INST-48XL-FP16-DENSE","AWS_EC2_trn2.48xlarge_实例卡","cards/AWS_EC2_trn2.48xlarge_实例卡.md","3. 计算资源","OBJ-AWS-TRN2-48XLARGE","FACT-AWS-TRN2-48XL-FP16-DENSE","ASSERT-FACT-AWS-TRN2-48XL-FP16-DENSE-S06","SRC-AWS-TRN2-S06","adopted_direct","provisional","reviewed","复用正式事实与断言；staging facts/fact-assertions 不复制此行"
