"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2NA-0002","REQ-M2NA-GAP-0006","2026-08-12","Field-specific review for FIELD-DER-MATRIX-VECTOR on object:OBJ-NVIDIA-AMPERE-ARCH; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-DER-MATRIX-VECTOR on object:OBJ-NVIDIA-AMPERE-ARCH was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0019","REQ-M2NA-GAP-0059","2026-08-12","Field-specific review for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP16; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP16 was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0020","REQ-M2NA-GAP-0060","2026-08-12","Field-specific review for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-BF16; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-BF16 was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0021","REQ-M2NA-GAP-0061","2026-08-12","Field-specific review for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-TF32; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-TF32 was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0022","REQ-M2NA-GAP-0062","2026-08-12","Field-specific review for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP64; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP64 was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0023","REQ-M2NA-GAP-0063","2026-08-12","Field-specific review for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-INT8; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-INT8 was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0064","REQ-M2NA-GAP-0109","2026-08-12","Field-specific review for FIELD-MEM-READ-BW on component:COMP-M2NA-AMPERE-REG; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-MEM-READ-BW on component:COMP-M2NA-AMPERE-REG was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0065","REQ-M2NA-GAP-0110","2026-08-12","Field-specific review for FIELD-MEM-WRITE-BW on component:COMP-M2NA-AMPERE-REG; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-MEM-WRITE-BW on component:COMP-M2NA-AMPERE-REG was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0066","REQ-M2NA-GAP-0111","2026-08-12","Field-specific review for FIELD-MEM-READ-BW on component:COMP-M2NA-AMPERE-L1SMEM; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-MEM-READ-BW on component:COMP-M2NA-AMPERE-L1SMEM was accepted from the explicitly enumerated search-result sources."
"SEARCH-M2NA-0067","REQ-M2NA-GAP-0112","2026-08-12","Field-specific review for FIELD-MEM-WRITE-BW on component:COMP-M2NA-AMPERE-L1SMEM; explicitly checked sources: SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_whitepaper","no_reliable_result","m2_arch_nvidia_amd","draft","No condition-complete value for FIELD-MEM-WRITE-BW on component:COMP-M2NA-AMPERE-L1SMEM was accepted from the explicitly enumerated search-result sources."
