"error_id","stage","classification","symptom","disposition","formal_impact"
"E01","package_aggregate_probe","model_operator_error","PowerShell 5.1 lacks SHA256.HashData and Convert.ToHexString","Recomputed with SHA256.Create and BitConverter","0"
"E02","checkpoint_command","model_operator_error","Missing closing parenthesis in a long PowerShell expression","Replaced with a dedicated short script","0"
"E03","checkpoint_script_write","model_operator_error","Outer JavaScript string was terminated by PowerShell backticks","Removed backticks from the wrapper and rewrote the call","0"
"E04","checkpoint_script_run","model_operator_error","UTF-8 without BOM was misdecoded by Windows PowerShell 5.1","Rewrote the helper script as UTF-8 with BOM","0"
"E05","report_skeleton_write","model_operator_error","Markdown backticks terminated the outer tool-call string","Wrote the skeleton without inline-code delimiters","0"
"E06","dependency_search","model_operator_error","PowerShell expanded variables inside a double-quoted rg pattern","Repeated the search with fixed single-quoted strings","0"
"E07","sandbox_copy","model_operator_error","A wildcard was passed to Copy-Item -LiteralPath and copied zero files","Enumerated source children and copied each explicit path","0"
"E08","nested_positive_rehearsal","model_operator_error","Deep mirror path exceeded Windows PowerShell 5.1 path handling before candidate writes","Abandoned the nested root; no target changes occurred","0"
"E09","short_root_positive_rehearsal","model_operator_error","Executor temporary directory still made endpoint paths too long","Transaction reported rollback succeeded; temp and lock counts returned to zero","0"
"E10","short_alias_rehearsal","model_operator_error","Resolve-Path expanded the 8.3 alias back to the long package path","Transaction reported rollback succeeded; used a mapped drive in one process","0"
"E11","mapped_drive_launch","tool_runtime_environment","A mapped drive created in one tool process was not visible in a later process","Created, used, verified, and removed the mapping in one tool process","0"
"E12","hash_summary","model_operator_error","Statement-form foreach was piped directly and caused an empty-pipeline parse error","Materialized the result array before formatting","0"
