"candidate_key","record_kind","proposed_source_family_id","proposed_source_id","proposed_endpoint_id","parent_source_id","relationship_or_dedup","canonical_title","source_type","source_authority","source_status","publication_date_for_formal","version_label","content_fingerprint_for_formal","endpoint_type","endpoint_url","staged_or_existing_local_path","byte_count","sha256","page_count_or_html_title","fixedness","object_scope","source_level_screening_status","proposed_selected_role","proposed_selection_run_id","in_provisional_minimum_set","reverse_removal_condition","review_status","notes"
"CAND-GA100-WP-2020","existing_source_reuse","SFAM-M2NA-NVIDIA-AMPERE-WP-2020","SRC-M2NA-NVIDIA-AMPERE-WP-2020","END-M2NA-NVIDIA-AMPERE-WP-2020-LOCAL","","Existing formal family, source, and local endpoint; no new source row.","NVIDIA A100 Tensor Core GPU Architecture","architecture_whitepaper","first_party","current","","v1.0","sha256:3a800ad7668ec37037fa5870a8e3bb681b75f19668b3d11492ab9b0da0d58815","local_pdf","","论文/NVIDIA_GPU/90_官方白皮书与技术资料/2020_NVIDIA_A100_Architecture_Whitepaper.pdf","7979890","3a800ad7668ec37037fa5870a8e3bb681b75f19668b3d11492ab9b0da0d58815","82","fixed and formally registered","GA100 die direct facts plus Ampere architecture reuse; separate full GA100 from A100 enabled SKU","selected","core_spec","SELRUN-GA100-DIE-20260821-PROVISIONAL","yes","Required if the final GA100 set retains direct naming, N7, area, transistor, full-design resource, or A100-enabled-boundary facts.","draft","Reuse only. Existing source review_status is draft; this candidate does not change it."
"CAND-GA100-ISSCC-2021-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-A100-ISSCC-2021","SRC-NVIDIA-A100-ISSCC-2021","END-NVIDIA-A100-ISSCC-2021-LOCAL","","New architecture-paper family and its fixed local content version.","The A100 Datacenter GPU and Ampere Architecture","architecture_paper","first_party","current","","ISSCC 2021; DOI 10.1109/ISSCC42613.2021.9365803","sha256:55765d2680678ba46045da1902496ddd3995d5964a5f0ef68a99362e2c43b601","local_pdf","","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_A100_Datacenter_GPU_Ampere_ISSCC.pdf","463828","55765d2680678ba46045da1902496ddd3995d5964a5f0ef68a99362e2c43b601","3","fixed local PDF; venue year is known but exact formal publication_date is not filled","A100 die facts require the existing whitepaper or MIG identity chain to map them to GA100 die","selected","core_spec","SELRUN-GA100-DIE-20260821-PROVISIONAL","yes","Required if the final set retains the independent fixed implementation summary or die-photo cross-check; 54B must remain its own rounded assertion.","draft","Do not record 108 SM, 40 MB L2, HBM, clocks, or peak values as unconditional full-GA100 facts."
"CAND-GA100-ISSCC-2021-DOI","new_endpoint_only","SFAM-NVIDIA-A100-ISSCC-2021","SRC-NVIDIA-A100-ISSCC-2021","END-NVIDIA-A100-ISSCC-2021-DOI","SRC-NVIDIA-A100-ISSCC-2021","Publisher landing endpoint for the same fixed local ISSCC source; not another source.","The A100 Datacenter GPU and Ampere Architecture","architecture_paper","first_party","current","","ISSCC 2021; DOI 10.1109/ISSCC42613.2021.9365803","same content fingerprint as local PDF","doi_landing","https://doi.org/10.1109/ISSCC42613.2021.9365803","","","","DOI landing","stable persistent-work endpoint; content bytes not captured here","same as parent source","selected","core_spec","SELRUN-GA100-DIE-20260821-PROVISIONAL","yes","Same as the local endpoint; DOI alone must not be counted as additional support.","draft","Retain the resolved publisher URL and access date at formal merge."
"CAND-GA100-IEEE-MICRO-2021-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-A100-IEEE-MICRO-2021","SRC-NVIDIA-A100-IEEE-MICRO-2021","END-NVIDIA-A100-IEEE-MICRO-2021-LOCAL","","New IEEE Micro article family and fixed standalone article version.","NVIDIA A100 Tensor Core GPU: Performance and Innovation","architecture_paper","first_party","current","2021-02-23","IEEE Micro 41(2); article current version 2021-03-26; DOI 10.1109/MM.2021.3061394","sha256:96a0f9053da3c3978f907ee1fee324913bd6b600fec96137738b407e400d700d","local_pdf","","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_NVIDIA_A100_Tensor_Core_GPU_Performance_and_Innovation.pdf","3058075","96a0f9053da3c3978f907ee1fee324913bd6b600fec96137738b407e400d700d","7","fixed local PDF","A100 enabled implementation and Ampere mechanisms; no direct GA100 codename","lead_only","architecture_mechanism","SELRUN-GA100-DIE-20260821-PROVISIONAL","no","Promote only if final facts retain the CUDA API to L2 pattern-gated Compute Data Compression chain and no fixed CUDA document covers it.","draft","Most physical, peak, NVLink, MIG, and async-copy claims are covered more completely by the whitepaper."
"CAND-GA100-IEEE-MICRO-2021-DOI","new_endpoint_only","SFAM-NVIDIA-A100-IEEE-MICRO-2021","SRC-NVIDIA-A100-IEEE-MICRO-2021","END-NVIDIA-A100-IEEE-MICRO-2021-DOI","SRC-NVIDIA-A100-IEEE-MICRO-2021","Persistent DOI endpoint for the same article.","NVIDIA A100 Tensor Core GPU: Performance and Innovation","architecture_paper","first_party","current","2021-02-23","IEEE Micro 41(2); DOI 10.1109/MM.2021.3061394","same content fingerprint as local PDF","doi_landing","https://doi.org/10.1109/MM.2021.3061394","","","","DOI landing","stable persistent-work endpoint; content bytes not captured here","same as parent source","lead_only","architecture_mechanism","SELRUN-GA100-DIE-20260821-PROVISIONAL","no","Same as the local endpoint.","draft","Not independent from NVIDIA whitepaper or ISSCC authorship."
"CAND-GA100-IEEE-MICRO-2021-FULL-ISSUE","duplicate_container_endpoint","","","END-NVIDIA-A100-IEEE-MICRO-2021-FULL-ISSUE-CONTAINER","SRC-NVIDIA-A100-IEEE-MICRO-2021","The A100 article at full-issue PDF pp.31-37 is byte-identical to the standalone 7-page article; it is a container only.","IEEE Micro 41(2) full issue containing NVIDIA A100 Tensor Core GPU: Performance and Innovation","other","peer_reviewed","current","","41(2) full issue","sha256:30b20043ef9d8f36e77f7ff397110088987a4c815aa67077cf7ce7854441bdae","local_pdf","","论文/NVIDIA_GPU/90_官方白皮书与技术资料/2021_IEEE_Micro_41_2_full_issue_source.pdf","","30b20043ef9d8f36e77f7ff397110088987a4c815aa67077cf7ce7854441bdae","92","fixed local container","Only pp.31-37 duplicate the parent article; remaining issue is unrelated to GA100","","","","no","Never creates a second content version, source, assertion, or selection member; retain only for article recovery or page context.","draft","redundant_covered is the endpoint-container disposition, not source screening; article-page byte equivalence has been checked by prior differential reading."
"CAND-GA100-HPEC22-ARXIV-V1-LOCAL","new_source_and_endpoint","SFAM-NVIDIA-AMPERE-MICROBENCH-2022","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","END-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-LOCAL","","Fixed arXiv v1 content version; the related HPEC publication is not yet proven content-equivalent.","Demystifying the NVIDIA Ampere Architecture through Microbenchmarking and Instruction-level Analysis","microbenchmark","independent_measurement","current","2022-08-23","arXiv:2208.11174v1; HPEC 2022 publication relation unverified","sha256:86013d806532a281e7878415cc1a55aa426f8fbd8ae0e9dc02285882fbdd8227","local_pdf","","论文/NVIDIA_GPU/02_独立逆向与微基准/2022_Demystifying_NVIDIA_Ampere_Architecture.pdf","285169","86013d806532a281e7878415cc1a55aa426f8fbd8ae0e9dc02285882fbdd8227","8","fixed local preprint","A100-family test object; exact SKU, CUDA, driver, frequency, power, and final publisher-version equivalence are not reported","selected","independent_validation","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Required only if final facts retain a valid PTX-to-SASS mapping, dense WMMA Tile, or condition-labeled L1/L2/shared-memory cycle measurement.","draft","Do not use background 124 SM, product identity, or unqualified A100 performance values."
"CAND-GA100-HPEC22-ARXIV-V1-REMOTE","new_endpoint_only","SFAM-NVIDIA-AMPERE-MICROBENCH-2022","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","END-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-ARXIV","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","arXiv endpoint for the local v1; not a publisher-final endpoint.","Demystifying the NVIDIA Ampere Architecture through Microbenchmarking and Instruction-level Analysis","microbenchmark","independent_measurement","current","2022-08-23","arXiv:2208.11174v1","same content fingerprint as local PDF","pdf_direct","https://arxiv.org/pdf/2208.11174","","","","arXiv PDF","fixed local v1 is the evidence copy","same as parent source","selected","independent_validation","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Same as the local endpoint.","draft","The publisher DOI 10.1109/HPEC55821.2022.9926299 remains a separate, unverified related-version lead."
"CAND-GA100-HPEC22-PUBLISHER-VERSION-LEAD","lead_not_registered","SFAM-NVIDIA-AMPERE-MICROBENCH-2022","","","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","Related HPEC publication identity only; do not attach its DOI to the arXiv v1 source until content equivalence is checked.","Demystifying the NVIDIA Ampere Architecture through Microbenchmarking and Instruction-level Analysis","microbenchmark","peer_reviewed","pending_verification","","HPEC 2022; DOI 10.1109/HPEC55821.2022.9926299","pending publisher-version comparison","doi_landing","https://doi.org/10.1109/HPEC55821.2022.9926299","","","","HPEC publisher landing","unfixed for this task","Related venue record, not a confirmed content version","lead_only","","","no","No selection role until a legal fixed publisher copy is compared to arXiv v1.","draft","No download is proposed in this task."
"CAND-GA100-HPEC22-TABLEIII-UNIT","claim_rejection","SFAM-NVIDIA-AMPERE-MICROBENCH-2022","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","","","Claim-level rejection only; it does not reject the source's instruction and latency observations.","Table III throughput-unit normalization","microbenchmark","independent_measurement","current","2022-08-23","arXiv:2208.11174v1","same content fingerprint as parent","other","","","","","PDF p.6 Table III","fixed source but conflicting reported unit","A100-family measured claim","selected","independent_validation","SELRUN-GA100-DIE-20260821-PROVISIONAL","conditional","Do not replace the reported GB/s label with TFLOPS/TOPS without a stronger correction source.","draft","rejected_unreliable is the claim disposition, not source screening; keep the original table only as an auditable rejected claim."
