"screening_id","source_id","screening_status","rationale","full_text_read_status","screened_by","screened_date","screening_fingerprint","review_status","notes"
"SCR-GROQ-ISCA2020","SRC-GROQ-TSP-ISCA2020","selected","第一代架构、数值、存储和 C2C 的最强固定原始来源","full_text_read","M2-GHC-ARCH","2026-08-12","groq-isca2020|selected|2026-08-12","draft","全 14 页检查"
"SCR-GROQ-BRIEF-V17","SRC-GROQ-GROQCHIP-BRIEF-V1-7","selected","提供 2024 v1.7 修订值，不能由 2020 首版实现替代","full_text_read","M2-GHC-ARCH","2026-08-12","groq-brief-v17|selected|2026-08-12","draft","全 2 页并渲染第 2 页"
"SCR-GROQ-WHITEPAPER2019","SRC-GROQ-WHITEPAPER-2019-OCT","inaccessible","未取得正文，不能证明被其他来源完全覆盖","inaccessible","M2-GHC-ARCH","2026-08-12","groq-whitepaper2019|inaccessible|2026-08-12","needs_resolution","不进入事实链，也不作 redundant_covered"
"SCR-GROQ-ISCA2022","SRC-GROQ-TSP-ISCA2022","inaccessible","正文受远端挑战和 522 限制，scale-out 机制待补","inaccessible","M2-GHC-ARCH","2026-08-12","groq-isca2022|inaccessible|2026-08-12","needs_resolution","不进入事实链"
"SCR-NVG3-ARCHBLOG","SRC-NVG3-ARCH-BLOG-2026-03-16","selected","覆盖每 LPU 执行路径、SRAM 与 C2C 核心规格","full_text_read","M2-GHC-ARCH","2026-08-12","nvg3-archblog|selected|2026-08-12","draft","固定快照全文检查"
"SCR-NVG3-PRODUCT","SRC-NVG3-LPX-PRODUCT-2026-08-12","redundant_covered","本包所需每 LPU 身份、SRAM 和 C2C 事实均由架构博客直接覆盖且定位更具体","full_text_read","M2-GHC-ARCH","2026-08-12","nvg3-product|redundant|2026-08-12","draft","保留为动态产品状态快照，不纳入本包最小事实集"
"SCR-NVG3-C2CBLOG","SRC-NVG3-C2C-BLOG-2026-05-14","selected","C2C 协议、编译期路由和时钟漂移机制具有独有信息","full_text_read","M2-GHC-ARCH","2026-08-12","nvg3-c2cblog|selected|2026-08-12","draft","系统汇聚数不投射为架构定值"
"SCR-HUAWEI-HC31","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","selected","首代 Da Vinci 名称、组件和存储层级的直接原始来源；图中具体容量仅进入实现对象待办","full_text_read","M2-GHC-ARCH","2026-08-12","huawei-hc31|selected|2026-08-12","draft","全篇检查"
"SCR-HUAWEI-HPCA2021","SRC-HUAWEI-ASCEND-HPCA2021","selected","补充共享核心机制、数值路径与 MTE；Table 5 及典型 cube 配置仅进入实现对象待办","full_text_read","M2-GHC-ARCH","2026-08-12","huawei-hpca2021|selected|2026-08-12","draft","产品专属参数不投射"
"SCR-CAMBRICON-MLU370","SRC-CAMBRICON-MLU370-PRODUCT-2026-08-12","selected","直接给出物理架构名 MLUarch03，用于否定 BANG v3 默认等同物理架构的做法","full_text_read","M2-GHC-ARCH","2026-08-12","cambricon-mlu370|selected-audit|2026-08-12","draft","只用于身份审计，不建新正式对象"
"SCR-CAMBRICON-MLU290M5","SRC-CAMBRICON-MLU290M5-PRODUCT-2026-08-12","lead_only","只确认 MLU290-M5/玄思1000 身份，未给 BANG v2 或物理架构名","full_text_read","M2-GHC-ARCH","2026-08-12","cambricon-mlu290m5|lead-only|2026-08-12","draft","证据不足以建对象"
