asset_id,source_family_id,source_version_id,endpoint_role,requested_url,final_url,captured_at,http_status,content_type,payload_path,bytes,sha256,headers_path,headers_bytes,headers_sha256,evidence_eligibility,notes
GA100R37-MATRIX-HTML,SFAM-GA100R37-NVIDIA-MATRIX-GUIDE,SRCVER-GA100R37-NVIDIA-MATRIX-GUIDE-CAPTURE-20260821,content_endpoint,https://docs.nvidia.com/deeplearning/performance/dl-performance-matrix-multiplication/index.html,https://docs.nvidia.com/deeplearning/performance/dl-performance-matrix-multiplication/index.html,2026-08-20T23:57:52Z,200,text/html;charset=UTF-8,payload/nvidia-matrix-multiplication-background__captured-20260821.html,326039,c4a8e64475bce019738c6cf9067ecc9cac8348e2c67cdc7fe056eddeda00c790,headers/matrix-guide.headers.txt,2070,8e35d0c902a09e477847bb1cea451d961737cddeaf178acfd024ac44c0b70fcf,canonical_snapshot,"Mutable documentation URL; this row fixes only the captured bytes."
GA100R37-MLC-COMMIT-API,SFAM-GA100R37-MLCOMMONS-INFERENCE-V2-0,SRCVER-GA100R37-MLCOMMONS-COMMIT-36D324B5,identity_endpoint,https://api.github.com/repos/mlcommons/inference_results_v2.0/git/commits/36d324b502175621063a478fcbf6d2cb9421ca34,https://api.github.com/repos/mlcommons/inference_results_v2.0/git/commits/36d324b502175621063a478fcbf6d2cb9421ca34,2026-08-21T00:04:55Z,200,application/json; charset=utf-8,payload/mlcommons_commit_36d324b502175621063a478fcbf6d2cb9421ca34.json,2872,b6bf83b065d52716b21aa98c166650d67b543be844b1214267cf68127b241a14,headers/mlcommons-commit-api.headers.txt,1326,2265327add12008af512356b6d5d53432b32176f8dc000b6375d22bb21a25115,canonical_snapshot,"Fixes the commit SHA, tree SHA, parents, message, and canonical HTML URL."
GA100R37-MLC-COMMIT-HTML,SFAM-GA100R37-MLCOMMONS-INFERENCE-V2-0,SRCVER-GA100R37-MLCOMMONS-COMMIT-36D324B5,identity_web_view,https://github.com/mlcommons/inference_results_v2.0/commit/36d324b502175621063a478fcbf6d2cb9421ca34,https://github.com/mlcommons/inference_results_v2.0/commit/36d324b502175621063a478fcbf6d2cb9421ca34,2026-08-20T23:58:23Z,200,text/html; charset=utf-8,payload/mlcommons_commit_36d324b502175621063a478fcbf6d2cb9421ca34.html,393000,5c73adfe1b1ea0f58c4dfe22ac19de4e2a4a2098c52ce21e22d57aac37c1210a,headers/mlcommons-commit.headers.txt,5068,5c67187119a2a0a13d4977c4e7a39c7ad83d15685e9459000d3ab360d7b06b2f,duplicate_endpoint,"Human-readable view of the same fixed commit; not independent corroboration."
GA100R37-MLC-SYSTEM,SFAM-GA100R37-MLCOMMONS-INFERENCE-V2-0,SRCVER-GA100R37-MLCOMMONS-COMMIT-36D324B5,content_endpoint,https://raw.githubusercontent.com/mlcommons/inference_results_v2.0/36d324b502175621063a478fcbf6d2cb9421ca34/closed/NVIDIA/systems/DGX-A100_A100-SXM-80GBx1_TRT.json,https://raw.githubusercontent.com/mlcommons/inference_results_v2.0/36d324b502175621063a478fcbf6d2cb9421ca34/closed/NVIDIA/systems/DGX-A100_A100-SXM-80GBx1_TRT.json,2026-08-20T23:58:21Z,200,text/plain; charset=utf-8,payload/mlcommons_dgx-a100_a100-sxm-80gbx1_trt_system__commit-36d324b5.json,1711,165899d99b7fd835e2692b710053c8b86275a453aba35131146d2337e62de1ff,headers/mlcommons-system.headers.txt,902,f4e8ab83673ed92eb745437e5664bed0a3ae93396fafd8788a7977d094348797,canonical_snapshot,"System identity and software/host conditions."
GA100R37-MLC-OFFLINE-SUMMARY,SFAM-GA100R37-MLCOMMONS-INFERENCE-V2-0,SRCVER-GA100R37-MLCOMMONS-COMMIT-36D324B5,content_endpoint,https://raw.githubusercontent.com/mlcommons/inference_results_v2.0/36d324b502175621063a478fcbf6d2cb9421ca34/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/Offline/performance/run_1/mlperf_log_summary.txt,https://raw.githubusercontent.com/mlcommons/inference_results_v2.0/36d324b502175621063a478fcbf6d2cb9421ca34/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/Offline/performance/run_1/mlperf_log_summary.txt,2026-08-20T23:58:27Z,200,text/plain; charset=utf-8,payload/mlcommons_dgx-a100_bert-99_offline_summary__commit-36d324b5.txt,1594,b3d290da496e8c76eee37f8fa1140bf73d258784418f1da638ae4eac6d95b1ef,headers/mlcommons-bert-offline.headers.txt,902,5122799ccfa8ce4a731dc355ed91c4f2845b86d599f1a9bd4e97896ec2e83951,canonical_snapshot,"BERT-99 Offline performance summary at the fixed commit."
GA100R37-MLC-SINGLE-SUMMARY,SFAM-GA100R37-MLCOMMONS-INFERENCE-V2-0,SRCVER-GA100R37-MLCOMMONS-COMMIT-36D324B5,content_endpoint,https://raw.githubusercontent.com/mlcommons/inference_results_v2.0/36d324b502175621063a478fcbf6d2cb9421ca34/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/SingleStream/performance/run_1/mlperf_log_summary.txt,https://raw.githubusercontent.com/mlcommons/inference_results_v2.0/36d324b502175621063a478fcbf6d2cb9421ca34/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/SingleStream/performance/run_1/mlperf_log_summary.txt,2026-08-20T23:58:24Z,200,text/plain; charset=utf-8,payload/mlcommons_dgx-a100_bert-99_singlestream_summary__commit-36d324b5.txt,1864,0db37d68fc0641abdb4ed32f0c1439a454c997104e9b0b350825330f3ddff8b1,headers/mlcommons-bert-singlestream.headers.txt,902,fdc761c22d06c5e950d481a7b161bb14ea0c77f5f223439bdbc6d9ef0cc8e29c,canonical_snapshot,"BERT-99 SingleStream performance summary at the fixed commit."
GA100R37-MLC-OFFLINE-DIR,SFAM-GA100R37-MLCOMMONS-INFERENCE-V2-0,SRCVER-GA100R37-MLCOMMONS-COMMIT-36D324B5,directory_manifest_endpoint,https://api.github.com/repos/mlcommons/inference_results_v2.0/contents/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/Offline?ref=36d324b502175621063a478fcbf6d2cb9421ca34,https://api.github.com/repos/mlcommons/inference_results_v2.0/contents/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/Offline?ref=36d324b502175621063a478fcbf6d2cb9421ca34,2026-08-20T23:59:30Z,200,application/json; charset=utf-8,payload/mlcommons_dgx-a100_bert-99_offline_contents__commit-36d324b5.json,2467,09c1c63115de96400e78ad7c615ead3e0ca64dd33ad64efe1c361777abd44dc1,headers/mlcommons-bert-offline-contents.headers.txt,1301,f69ae755706011b83ff84163ba9fc55e9f996f0c6d4eab03cd4612d1aa3c301c,canonical_snapshot,"Selected Offline directory has accuracy and performance children; no power child is listed."
GA100R37-MLC-SINGLE-DIR,SFAM-GA100R37-MLCOMMONS-INFERENCE-V2-0,SRCVER-GA100R37-MLCOMMONS-COMMIT-36D324B5,directory_manifest_endpoint,https://api.github.com/repos/mlcommons/inference_results_v2.0/contents/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/SingleStream?ref=36d324b502175621063a478fcbf6d2cb9421ca34,https://api.github.com/repos/mlcommons/inference_results_v2.0/contents/closed/NVIDIA/results/DGX-A100_A100-SXM-80GBx1_TRT/bert-99/SingleStream?ref=36d324b502175621063a478fcbf6d2cb9421ca34,2026-08-20T23:59:36Z,200,application/json; charset=utf-8,payload/mlcommons_dgx-a100_bert-99_singlestream_contents__commit-36d324b5.json,2709,1037e0dde1c48b5596a51e0b8384b917bd9298232c5243bd94fc2a2a25ba9d5c,headers/mlcommons-bert-singlestream-contents.headers.txt,1301,7e225720c78c2dd4c79d00cf2ea99ea970a25c8b75e857dbd17c5259c46d6569,canonical_snapshot,"Selected SingleStream directory has accuracy and performance children; no power child is listed."
GA100R37-SEC-10Q-CANONICAL,SFAM-GA100R37-NVIDIA-20220731-10Q,SRCVER-GA100R37-NVIDIA-20220731-10Q,content_endpoint,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm,2026-08-20T23:59:59Z,200,text/html,payload/sec_nvidia_2022-07-31_10-q__captured-20260821.html,1861176,3fcc8e3277e625bafe4a4645b03c3f3d3a040e96373ef9adf09b6eabd4ba15dd,headers/sec-nvidia-2022q2-10q-success.headers.txt,532,bd43298068e1156d840b857fa459916ee80f6db632bd177636051c13efc5d743,canonical_snapshot,"SEC filing HTML captured without transfer compression after a compliant-user-agent retry."
GA100R37-SEC-10Q-GZIP-RETRY,SFAM-GA100R37-NVIDIA-20220731-10Q,SRCVER-GA100R37-NVIDIA-20220731-10Q,transport_duplicate,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm,2026-08-20T23:58:47Z,200,text/html,payload/sec_nvidia_2022-07-31_10-q-retry.html,151972,27ca7b57a6385a37e06973b3ad1ff2285ffda2ea4ea2c12d4abb31a2eee66f02,headers/sec-nvidia-2022q2-10q-retry.headers.txt,625,27ccfaef736d88df6ca0697459c429bc9febf70d17745e8344865f95cde22aea,duplicate_endpoint,"Gzip transfer body retained for audit; do not count separately from canonical decompressed HTML."
