"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-M2W2-AWS-PKG-001","","CMP-M2W2-AWS-INF1-NCV1","","","","","","FIELD-COMP-UNIT-COUNT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-001||CMP-M2W2-AWS-INF1-NCV1||||||FIELD-COMP-UNIT-COUNT","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
"REQ-M2W2-AWS-PKG-002","","","","","PP-M2W2-AWS-INF1-CHIP-INT8","","","FIELD-COMP-THROUGHPUT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-002|||||PP-M2W2-AWS-INF1-CHIP-INT8|||FIELD-COMP-THROUGHPUT","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
"REQ-M2W2-AWS-PKG-003","","","","","PP-M2W2-AWS-INF1-CHIP-FP16BF16","","","FIELD-COMP-THROUGHPUT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-003|||||PP-M2W2-AWS-INF1-CHIP-FP16BF16|||FIELD-COMP-THROUGHPUT","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
"REQ-M2W2-AWS-PKG-004","","CMP-M2W2-AWS-INF1-DRAM","","","","","","FIELD-MEM-CAPACITY","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-004||CMP-M2W2-AWS-INF1-DRAM||||||FIELD-MEM-CAPACITY","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
"REQ-M2W2-AWS-PKG-005","","CMP-M2W2-AWS-INF1-DRAM","","","","","","FIELD-MEM-BIDIR-BW","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-005||CMP-M2W2-AWS-INF1-DRAM||||||FIELD-MEM-BIDIR-BW","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
"REQ-M2W2-AWS-PKG-006","","","","","PP-M2W2-AWS-INF1-NCV1-FP16BF16","","","FIELD-COMP-THROUGHPUT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-006|||||PP-M2W2-AWS-INF1-NCV1-FP16BF16|||FIELD-COMP-THROUGHPUT","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
"REQ-M2W2-AWS-PKG-007","","","","","PP-M2W2-AWS-INF1-NCV1-VECTOR-GENERIC-FLOAT","","","FIELD-COMP-THROUGHPUT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-007|||||PP-M2W2-AWS-INF1-NCV1-VECTOR-GENERIC-FLOAT|||FIELD-COMP-THROUGHPUT","draft","FIELD-COMP-THROUGHPUT 按字段合同落在 precision_path；A02 未给具体精度。"
"REQ-M2W2-AWS-PKG-008","","","","","PP-M2W2-AWS-INF1-NCV1-SCALAR-GENERIC-FLOAT","","","FIELD-COMP-THROUGHPUT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-008|||||PP-M2W2-AWS-INF1-NCV1-SCALAR-GENERIC-FLOAT|||FIELD-COMP-THROUGHPUT","draft","FIELD-COMP-THROUGHPUT 按字段合同落在 precision_path；A02 未给具体精度。"
"REQ-M2W2-AWS-PKG-009","","CMP-M2W2-AWS-TRN1-NCV2","","","","","","FIELD-COMP-UNIT-COUNT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-009||CMP-M2W2-AWS-TRN1-NCV2||||||FIELD-COMP-UNIT-COUNT","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
"REQ-M2W2-AWS-PKG-010","","","","","PP-M2W2-AWS-TRN1-CHIP-INT8","","","FIELD-COMP-THROUGHPUT","value_available","已在 2026-08-13 固定的一手页面中找到可定位的芯片实现值。","completed","2026-08-13","REQ-M2W2-AWS-PKG-010|||||PP-M2W2-AWS-TRN1-CHIP-INT8|||FIELD-COMP-THROUGHPUT","draft","本要求只覆盖 package 实现事实，不复制作架构对象已有机制事实。"
