"domain","field_id","target_kind","target_id_or_candidate","value_or_status","condition_scope","evidence_source_ids_or_candidates","decision","directness","rationale"
"benchmark","FIELD-BENCH-ENERGY-PER-TOKEN","object","OBJ-NVIDIA-GA100-DIE","not_found","GA100 die; no workload result accepted","CAND-R1-GA100-01;CAND-R1-GA100-02;CAND-R1-GA100-05;CAND-R1-GA100-06","register_not_found_after_search_log","gap_after_planned_reading","No qualified GA100 or A100 energy-per-token measurement was found; product or system energy cannot be divided down to the die."
"benchmark","FIELD-BENCH-LATENCY","measurement_subject_A100","A100 product on GA100; exact SKU unresolved","A100 instruction and L1/L2/shared-memory cycle observations","third_party_measured; one GPU; SKU, CUDA, driver, frequency and power mode not reported; dependency/cache-operator conditions required","CAND-R1-GA100-05","accept_conditional_observation","third_party_measured","Cycles may remain source-level or conditional evidence; they are not unconditional GA100 latency and cannot be converted to seconds."
"benchmark","FIELD-BENCH-POWER","object","OBJ-NVIDIA-GA100-DIE","not_found","GA100 die; measured workload power","CAND-R1-GA100-01;CAND-R1-GA100-02;CAND-R1-GA100-05;CAND-R1-GA100-06","register_not_found_after_search_log","gap_after_planned_reading","The reviewed microbenchmarks do not report measured power; 250/300/400 W are card or module limits."
"benchmark","FIELD-BENCH-THROUGHPUT","measurement_subject_A100","A100 SXM4 80GB product on GA100","approximately 64 GB random-read cliff and group-to-chunk recovery; approximately 1400/1600 GB/s only as source-reported product observations","A100 SXM4 80GB; 128/256/512-byte warp accesses; software, host, frequency and statistic basis incomplete","CAND-R1-GA100-06","accept_conditional_observation","third_party_measured","Keep the observed trend and source-reported approximations under A100 conditions; do not rename them GA100 HBM bandwidth."
"benchmark","FIELD-BENCH-TOKENS-PER-JOULE","object","OBJ-NVIDIA-GA100-DIE","not_found","GA100 die; no workload result accepted","CAND-R1-GA100-01;CAND-R1-GA100-02;CAND-R1-GA100-05;CAND-R1-GA100-06","register_not_found_after_search_log","gap_after_planned_reading","No qualified token/J measurement was found."
"benchmark","FIELD-BENCH-UTILIZATION","object","OBJ-NVIDIA-GA100-DIE","not_found","GA100 die; MFU/HFU/MBU/scaling efficiency","CAND-R1-GA100-01;CAND-R1-GA100-02;CAND-R1-GA100-05;CAND-R1-GA100-06","register_not_found_after_search_log","gap_after_planned_reading","Vendor relative speedups and product occupancy limits are not utilization measurements with complete conditions."
"special_capabilities","FIELD-CAP-IMPLEMENTATION-DETAIL","capability_candidate","GA100 Optical Flow Accelerator","hardware optical-flow and stereo-disparity accelerator","GA100 die; quality/performance tunable; no count or throughput stated","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Whitepaper p.56 uses GA100 as the subject."
"special_capabilities","FIELD-CAP-IMPLEMENTATION-DETAIL","capability_existing_or_repaired","Ampere sparse MMA, async copy/barrier and warp reduction capabilities","compressed sparse A plus metadata; global-to-shared async copy; block/shared-memory barrier; warp reduction instruction","Ampere architecture; datatype/shape/software target conditions retained","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate;CUDA C++ Programming Guide 11.x candidate","reuse_via_architecture","architecture_relation_only","These mechanisms remain owned by the Ampere architecture or capability entities after formal repair."
"special_capabilities","FIELD-CAP-IMPLEMENTATION-LEVEL","capability_candidate","GA100 Optical Flow Accelerator","dedicated_physical_module","GA100 die","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","The source explicitly names a GA100 hardware accelerator."
"special_capabilities","FIELD-CAP-IMPLEMENTATION-LEVEL","capability_existing_or_repaired","Ampere sparse MMA and async copy/barrier capabilities","dedicated_instruction","Ampere architecture; sm_80 and PTX/CUDA version qualify the software-visible instruction","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate","reuse_via_architecture","architecture_relation_only","Do not duplicate the implementation level on the die object or infer physical engine count."
"special_capabilities","FIELD-CAP-LIMITATION","capability_candidate","Attention, Softmax, Top-k, MoE route/dispatch, collective offload and KV Cache manager","not_found","planned whitepaper, ISSCC, CUDA/PTX, MIG, RAS and microbenchmark reading completed","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;CAND-R1-GA100-05;CAND-R1-GA100-06;PTX ISA 7.x candidate;NVIDIA MIG User Guide candidate","register_not_found_after_search_log","gap_after_planned_reading","General CUDA, warp reduction, NVLink or L2 control does not prove a dedicated LLM mechanism."
