"field_id","field_domain","field_name_zh","definition","value_kind","canonical_unit","value_enum_name","allowed_subject_kinds","condition_schema","required_tier","review_status","notes"
"FIELD-BENCH-LATENCY","benchmark","实测延迟","在完整工作负载、精度、批量、软件和设备条件下的实测延迟","number","s","","object","benchmark","conditional","approved","M0 数据模型审查补充"
"FIELD-BENCH-POWER","benchmark","实测功耗","实测工作负载对应的设备或系统功耗","number","W","","object","benchmark","conditional","approved","M0 数据模型审查补充"
"FIELD-BENCH-THROUGHPUT","benchmark","实测吞吐","在完整工作负载、精度、批量、软件和设备条件下的实测吞吐","number","","","object","benchmark","conditional","approved","M0 数据模型审查补充"
"FIELD-CAP-IMPLEMENTATION-DETAIL","special_capabilities","实现细节","承载特殊能力的模块、指令、引擎、通用单元或软件组件","text","","","capability","capability","core","approved","M0 数据模型审查补充"
"FIELD-CAP-IMPLEMENTATION-LEVEL","special_capabilities","实现层级","特殊能力由物理模块、指令、可配置引擎、通用路径、网络或软件中的哪一层实现","enum","","implementation_level","capability","capability","core","approved","M0 数据模型审查补充"
"FIELD-CAP-LIMITATION","special_capabilities","能力限制","特殊能力公开的形状、精度、规模或软件限制","text","","","capability","capability","important","approved","M0 数据模型审查补充"
"FIELD-CAP-THROUGHPUT","special_capabilities","能力吞吐","特殊能力在明确操作、格式和运行条件下的吞吐","number","","","capability","compute","conditional","approved","M0 数据模型审查补充"
"FIELD-COMP-ARRAY-SHAPE","compute","物理阵列形状","与指令 Tile 分开","text","","","component","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-CONCURRENCY","compute","并发关系","与其他单元能否同时达到峰值","text","","","component","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-COUNT-RULE","compute","运算计数规则","一次乘加计 1 次还是 2 次","enum","","operation_count_rule","precision_path","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-EXECUTION","compute","执行模型","SIMT、SIMD、脉动阵列、空间数据流、静态调度等","text","","","component","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-INSTRUCTION-TILE","compute","指令或算子 Tile","指令支持范围和约束","text","","","precision_path","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-ISSUE-WIDTH","compute","发射宽度","计算组件每周期可发射的指令、操作或数据通路宽度","number","","","component","compute","important","approved","M0 数据模型审查补充"
"FIELD-COMP-SHARED-RESOURCE","compute","共享资源","发射、寄存器、存储端口、功耗等","text","","","component","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-THROUGHPUT","compute","吞吐","TFLOP/s、TOPS、op/cycle 等","number","","","precision_path","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-UNIT-COUNT","compute","单元数量","物理、启用或逻辑数量要注明","number","count","","component","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-UNIT-NAME","compute","单元名称","厂商名称和通用类别同时保存","text","","","component","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-UTILIZATION-LIMIT","compute","利用率限制","小矩阵、窄矩阵、小批量和不规则形状","text","","","component","compute","important","approved","源自资料卡字段字典 0.1"
"FIELD-COMP-VENDOR-AI-TOPS","compute","厂商 AI TOPS 原始标签","来源只给聚合 AI TOPS 且无法拆分计算路径时保留的原始标签","number","","","object","compute","conditional","approved","M0 数据模型审查补充"
"FIELD-DER-CAPACITY-COMPUTE","derived","容量算力比","同一作用域的存储容量除以矩阵稠密峰值","number","byte/(FLOP/s)","","object","derived","conditional","approved","M0 数据模型审查补充"
"FIELD-DER-COMPUTE-BW-SPEC","derived","规格计算带宽比","同对象、同精度的矩阵稠密峰值除以铭牌带宽","number","FLOP/byte","","object","derived","conditional","approved","M0 数据模型审查补充"
"FIELD-DER-COMPUTE-BW-SUSTAINED","derived","实测计算带宽比","同对象、同精度的矩阵稠密峰值除以可持续带宽","number","FLOP/byte","","object","derived","conditional","approved","M0 数据模型审查补充"
"FIELD-DER-INTERCONNECT-COMPUTE","derived","互联注入算力比","同设备单向注入带宽与矩阵峰值之比","number","byte/FLOP","","object","derived","conditional","approved","M0 数据模型审查补充"
"FIELD-DER-MATRIX-VECTOR","derived","矩阵向量吞吐比","条件和计数规则相容的矩阵与向量吞吐之比","number","ratio","","object","derived","conditional","approved","M0 数据模型审查补充"
"FIELD-DER-MOVE-MATRIX","derived","搬运矩阵吞吐比","明确数据宽度和方向的数据搬运吞吐与矩阵吞吐之比","number","byte/FLOP","","object","derived","conditional","approved","M0 数据模型审查补充"
"FIELD-ID-ARCH","identity","架构代际","由 implements_architecture 对象关系投影；不得另建重复真值","relation","","","object","identity","core","approved","资料卡引用 object_relation_id；本字段用于身份完整度要求，不在 facts.csv 另存关系文本"
"FIELD-ID-AVAILABILITY-DATE","identity","首次可用日期","供货或云服务开放日期","date","","","object","time_version","extended","approved","源自资料卡字段字典 0.1"
"FIELD-ID-DATA-CUTOFF","identity","资料截止日","本卡最后核查日期","date","","","object","time_version","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-DEPLOYMENT","identity","公开部署","不从部署场景推断架构类别","text","","","object","identity","extended","approved","源自资料卡字段字典 0.1"
"FIELD-ID-FAMILY","identity","产品系列","例如同一芯片系列或云加速器系列","text","","","object","identity","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-NAME","identity","正式名称","来源中的完整名称","text","","","object","identity","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-OBJECT-TYPE","identity","对象类型","见第 2.1 节","enum","","object_type","object","identity","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-REGION","identity","地区或出口变体","全球、地区版或定制版","text","","","object","identity","extended","approved","源自资料卡字段字典 0.1"
"FIELD-ID-RELEASE-DATE","identity","首次发布日期","具体对象日期，不用架构预告代替","date","","","object","time_version","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-SKU","identity","SKU 或配置","不存在公开 SKU 时说明命名方式","text","","","object","identity","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-STATUS","identity","产品状态","见第 11 节","enum","","product_status","object","time_version","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-VENDOR","identity","厂商","使用正式厂商名","text","","","object","identity","core","approved","源自资料卡字段字典 0.1"
"FIELD-ID-VENDOR-POSITIONING","identity","厂商定位","只记录厂商原文和出处","text","","","object","identity","extended","approved","源自资料卡字段字典 0.1"
"FIELD-INT-AGGREGATE-BW","interconnect","聚合带宽","明确范围和方向","number","byte/s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-BISECTION-BW","interconnect","二分带宽","需要拓扑和系统规模","number","byte/s","","topology","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-COLLECTIVE","interconnect","集合通信卸载","支持的操作和实现层级","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-DEGREE","interconnect","节点度数","物理和逻辑分开","number","count","","topology","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-FAULT","interconnect","故障与降级","隔离、重路由和维修边界","text","","","link","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-HOPS","interconnect","跳数","典型、最大或测试路径","number","count","","topology","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-INJECTION-BW","interconnect","每设备注入带宽","与系统聚合分开","number","byte/s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-LANE-COUNT","interconnect","Lane 数量","链路实体包含的物理 Lane 数量","number","count","","link","interconnect","core","approved","M0 数据模型审查补充"
"FIELD-INT-LATENCY","interconnect","延迟","单跳、端到端或集合通信","number","s","","link","bandwidth","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-LINK-COUNT","interconnect","链路数","每设备或系统总量","number","count","","link","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-MAX-SCALE","interconnect","最大规模","设备、机架或 Pod 数量","number","count","","topology","interconnect","important","approved","源自资料卡字段字典 0.1"
"FIELD-INT-OVERSUBSCRIPTION","interconnect","过订阅","比例和边界","number","ratio","","topology","interconnect","important","approved","源自资料卡字段字典 0.1"
