"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:40:38.9858974Z","precommit","lock_acquired","","614bbbd3afff79b77b3fdfa8239517370ace41c06d0a6c2820d63536757b7504","Z:\scripts\MI455X-FORMAL-TRANSACTION-LOCK-4f2ca3b5801e508e.lock"
"2","2026-08-13T07:41:04.7558447Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da"
"3","2026-08-13T07:41:04.7800822Z","commit_complete","csv_replace","数据/card-completeness.csv","35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da","commit_index=1"
"4","2026-08-13T07:41:04.7848482Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a"
"5","2026-08-13T07:41:04.8107383Z","commit_complete","csv_replace","数据/components.csv","e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a","commit_index=2"
"6","2026-08-13T07:41:04.8144051Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f"
"7","2026-08-13T07:41:04.8400849Z","commit_complete","csv_replace","数据/condition-sets.csv","c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f","commit_index=3"
"8","2026-08-13T07:41:04.8496215Z","rollback_begin","csv_restore","数据/condition-sets.csv","c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f","reverse_index=2"
"9","2026-08-13T07:41:04.8708928Z","rollback_complete","csv_restore","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","restored_premerge_backup"
"10","2026-08-13T07:41:04.8746508Z","rollback_begin","csv_restore","数据/components.csv","e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a","reverse_index=1"
"11","2026-08-13T07:41:04.8984795Z","rollback_complete","csv_restore","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","restored_premerge_backup"
"12","2026-08-13T07:41:04.9032144Z","rollback_begin","csv_restore","数据/card-completeness.csv","35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da","reverse_index=0"
"13","2026-08-13T07:41:04.9285942Z","rollback_complete","csv_restore","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","restored_premerge_backup"
"14","2026-08-13T07:41:05.0276525Z","rollback_complete","transaction","","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","all_registered_changes_reversed"
