"phase_order","operation","target","success_condition","failure_action"
"10","preflight_all","32 tables + bindings + 9 guards + 15 absent targets","all signed hashes, rows and absence gates match","stop_before_write"
"20","generate_isolated_result","controlled same-volume temporary root","reviewed 486-row semantics replayed; record 20 posthashes","discard temporary result"
"30","validate_isolated_result","32 tables + 15 files","gate validator PASS 106160; 477 writes and 9 guards verified","discard temporary result"
"40","copy_new_payloads","15 absent targets","all byte hashes and sizes match; journal each created file","delete only journaled matching files"
"101","atomic_single_file_replace","最小参考资料库/sources.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 20"
"102","atomic_single_file_replace","数据/components.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 19"
"103","atomic_single_file_replace","数据/links.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 18"
"104","atomic_single_file_replace","数据/precision-paths.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 17"
"105","atomic_single_file_replace","数据/memory-levels.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 16"
"106","atomic_single_file_replace","数据/condition-sets.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 15"
"107","atomic_single_file_replace","数据/field-requirements.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 14"
"108","atomic_single_file_replace","数据/facts.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 13"
"109","atomic_single_file_replace","数据/card-completeness.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 12"
"110","atomic_single_file_replace","最小参考资料库/source-endpoints.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 11"
"111","atomic_single_file_replace","最小参考资料库/source-screening.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 10"
"112","atomic_single_file_replace","最小参考资料库/source-selected-roles.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 9"
"113","atomic_single_file_replace","最小参考资料库/source-coverage.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 8"
"114","atomic_single_file_replace","最小参考资料库/fact-assertions.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 7"
"115","atomic_single_file_replace","最小参考资料库/conflict-groups.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 6"
"116","atomic_single_file_replace","最小参考资料库/conflict-members.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 5"
"117","atomic_single_file_replace","最小参考资料库/search-log.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 4"
"118","atomic_single_file_replace","最小参考资料库/search-results.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 3"
"119","atomic_single_file_replace","最小参考资料库/selection-runs.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 2"
"120","atomic_single_file_replace","最小参考资料库/selection-members.csv","replacement hash equals isolated posthash; journal committed","restore backups in reverse order starting 1"
"200","postwrite_acceptance","formal root","gate PASS 106160; 20 posthashes; 15 payload hashes; 9 guards; no unauthorized changes","restore 20 tables in reverse commit order, then delete 15 journaled files"
