"deferred_id","covered_arch_object_id","field_or_claim","raw_value","unit_scope","source_id","source_locator","reason_excluded","proposed_target_object_type","proposed_target_hint","conflict_or_version_note","review_status"
"DEF-M2GA-GV3-01","OBJ-GOOGLE-TPU-V3-ARCH","TensorCore/MXU/SparseCore count","2 TC; 4 MXU; 2 SC","per chip","SRC-M2-GA-G01","Table 1","实现数量不得挂到架构代际","silicon_package","TPU v3 chip/package","","draft"
"DEF-M2GA-GV3-02","OBJ-GOOGLE-TPU-V3-ARCH","BF16 peak","123 TFLOP/s","per chip dense peak","SRC-M2-GA-G01","Table 1","芯片总峰值下沉","silicon_package","TPU v3 chip/package","","draft"
"DEF-M2GA-GV3-03","OBJ-GOOGLE-TPU-V3-ARCH","HBM capacity/bandwidth","32 GiB; 900 GB/s","per chip","SRC-M2-GA-G01","Table 1","容量与带宽下沉","silicon_package","TPU v3 chip/package","","draft"
"DEF-M2GA-GV3-04","OBJ-GOOGLE-TPU-V3-ARCH","ICI links/rate","4 links; 70 GB/s per link","per chip/per physical link","SRC-M2-GA-G01","Table 1","端口数量和速率下沉","silicon_package","TPU v3 chip/package","方向口径未明确","draft"
"DEF-M2GA-GV4-01","OBJ-GOOGLE-TPU-V4-ARCH","TensorCore/MXU/SparseCore count","2 TC; 8 MXU; 4 SC","per chip","SRC-M2-GA-G01","Table 1","实现数量下沉","silicon_package","TPU v4 chip/package","","draft"
"DEF-M2GA-GV4-02","OBJ-GOOGLE-TPU-V4-ARCH","BF16 peak","275 TFLOP/s","per chip dense peak","SRC-M2-GA-G03","Table 4, PDF p. 7","芯片总峰值下沉","silicon_package","TPU v4 chip/package","","draft"
"DEF-M2GA-GV4-03","OBJ-GOOGLE-TPU-V4-ARCH","VMEM/CMEM/SPMEM capacity","32 MiB; 128 MiB; 10 MiB","per chip","SRC-M2-GA-G03","Table 4, PDF p. 7","实现容量下沉","silicon_package","TPU v4 chip/package","","draft"
"DEF-M2GA-GV4-04","OBJ-GOOGLE-TPU-V4-ARCH","HBM capacity/bandwidth","32 GiB; 1200 GB/s","per chip","SRC-M2-GA-G03","Table 4, PDF p. 7","容量与带宽下沉","silicon_package","TPU v4 chip/package","","draft"
"DEF-M2GA-GV4-05","OBJ-GOOGLE-TPU-V4-ARCH","ICI links/rate","6 links; 50 GB/s per link","per chip/per physical link","SRC-M2-GA-G03","Table 4, PDF p. 7","端口数量和速率下沉","silicon_package","TPU v4 chip/package","","draft"
"DEF-M2GA-GV5E-01","OBJ-GOOGLE-TPU-V5E-ARCH","TensorCore/MXU count","1 TC; 4 MXU","per chip","SRC-M2-GA-G08","System architecture","实现数量下沉","cloud_accelerator","TPU v5e cloud chip/device","","draft"
"DEF-M2GA-GV5E-02","OBJ-GOOGLE-TPU-V5E-ARCH","BF16/INT8 peak","197 TFLOP/s; 393 TOPS","per chip peak","SRC-M2-GA-G08","System architecture","芯片总峰值下沉","cloud_accelerator","TPU v5e cloud chip/device","","draft"
"DEF-M2GA-GV5E-03","OBJ-GOOGLE-TPU-V5E-ARCH","HBM capacity/bandwidth","16 GB; 800 GiB/s","per chip","SRC-M2-GA-G08","System architecture","容量与带宽下沉","cloud_accelerator","TPU v5e cloud chip/device","单位体系混合，必须保留原标签","draft"
"DEF-M2GA-GV5E-04","OBJ-GOOGLE-TPU-V5E-ARCH","ICI ports/bandwidth","4 ports; 400 GB/s bidirectional","per chip aggregate","SRC-M2-GA-G08","System architecture","端口数量和带宽下沉","cloud_accelerator","TPU v5e cloud chip/device","双向聚合","draft"
"DEF-M2GA-GV5P-01","OBJ-GOOGLE-TPU-V5P-ARCH","TensorCore/MXU/SparseCore count","2 TC; 8 MXU; 4 SC","per chip","SRC-M2-GA-G01","Table 1","实现数量下沉","silicon_package","TPU v5p chip/package","","draft"
