"source_selected_role_id","source_id","selected_role","rationale","review_status","notes"
"SROLE-CAMBRICON-WAIC-IDENTITY","SRC-2022-CAMBRICON-WAIC-MLU590","identity","支撑思元590产品身份、训练定位和 MLUarch05 关系。","reviewed",""
"SROLE-CAMBRICON-WAIC-STATUS","SRC-2022-CAMBRICON-WAIC-MLU590","status_version_evidence","固定 2022-09-02 当时的在研状态，不能替代当前供货状态。","reviewed",""
"SROLE-NVIDIA-H100-WP-CORE","SRC-NVIDIA-H100-ARCH-WHITEPAPER-V1-04","core_spec","支撑 H100 SXM5 最终时钟、矩阵与非 Tensor 峰值、存储容量和接口规格。","reviewed",""
"SROLE-NVIDIA-H100-WP-ARCH","SRC-NVIDIA-H100-ARCH-WHITEPAPER-V1-04","architecture_mechanism","支撑 TMA、DSM、线程块集群、DPX、Transformer Engine 和存储组织。","reviewed",""
"SROLE-NVIDIA-H100-DATASHEET-CORE","SRC-NVIDIA-H100-DATASHEET-20240924","core_spec","Current product-level memory, power, interconnect and fixed-function specifications.","draft",""
"SROLE-NVIDIA-H100-HOTCHIPS-STATUS","SRC-NVIDIA-H100-HOTCHIPS34-2022","status_version_evidence","Captures the preliminary 3 TB/s value and its not-finalized condition.","draft",""
"SROLE-AWS-TRN2-001","SRC-AWS-TRN2-S01","core_spec","单芯片聚合算力、HBM、DMA、NeuronLink 和 CC-Core 数量","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-002","SRC-AWS-TRN2-S01","conflict_evidence","芯片总值与单核乘算及 CC-Core 数量冲突的一侧","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-003","SRC-AWS-TRN2-S02","core_spec","单核引擎、频率、片上存储、数据搬运和 DGE","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-004","SRC-AWS-TRN2-S02","conflict_evidence","单核乘算及 CC-Core 数量冲突的一侧","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-005","SRC-AWS-TRN2-S03","architecture_mechanism","稀疏模式、向量/标量格式和 GPSIMD 宽度","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-006","SRC-AWS-TRN2-S04","architecture_mechanism","Tensor 阵列、格式组合和 FP32 累加语义","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-007","SRC-AWS-TRN2-S05","architecture_mechanism","LNC 与 HBM bank 共享映射","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-008","SRC-AWS-TRN2-S06","core_spec","实例与 UltraServer 聚合规格、拓扑和 NeuronLink 分层","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-009","SRC-AWS-TRN2-S06","conflict_evidence","UltraServer EFA 和稀疏历史值冲突的当前一侧","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-010","SRC-AWS-TRN2-S07","core_spec","实例配置、内存与 EFA 产品规格","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-011","SRC-AWS-TRN2-S07","conflict_evidence","UltraServer EFA 与当前状态冲突","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-012","SRC-AWS-TRN2-S07","status_version_evidence","2026-08-12 动态页状态观察","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-013","SRC-AWS-TRN2-S08","architecture_mechanism","NKI collective API 操作集合","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-014","SRC-AWS-TRN2-S09","status_version_evidence","2024-12-03 Trn2 GA 与 UltraServer preview","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-015","SRC-AWS-TRN2-S10","conflict_evidence","2024-12-03 稀疏算力历史值","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-016","SRC-AWS-TRN2-S10","status_version_evidence","首发状态与区域","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-017","SRC-AWS-TRN2-S11","status_version_evidence","2023-11-28 Trainium2 正式公布","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-018","SRC-AWS-TRN2-S12","architecture_mechanism","Neuron 2.31 软件能力与实验性内核","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-019","SRC-AWS-TRN2-S12","status_version_evidence","Neuron 2.31.0 发布日期","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-020","SRC-AWS-TRN2-S13","architecture_mechanism","Router Top-K 是实验性 NKI Library 内核","draft","试填草稿最小来源候选角色"
"SROLE-AWS-TRN2-021","SRC-AWS-TRN2-S14","status_version_evidence","Neuron 2.21 初始 Trainium2 软件支持","draft","试填草稿最小来源候选角色"
"SROLE-CAMBRICON-MLU-OPS-MLU590-TARGET","SRC-CAMBRICON-MLU-OPS-COMMIT-67B3707F","architecture_mechanism","Supports the MLU590-specific software build target at a fixed commit; it does not support physical-memory capacities or whole-chip architecture scale.","draft",""
