"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-CAMBRICON-MLU590-STATUS-CURRENT","REQ-CAMBRICON-MLU590-STATUS-CURRENT","2026-08-12","Continue fixed first-party document search for REQ-CAMBRICON-MLU590-STATUS-CURRENT","Cambricon product manual, board manual, release or ordering notice","planned","mlu590_remediation","draft","Search remains open. Keep pending_verification until the planned first-party search is completed."
"SEARCH-CAMBRICON-MLU590-RELEASE-DATE","REQ-CAMBRICON-MLU590-RELEASE-DATE","2026-08-12","Continue fixed first-party document search for REQ-CAMBRICON-MLU590-RELEASE-DATE","Cambricon product manual, board manual, release or ordering notice","planned","mlu590_remediation","draft","Search remains open. Keep pending_verification until the planned first-party search is completed."
"SEARCH-CAMBRICON-MLU590-AVAILABILITY-DATE","REQ-CAMBRICON-MLU590-AVAILABILITY-DATE","2026-08-12","Continue fixed first-party document search for REQ-CAMBRICON-MLU590-AVAILABILITY-DATE","Cambricon product manual, board manual, release or ordering notice","planned","mlu590_remediation","draft","Search remains open. Keep pending_verification until the planned first-party search is completed."
"SEARCH-CAMBRICON-MLU590-ALIAS","REQ-CAMBRICON-MLU590-ALIAS","2026-08-12","Direct access to CNToolkit 3.8.4 official versioned components page and official-domain discovery search","Cambricon versioned SDK documentation, official search-index discovery","blocked","mlu590_remediation","draft","A direct browser-like request on 2026-08-12 returned remote HTTP 401 Unauthorized. The existing global endpoint also records an earlier remote 400 timeout; preserve both attempts chronologically. Neither is a sandbox or approval failure."
"SEARCH-CAMBRICON-MLU590-PROCESS","REQ-CAMBRICON-MLU590-PROCESS","2026-08-12","MLU590 FIELD-PHY-PROCESS official first-party search and source-pool audit","Cambricon product/news pages, Cambricon SDK/developer documentation, fixed official GitHub source, fixed annual reports","no_reliable_result","mlu590_remediation","draft","Targeted first-party search produced no reliable object-matched value. Third-party isolated numbers and adjacent-product specifications were not accepted."
"SEARCH-CAMBRICON-MLU590-PACKAGE","REQ-CAMBRICON-MLU590-PACKAGE","2026-08-12","MLU590 FIELD-PHY-PACKAGE official first-party search and source-pool audit","Cambricon product/news pages, Cambricon SDK/developer documentation, fixed official GitHub source, fixed annual reports","no_reliable_result","mlu590_remediation","draft","Targeted first-party search produced no reliable object-matched value. Third-party isolated numbers and adjacent-product specifications were not accepted."
"SEARCH-CAMBRICON-MLU590-CLOCK","REQ-CAMBRICON-MLU590-CLOCK","2026-08-12","MLU590 FIELD-PHY-CLOCK official first-party search and source-pool audit","Cambricon product/news pages, Cambricon SDK/developer documentation, fixed official GitHub source, fixed annual reports","no_reliable_result","mlu590_remediation","draft","Targeted first-party search produced no reliable object-matched value. Third-party isolated numbers and adjacent-product specifications were not accepted."
"SEARCH-CAMBRICON-MLU590-POWER","REQ-CAMBRICON-MLU590-POWER","2026-08-12","MLU590 FIELD-PHY-POWER official first-party search and source-pool audit","Cambricon product/news pages, Cambricon SDK/developer documentation, fixed official GitHub source, fixed annual reports","no_reliable_result","mlu590_remediation","draft","Targeted first-party search produced no reliable object-matched value. Third-party isolated numbers and adjacent-product specifications were not accepted."
"SEARCH-CAMBRICON-MLU590-AI-TOPS","REQ-CAMBRICON-MLU590-AI-TOPS","2026-08-12","MLU590 FIELD-COMP-VENDOR-AI-TOPS official first-party search and source-pool audit","Cambricon product/news pages, Cambricon SDK/developer documentation, fixed official GitHub source, fixed annual reports","no_reliable_result","mlu590_remediation","draft","Targeted first-party search produced no reliable object-matched value. Third-party isolated numbers and adjacent-product specifications were not accepted."
"SEARCH-CAMBRICON-MLU590-COMPUTE-THROUGHPUT","REQ-CAMBRICON-MLU590-COMPUTE-THROUGHPUT","2026-08-12","MLU590 FIELD-COMP-THROUGHPUT official first-party search and source-pool audit","Cambricon product/news pages, Cambricon SDK/developer documentation, fixed official GitHub source, fixed annual reports","no_reliable_result","mlu590_remediation","draft","Targeted first-party search produced no reliable object-matched value. Third-party isolated numbers and adjacent-product specifications were not accepted."
