"derived_input_id","derived_fact_id","input_order","input_fact_id","input_role","review_status","notes"
"DIN-AWS-TRN2-001-VALUE","FACT-AWS-TRN2-CHIP-FP8-DENSE-DER8","1","FACT-AWS-TRN2-CORE-FP8-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-001-COUNT","FACT-AWS-TRN2-CHIP-FP8-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-002-VALUE","FACT-AWS-TRN2-CHIP-BF16-DENSE-DER8","1","FACT-AWS-TRN2-CORE-BF16-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-002-COUNT","FACT-AWS-TRN2-CHIP-BF16-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-003-VALUE","FACT-AWS-TRN2-CHIP-FP16-DENSE-DER8","1","FACT-AWS-TRN2-CORE-FP16-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-003-COUNT","FACT-AWS-TRN2-CHIP-FP16-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-004-VALUE","FACT-AWS-TRN2-CHIP-TF32-DENSE-DER8","1","FACT-AWS-TRN2-CORE-TF32-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-004-COUNT","FACT-AWS-TRN2-CHIP-TF32-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-005-VALUE","FACT-AWS-TRN2-CHIP-FP32-DENSE-DER8","1","FACT-AWS-TRN2-CORE-FP32-DENSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-005-COUNT","FACT-AWS-TRN2-CHIP-FP32-DENSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
"DIN-AWS-TRN2-006-VALUE","FACT-AWS-TRN2-CHIP-FP8-SPARSE-DER8","1","FACT-AWS-TRN2-CORE-FP8-SPARSE-PUB","numerator","draft","每 NCv3 公开峰值"
"DIN-AWS-TRN2-006-COUNT","FACT-AWS-TRN2-CHIP-FP8-SPARSE-DER8","2","FACT-AWS-TRN2-NCV3-COUNT","scale","draft","每芯片 NCv3 数量"
