"migration_order","batch_id","table_path","pk_column","pk_value","old_status","new_status","old_review_status","new_review_status","preserve_columns","authorization","independent_reviewer","review_date","notes"
"1","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-runs.csv","selection_run_id","SELRUN-M1-PILOTS-TRN2-CORRECTED-20260813","draft","reviewed","draft","reviewed","scope_kind;scope_id;cutoff_date;algorithm_version;created_date;reviewer;notes","semantic_selection_run_and_row_lifecycle","m2_review_trn2_correction","2026-08-13","反向移除已独立核验；成员、角色和不可替代理由保持原值"
"2","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-runs.csv","selection_run_id","SELRUN-M2W2-TRN2INST-CORRECTED-20260813","draft","reviewed","draft","reviewed","scope_kind;scope_id;cutoff_date;algorithm_version;created_date;reviewer;notes","semantic_selection_run_and_row_lifecycle","m2_review_trn2_correction","2026-08-13","反向移除已独立核验；成员、角色和不可替代理由保持原值"
"3","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-2022-CAMBRICON-WAIC-MLU590","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"4","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S01","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"5","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S02","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"6","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S03","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"7","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S04","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"8","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S05","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"9","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S06","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"10","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S07","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"11","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S08","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"12","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S09","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"13","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S10","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"14","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S11","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"15","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S12","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"16","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S13","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"17","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-AWS-TRN2-S14","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"18","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-CAMBRICON-MLU-OPS-COMMIT-67B3707F","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"19","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-NVIDIA-H100-ARCH-WHITEPAPER-V1-04","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"20","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-NVIDIA-H100-DATASHEET-20240924","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"21","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M1R2-NVIDIA-H100-HOTCHIPS34-2022","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"22","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M2W2-TRN2CORR-S06","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"23","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M2W2-TRN2CORR-S07","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"24","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M2W2-TRN2CORR-S09","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
"25","M2-W2-TRN2-CORRECTION-POSTMERGE-20260813","最小参考资料库/selection-members.csv","selection_member_id","SELMEM-M2W2-TRN2CORR-S10","not_applicable","not_applicable","draft","reviewed","selection_run_id;source_id;selected_role;mandatory_reason;notes","row_lifecycle_only","m2_review_trn2_correction","2026-08-13","所属运行已获语义签字；成员范围、来源、角色和理由保持原值"
