"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASRT-GROQ-LPU1-NAME","FACT-GROQ-LPU1-NAME","SRC-GROQ-TSP-ISCA2020","identity","direct_statement","supports","First-generation Groq Tensor Streaming Processor architecture","","","PDF p.12, Conclusion","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-NAME","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-EXECUTION","FACT-GROQ-LPU1-EXECUTION","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Statically scheduled, compiler-orchestrated spatial execution without caches or arbiters","","","PDF pp.1-3, architecture overview","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-EXECUTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-INT8-OPERANDS","FACT-GROQ-LPU1-MXM-INT8-OPERANDS","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","INT8","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-INT8-OPERANDS","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-INT8-ACCUM","FACT-GROQ-LPU1-MXM-INT8-ACCUM","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","INT32","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-INT8-ACCUM","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-FP16-OPERANDS","FACT-GROQ-LPU1-MXM-FP16-OPERANDS","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","FP16","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-FP16-OPERANDS","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-MXM-FP16-ACCUM","FACT-GROQ-LPU1-MXM-FP16-ACCUM","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","FP32","","","PDF pp.9-10, Data Types and MXM","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-MXM-FP16-ACCUM","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-SXM-FUNCTION","FACT-GROQ-LPU1-SXM-FUNCTION","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Vector permutation, rotation, distribution and transformation","","","PDF pp.4, 9, SXM description","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-SXM-FUNCTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-GROQ-LPU1-SW-MAPPING","FACT-GROQ-LPU1-SW-MAPPING","SRC-GROQ-TSP-ISCA2020","architecture_mechanism","direct_statement","supports","Compiler explicitly schedules instructions, data movement and functional slices","","","PDF pp.3-5, compiler scheduling","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-GROQ-LPU1-SW-MAPPING","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-NAME","FACT-NVG3-NAME","SRC-NVG3-ARCH-BLOG-2026-03-16","identity","direct_statement","supports","NVIDIA Groq 3 LPU architecture","","","Section First look at the architecture","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-NAME","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-EXECUTION","FACT-NVG3-EXECUTION","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Deterministic compiler-orchestrated spatial execution with explicit overlap of memory, compute and communication","","","Section Deterministic, compiler-orchestrated execution","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-EXECUTION","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-INSTRUCTION-TILE","FACT-NVG3-INSTRUCTION-TILE","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","320-byte vectors for compute and communication","","","Section Tensor-first compute and explicit data movement","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-INSTRUCTION-TILE","draft","中文卡片使用释义；此行保留原文定位"
"ASRT-NVG3-MXM-FUNCTION","FACT-NVG3-MXM-FUNCTION","SRC-NVG3-ARCH-BLOG-2026-03-16","architecture_mechanism","direct_statement","supports","Dense multiply-accumulate on fixed data types; exact types not stated","","","Section Tensor-first compute and explicit data movement","Source directly states the recorded mechanism or configuration value.","source_checked","M2-GHC-ARCH","","2026-08-12","M2-GHC-ARCH|ASRT|FACT-NVG3-MXM-FUNCTION","draft","中文卡片使用释义；此行保留原文定位"
