"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:49:24.8339355Z","precommit","lock_acquired","","ef1bd67466e3b7d0fddb95d2155a53c470c6df6c7d22a96478d0a64b7075cc76","D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_ascend950_formal_transaction_prep\scripts\ASCEND950-FORMAL-TRANSACTION-LOCK-6d148e28bcfdf87c.lock"
"2","2026-08-13T07:49:52.6577019Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6"
"3","2026-08-13T07:49:52.6793659Z","commit_complete","csv_replace","数据/card-completeness.csv","3b4637714a43bff5ab9ff1d6b11108c980b8a031d06ba71bc4f9085c413e7af6","commit_index=1"
"4","2026-08-13T07:49:52.6844898Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648"
"5","2026-08-13T07:49:52.7053826Z","commit_complete","csv_replace","数据/components.csv","d6f60a1cb98b6bf590f72fd10449cd803bc6112c4c80f39c3946e1b92ce59648","commit_index=2"
"6","2026-08-13T07:49:52.7093470Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08"
"7","2026-08-13T07:49:52.7372278Z","commit_complete","csv_replace","数据/condition-sets.csv","445b92ad028e21570420cae626e89fdcae41548b4aaaed775381d26c3c26ae08","commit_index=3"
"8","2026-08-13T07:49:52.7417030Z","commit_begin","csv_replace","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","registered_before_move;candidate=cc8ced05dcf8058a26a34a9e18a6e4aa82753e8fce13303e167a3c5370760bc4"
"9","2026-08-13T07:49:52.7691148Z","commit_complete","csv_replace","数据/facts.csv","cc8ced05dcf8058a26a34a9e18a6e4aa82753e8fce13303e167a3c5370760bc4","commit_index=4"
"10","2026-08-13T07:49:52.7760231Z","commit_begin","csv_replace","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","registered_before_move;candidate=5c9acf64b111c2fc1fe353d4a27def3b224f91bbf4d3a17cab5a3ec6d705ef66"
