"claim_id","claim_summary","source_ids","scope_vote","semantic_vote","evidence_vote","decision","resulting_action"
"CL-M2GA-001","TPU v3 TensorCore 包含矩阵、向量和标量/控制路径","G02|G05","support","support","support","kept","进入执行组织事实"
"CL-M2GA-002","TPU v3 BF16 输入采用 FP32 累加语义","G02|G05","support","support","support","kept","进入数值路径事实"
"CL-M2GA-003","TPU v4 MXU 是 128×128 脉动阵列","G03","support","support","support","kept","进入组件形态事实"
"CL-M2GA-004","TPU v4 的 VMEM/CMEM/SPMEM 容量属于架构对象","G03","refute","refute","support","killed","容量移入 deferred 实现清单"
"CL-M2GA-005","TPU v5e 具有 TensorCore/MXU/VPU/标量执行路径","G05|G08","support","qualify","support","kept_with_caveat","只保留路径存在，不保留核心数量"
"CL-M2GA-006","TPU v5p HBM 为 96 GiB 而 95 GiB 是冲突","G01|G09|G15","refute","qualify","support","killed","按物理/云可见作用域候选移入 deferred，不建架构冲突"
"CL-M2GA-007","TPU v6e MXU 阵列为 256×256","G05","support","support","support","kept","进入组件形态事实"
"CL-M2GA-008","SparseCore 支持排序、过滤和前缀操作","G15","support","support","support","kept","按 v4/v5p/v6e 明示范围进入特殊能力"
"CL-M2GA-009","G01 第 5 页记载 SparseCore 在 Transformer 兴起后开始承担 Top-K 等卸载，但没有给出首次代际或逐代归属","G01","oppose_generation_binding","support_source_scope_only","support","deferred_scope_boundary","不建立逐代 capability、fact、assertion 或 requirement；跨代原文只记入 M2GA-BD-005，专用 MoE router 仍独立记为 not_found"
"CL-M2GA-010","Ironwood 同时有 BF16 256×256 与 FP8 512×512 路径","G01","support","support","support","kept","只保留两类阵列路径，不保留阵列数量"
"CL-M2GA-011","Ironwood D2D 绝对带宽可由六条 1D ICI 推导","G11","refute","refute","qualify","killed","仅保留 collective-managed D2D 机制"
"CL-M2GA-012","Google 2D/3D torus 可作为架构对象 topology fact","G01|G03|G08|G10|G11","refute","refute","support","killed","视为部署配置；structured 只留 ICI 协议机制"
"CL-M2GA-013","TPU 8t 原生支持 FP4","G13","support","support","support","kept","进入未来对象数值格式事实"
"CL-M2GA-014","TPU 8t 有专用 LLM Decoder Engine","G13","support","qualify","support","kept_with_caveat","只记存在；算子细节和吞吐标缺"
"CL-M2GA-015","TPU 8i CAE 是专用规约/同步卸载模块","G13","support","support","support","kept","进入特殊能力事实"
"CL-M2GA-016","TPU 8i Boardfly 是芯片内部拓扑","G13","refute","refute","support","killed","移入 cloud/system boundary"
"CL-M2GA-017","Inferentia1 NCv1 有独立 Tensor/Vector/Scalar 路径和软件管理 SRAM","A02","support","support","support","kept","进入执行与存储管理事实"
"CL-M2GA-018","Trainium1 与 Inferentia2 可复用同一 NCv2 微架构描述","A05","support","qualify","support","kept_with_caveat","对两个架构对象分别断言，不合并产品身份"
"CL-M2GA-019","NCv2 Tensor Engine 为 128×128 阵列并以 FP32 累加","A05","support","support","support","kept","进入组件与数值语义事实"
"CL-M2GA-020","NCv2 DMA 有内联压缩/解压缩","A05","support","support","support","kept","进入数据搬运与特殊能力事实"
"CL-M2GA-021","Trainium2 M1 芯片事实可直接复制到架构对象","formal M1","refute","refute","support","killed","只保存 fact/source 引用映射"
"CL-M2GA-022","NCv4 MXFP4 在计算前转换为 MXFP8并以 FP32 内部累加","A07","support","support","support","kept","进入精度路径事实"
"CL-M2GA-023","Trainium3 的 16/20 CC-Core 与 4.9/4.7 TB/s 应在架构对象建冲突组","A06|A07|A08","refute","refute","support","killed","保留为实现层真冲突候选，待 silicon_package 对象"
"CL-M2GA-024","Trainium3 支持后台转置、间接寻址和 SBUF read-add-write","A07","support","support","support","kept","进入特殊能力事实"
"CL-M2GA-025","Trainium4 可由相对倍数推导绝对 FP4、HBM 容量和带宽","A09","refute","refute","refute","killed","只保留预计 2027 的前瞻状态，相对量移入 deferred"
