"endpoint_id","source_id","endpoint_type","url","local_path","sha256","page_count","mime_type","access_date","http_status","snapshot_date","is_preferred_endpoint","accessibility_status","review_status","notes"
"END-GROQ-TSP-ISCA2020-LOCAL","SRC-GROQ-TSP-ISCA2020","local_pdf","https://groq.humain.ai/wp-content/uploads/2024/02/2020-Isca.pdf","审计/子代理交接/m2_staging/M2-GHC-ARCH/sources/groq-isca-2020-tsp.pdf","12ceca6fd2d5bcbb854712eed027a49690475a0f746da901285be1f54b79877a","14","application/pdf","2026-08-12","200","2026-08-12","true","accessible","draft","groq.com legacy path 404；Humain/Groq 镜像取得固定内容"
"END-GROQ-BRIEF-V17-LOCAL","SRC-GROQ-GROQCHIP-BRIEF-V1-7","local_pdf","https://groq.sa/wp-content/uploads/2024/08/GroqChip%E2%84%A2-Processor-Product-Brief-v1.7.pdf","审计/子代理交接/m2_staging/M2-GHC-ARCH/sources/groqchip-product-brief-v1.7.pdf","bc6aa1f5e667d75aba689a3b336b0a6fc68f6b3a002274550b94c7b9671f5377","2","application/pdf","2026-08-12","200","2026-08-12","true","accessible","draft","第 2 页已渲染核对表格"
"END-NVG3-ARCH-BLOG-SNAPSHOT","SRC-NVG3-ARCH-BLOG-2026-03-16","web_snapshot","https://developer.nvidia.com/blog/inside-nvidia-groq-3-lpx-the-low-latency-inference-accelerator-for-the-nvidia-vera-rubin-platform/","审计/子代理交接/m2_staging/M2-GHC-ARCH/sources/nvidia-groq3-architecture-blog-2026-03-16.html","23d1eb9dd0cd5bdccf30d21f43d05a8e1cc75183b568f9978102a5f9a08d4b25","","text/html","2026-08-12","200","2026-08-12","true","accessible","draft","固定 HTML 快照"
"END-NVG3-LPX-PRODUCT-SNAPSHOT","SRC-NVG3-LPX-PRODUCT-2026-08-12","web_snapshot","https://www.nvidia.com/en-us/data-center/lpx/","审计/子代理交接/m2_staging/M2-GHC-ARCH/sources/nvidia-groq3-lpx-product-page-2026-08-12.html","7010b9d6fa63b93baf6da1b30b1d05db3f278680cd918311675ce83c62770938","","text/html","2026-08-12","200","2026-08-12","true","accessible","draft","固定 HTML 快照"
"END-NVG3-C2C-BLOG-SNAPSHOT","SRC-NVG3-C2C-BLOG-2026-05-14","web_snapshot","https://developer.nvidia.com/blog/how-the-nvidia-vera-rubin-platform-is-solving-agentic-ais-scale-up-problem/","审计/子代理交接/m2_staging/M2-GHC-ARCH/sources/nvidia-groq3-c2c-blog-2026.html","e70a01bc757f855f4adc0d01024c8e94cf14864d87daa19e7a116a2dc37a0450","","text/html","2026-08-12","200","2026-08-12","true","accessible","draft","固定 HTML 快照"
"END-HUAWEI-DAVINCI-HC31-LOCAL","SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","local_pdf","","论文/华为昇腾_DaVinci/01_厂商直接架构论文/2019_DaVinci_Scalable_Architecture_HotChips31.pdf","c9fc6953008d96deface0b66a416cb574672131066a097d625b9f1794aa918b6","44","application/pdf","2026-08-12","","","true","accessible","draft","项目已有固定 PDF"
"END-HUAWEI-ASCEND-HPCA2021-LOCAL","SRC-HUAWEI-ASCEND-HPCA2021","local_pdf","https://doi.org/10.1109/HPCA51647.2021.00071","论文/华为昇腾_DaVinci/01_厂商直接架构论文/2021_Ascend_Scalable_Unified_Architecture_HPCA.pdf","869ca2cbd9d7626d1b0eedc4f581ada774a1ab474ad26e55d2f67c01ab51bb4c","13","application/pdf","2026-08-12","","","true","accessible","draft","项目已有固定 PDF"
"END-CAMBRICON-MLU370-SNAPSHOT","SRC-CAMBRICON-MLU370-PRODUCT-2026-08-12","web_snapshot","https://www.cambricon.com/index.php?a=lists&c=index&catid=360&m=content","审计/子代理交接/m2_staging/M2-GHC-ARCH/sources/cambricon-mlu370-product-page-2026-08-12.html","c9c92759b35f884acc826acae3f53e19ea395872ea721b7a7d54b34750c1a2ee","","text/html","2026-08-12","200","2026-08-12","true","accessible","draft","固定 HTML 快照"
"END-CAMBRICON-MLU290M5-SNAPSHOT","SRC-CAMBRICON-MLU290M5-PRODUCT-2026-08-12","web_snapshot","https://www.cambricon.com/index.php?m=content&c=index&a=lists&catid=330","审计/子代理交接/m2_staging/M2-GHC-ARCH/sources/cambricon-mlu290-m5-xuansi1000-page-2026-08-12.html","ee53ede2bd457b2b2e287f8038502ee7cc4c9c1866966447d37b82aa587482ea","","text/html","2026-08-12","200","2026-08-12","true","accessible","draft","固定 HTML 快照"
"END-GROQ-WHITEPAPER-2019-OFFICIAL","SRC-GROQ-WHITEPAPER-2019-OCT","pdf_direct","https://groq.com/wp-content/uploads/2019/10/Groq_Whitepaper_2019Oct.pdf","","","","application/pdf","2026-08-12","404","","true","inaccessible","needs_resolution","历史官方 URL 可复现，当前返回 HTTP 404；未恢复到带 URL 的替代镜像，因此不伪造第二端点"
"END-GROQ-TSP-ISCA2022-DOI","SRC-GROQ-TSP-ISCA2022","doi_landing","https://dl.acm.org/doi/10.1145/3470496.3527405","","","","text/html","2026-08-12","403","","true","restricted","needs_resolution","ACM DOI 入口当前返回 HTTP 403；先前浏览器访问表现为 challenge，访问现象只记 notes"
"END-GROQ-TSP-ISCA2022-GROQ-MIRROR","SRC-GROQ-TSP-ISCA2022","pdf_direct","https://groq.sa/wp-content/uploads/2024/02/GroqISCAPaper2022_ASoftwareDefinedTensorStreamingMultiprocessorForLargeScaleMachineLearning-1.pdf","","","14","application/pdf","2026-08-12","522","","false","inaccessible","needs_resolution","Groq 官方地区镜像 URL 可复现；本机直接下载返回远端 HTTP 522，搜索索引可读不等于本地固定全文"
