"event_id","stage","classification","symptom","impact","resolution"
"ERR-001","review_skeleton","model_operator_command_construction_error","New-Item -LiteralPath is unsupported by this Windows PowerShell cmdlet","directory and files were not created by the failed command; zero formal writes","used System.IO.Directory.CreateDirectory and verified the directory"
"ERR-002","initial_freeze_binding","model_operator_assumption_error","filled the abbreviated 958e1b...332f aggregate with an unverified middle segment","only the in-progress review JSON contained the provisional wrong text; no input or formal write","read package-aggregate.txt and independently recomputed 958e1b5106b6c42ae116fe643b3b8ec63a190cc20951654380d86c45a2ad332f"
"ERR-003","static_audit_script_parse_check","model_operator_command_construction_error","attempted [ref] on an uninitialized variable in the parser verification command","audit script file existed but had not run; zero formal writes","initialized parser variables and reran parsing"
"ERR-004","static_audit_script_parse","model_operator_script_construction_error","omitted spaces in foreach variable in expression","parser rejected the helper before execution; zero formal writes","inserted required spaces and obtained PARSE_OK"
"ERR-005","static_audit_script_first_run","model_operator_script_construction_error","helper function name H collided with the built-in Get-History alias","audit stopped before output; formal inputs remained read-only","renamed helper to Get-HashValue"
"ERR-006","static_audit_script_second_run","model_operator_expression_error","join comparison lacked parentheses and passed a string to a Boolean parameter","audit stopped before output; formal inputs remained read-only","parenthesized both joined sequences"
"ERR-007","static_audit_script_edit","model_operator_edit_target_error","first exact-text replacement did not match the target expression","no file change from the failed edit; zero formal writes","used a scoped regular-expression replacement and reparsed"
"ERR-008","static_audit_script_third_run","model_operator_script_construction_error","Where-Object property-form comparison operators lacked separating spaces","audit stopped before output; formal inputs remained read-only","normalized operator spacing, parsed and reran to 6025 checks passed"
"ERR-009","negative_gate_first_run","upstream_test_fixture_implementation_inconsistency","pending-signoff template has an empty review_date, so executor rejected on date before the suite expected the prep-author self-sign denial","all gates remained fail-closed and formal writes were zero, but the frozen suite aggregate status was failed because one expected text did not match","in the review-only copy, used a prep-author/date fixture to reach the frozen expected denial, reran 12/12 passed, then restored the original template byte-for-byte"
"ERR-010","negative_gate_result_audit","model_operator_expression_error","set comparison again lacked parentheses around joined sequences","post-run audit command stopped after evidence copies and template restoration; no formal or prep write","reran only the result audit with both joined sequences parenthesized"
"ERR-011","review_manifest_display_verification","model_operator_command_construction_error","Where-Object -ceq comparison lacked a separating space in the post-generation display command","manifest and aggregate were generated successfully; only the display command failed; zero formal writes","verified the manifest rows with script-block predicates, recorded this error, regenerated and fully validated the frozen manifest"
