"error_id","occurred_at","classification","stage","action","observed","impact","resolution","approval_or_sandbox"
"ERR-MI455X-TXN-0001","2026-08-13","model_operator_mistake","input_hash_probe","计算签字首行原始 CSV 哈希","自定义函数名 H 与 PowerShell 的 Get-History 别名冲突，字符串被误绑定为历史记录 Id。","只读探针退出码为 1；没有文件写入，也没有改变正式库或输入。","把函数改名为 Get-StringSha 后重新运行，探针成功。","not_applicable"
"ERR-MI455X-TXN-0002","2026-08-13","model_operator_mistake","pattern_inspection","读取 AWS 预检脚本","把脚本误写成 scripts 子目录下的路径，实际脚本位于 aws_formal_transaction_prep 目录根部。","只读读取失败；没有文件写入，也没有改变正式库或输入。","先列出实际文件路径，再用正确绝对路径完成读取。","not_applicable"
"ERR-MI455X-TXN-0003","2026-08-13","model_operator_mistake","input_inventory","输出四个输入文件的哈希与大小","把 statement-form foreach 的结果直接接到管道，PowerShell 报告空管道元素。","命令在解析阶段失败；没有文件写入，也没有改变正式库或输入。","先把 foreach 结果赋给变量，再单独格式化输出，复算成功。","not_applicable"
"ERR-MI455X-TXN-0004","2026-08-13","model_operator_implementation_error","static_contract_attempt_01","核验原 staging 冻结清单成员","错误地把清单内相对路径解释为项目根目录相对路径；这些路径实际相对 MI455X staging 根目录。","构建器在只写本准备目录的 formal-32-baseline.csv 后停止；正式库和输入未改变。","把 42 个成员的解析基准改为 MI455X staging 根目录，重新预解析并运行。","not_applicable"
"ERR-MI455X-TXN-0005","2026-08-13","model_operator_implementation_error","static_contract_attempt_02","核验 rebase 的旧规范行哈希审计","错误地假定 source_line_hash_match 使用 True；实际受控值是 yes。","构建器在准备目录内停止；正式库和输入未改变。","按审计表实际枚举值 yes 修正两处判断并重新运行。","not_applicable"
"ERR-MI455X-TXN-0006","2026-08-13","model_operator_implementation_error","static_contract_attempt_03","检查授权主键唯一性","误把不同表允许重复的主键值当作全局唯一键。项目合同要求唯一的是 target_path 与 pk_value 的组合。","构建器在生成内存写集后停止；正式库和输入未改变。","删除错误的全局值唯一门，保留 242 个 target_path|pk_value 组合唯一门。","not_applicable"
"ERR-MI455X-TXN-0007","2026-08-13","model_operator_mistake","static_contract_script_edit","删除错误的全局主键断言","第一次文本替换错误地假定文件采用特定 CRLF 片段，未找到目标块。","修改命令在写入前停止；脚本、正式库和输入均未改变。","按完整行精确定位并删除，随后预解析和静态构建成功。","not_applicable"
"ERR-MI455X-TXN-0008","2026-08-13","model_operator_mistake","progress_update","用字符串替换更新节点状态","双引号字符串中的 Markdown 反引号触发 PowerShell 解析歧义，命令报告缺少右括号。","命令在解析阶段失败；进度文件、正式库和输入均未改变。","改为完整 here-string 重写进度文件并立即复读节点状态。","not_applicable"
"ERR-MI455X-TXN-0009","2026-08-13","model_operator_mistake","preflight_script_preparse","预解析严格预检脚本","错误消息中把变量 $column 紧邻冒号插值，PowerShell 把冒号解释为变量作用域语法。","脚本在解析阶段失败；没有执行检查或写入正式库。","用 ${column} 明确变量边界，重新预解析后通过。","not_applicable"
"ERR-MI455X-TXN-0010","2026-08-13","model_operator_implementation_error","candidate_oracle_attempt_01","解析官方校验器检查数","正则按旧格式查找 PASS: <数> checks，但当前输出是 PASS: 32-table research data model; 111040 checks executed。","候选已在隔离目录通过校验，但脚本拒绝继续并在 finally 中清理候选；正式库未改变。","把正则改为匹配 checks executed 前的数值，重新运行成功。","not_applicable"
