"memory_level_id","parent_memory_level_id","level_class","canonical_label","review_status","notes"
"COMP-NVIDIA-H100-REGISTER-FILE","","register","Register file","draft","65536 32-bit registers per SM."
"COMP-NVIDIA-H100-L1-SMEM","","l1","Combined L1 texture cache and shared memory","draft","Combined 256 KB per SM resource; shared-memory carveout up to 228 KB."
"COMP-NVIDIA-H100-L2","","l2","L2 cache","draft","50 MB GPU-wide cache."
"COMP-NVIDIA-H100-HBM3","","hbm","HBM3 device memory","draft","80 GB across five stacks."
"CMP-AWS-TRN2-HBM","","hbm","Trainium2 HBM","draft","芯片级设备内存"
"CMP-AWS-TRN2-SBUF","CMP-AWS-TRN2-HBM","local_scratchpad","NCv3 SBUF","draft","每核软件管理 SRAM"
"CMP-AWS-TRN2-PSUM","CMP-AWS-TRN2-SBUF","accumulator_store","NCv3 PSUM","draft","每核部分和存储"
"CMP-AWS-TRN2-3XL-MEMORY","","logical_memory_view","trn2.3xlarge accelerator memory view","needs_resolution","实例逻辑视图"
"CMP-AWS-TRN2-48XL-MEMORY","","logical_memory_view","trn2.48xlarge aggregate accelerator memory","needs_resolution","实例聚合逻辑视图"
"CMP-AWS-TRN2U-48XL-MEMORY","","logical_memory_view","trn2u.48xlarge aggregate accelerator memory","draft","实例聚合逻辑视图"
"CMP-AWS-TRN2-ULTRA64-MEMORY","","logical_memory_view","Trn2 UltraServer aggregate accelerator memory","draft","系统聚合逻辑视图"
"CMP-GROQ-LPU1-MEM","","onchip_sram","第一代 TSP 片上 SRAM","draft","MEM slices"
"CMP-GROQ-LPU1-STREAM-REG","","register","第一代 TSP stream register","draft","显式数据流寄存器"
"CMP-NVG3-MEM","","onchip_sram","Groq 3 片上 SRAM","draft","主要工作存储"
"CMP-HUAWEI-DV-L1","","l1","Da Vinci L1 Buffer","draft","MTE 向 L0 搬运"
"CMP-HUAWEI-DV-L0A","CMP-HUAWEI-DV-L1","l0","Da Vinci L0A","draft","输入 feature map"
"CMP-HUAWEI-DV-L0B","CMP-HUAWEI-DV-L1","l0","Da Vinci L0B","draft","weights"
"CMP-HUAWEI-DV-L0C","CMP-HUAWEI-DV-L1","l0","Da Vinci L0C","draft","output/accumulator"
"CMP-HUAWEI-DV-UB","","shared_scratchpad","Da Vinci Unified Buffer","draft","vector/scalar shared"
"CMP-M2GA-GV3-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV3-VMEM","CMP-M2GA-GV3-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV4-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV4-VMEM","CMP-M2GA-GV4-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV5E-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV5E-VMEM","CMP-M2GA-GV5E-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV5P-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV5P-VMEM","CMP-M2GA-GV5P-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-GV6E-HBM","","hbm","Device HBM","draft",""
"CMP-M2GA-GV6E-VMEM","CMP-M2GA-GV6E-HBM","local_scratchpad","Vector memory / on-chip SRAM","draft",""
"CMP-M2GA-G7X-HBM","","hbm","Device HBM","draft",""
