"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-AWS-TRN2-NCV3-COUNT","","CMP-AWS-TRN2-NCV3","","","","","","FIELD-COMP-UNIT-COUNT","","8","count","COND-NONE","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-NCV3-COUNT","draft","每个 Trainium2 芯片的 NCv3 数量"
"FACT-AWS-TRN2-MAIN-DMA-COUNT","","CMP-AWS-TRN2-MAIN-DMA","","","","","","FIELD-COMP-UNIT-COUNT","","128","count","COND-NONE","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-MAIN-DMA-COUNT","draft","单芯片主 DMA engine 数量"
"FACT-AWS-TRN2-GPSIMD-PROC-COUNT","","CMP-AWS-TRN2-GPSIMD-PROCESSOR","","","","","","FIELD-COMP-UNIT-COUNT","","8","count","COND-NONE","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-GPSIMD-PROC-COUNT","draft","每个 GPSIMD 内的可编程处理器数量"
"FACT-AWS-TRN2-GPSIMD-ISSUE-WIDTH","","CMP-AWS-TRN2-GPSIMD-PROCESSOR","","","","","","FIELD-COMP-ISSUE-WIDTH","","512","bit","COND-NONE","direct_statement","corroborated","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-GPSIMD-ISSUE-WIDTH","draft","每个 GPSIMD processor 的 SIMD 宽度"
"FACT-AWS-TRN2-DGE-COUNT","","CMP-AWS-TRN2-DGE","","","","","","FIELD-COMP-UNIT-COUNT","","2","count","COND-NONE","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-DGE-COUNT","draft","每个 NCv3 的 DGE 数量"
"FACT-AWS-TRN2-CCCORE-COUNT-16","","CMP-AWS-TRN2-CC-CORE","","","","","","FIELD-COMP-UNIT-COUNT","","16","count","COND-NONE","direct_statement","source_with_caveat","conflict_member","","","medium","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-CCCORE-COUNT-16","needs_resolution","S1 报告 16，与 S2 的 20 冲突"
"FACT-AWS-TRN2-CCCORE-COUNT-20","","CMP-AWS-TRN2-CC-CORE","","","","","","FIELD-COMP-UNIT-COUNT","","20","count","COND-NONE","direct_statement","source_with_caveat","conflict_member","","","medium","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-CCCORE-COUNT-20","needs_resolution","S2 报告 20，与 S1 的 16 冲突"
"FACT-AWS-TRN2-TENSOR-ARRAY-SHAPE","","CMP-AWS-TRN2-TENSOR","","","","","","FIELD-COMP-ARRAY-SHAPE","128x128 physical systolic processing-element array","","","COND-NONE","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-TENSOR-ARRAY-SHAPE","draft","FP8 double-row 的 256x128 是接口收缩形态，不改变物理阵列"
"FACT-AWS-TRN2-TENSOR-FP8-TILE","","","","","PP-AWS-TRN2-TENSOR-FP8","","","FIELD-COMP-INSTRUCTION-TILE","Maximum documented double-row example: M=128, K=256, N=512","","","COND-AWS-TRN2-CORE-FP8-DENSE-PUB","direct_statement","single_source","provisional","","","high","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-TENSOR-FP8-TILE","draft","只适用于 FP8 double-row 示例；不可与列切片、稀疏或转置模式并用"
"FACT-AWS-TRN2-TENSOR-EXECUTION-RATES","","CMP-AWS-TRN2-TENSOR","","","","","","FIELD-COMP-EXECUTION","Dense FP8 input 4x128 elements/cycle; BF16/FP16 input 2x128; structured-sparse input 5x128; output 1x128","","","COND-NONE","direct_statement","single_source","provisional","","","medium","基于试填草稿已定位的一手 AWS 来源；尚待总控独立复核","FFP-FACT-AWS-TRN2-TENSOR-EXECUTION-RATES","draft","不同格式和稀疏条件合并为一条原文机制说明，不作为吞吐相加依据"
