"selection_run_id","source_id","package_scope_status","reverse_removal_result","supported_fact_count","unique_fact_count","lost_fact_ids","decision","rationale","review_status"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A01","in_scope","fact_loss","5","5","FACT-M2W2-AWS-INF1-NCV1-COUNT|FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK|FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK|FACT-M2W2-AWS-INF1-DRAM-CAPACITY|FACT-M2W2-AWS-INF1-DRAM-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A02","in_scope","fact_loss","3","3","FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16|FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE|FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A03","in_scope","fact_loss","7","5","FACT-M2W2-AWS-TRN1-CHIP-INT8-PEAK|FACT-M2W2-AWS-TRN1-CHIP-MIXED-PEAK|FACT-M2W2-AWS-TRN1-CHIP-FP32-PEAK|FACT-M2W2-AWS-TRN1-HBM-BW-GIB|FACT-M2W2-AWS-TRN1-DMA-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A04","in_scope","fact_loss","7","5","FACT-M2W2-AWS-INF2-CHIP-INT8-PEAK|FACT-M2W2-AWS-INF2-CHIP-MIXED-PEAK|FACT-M2W2-AWS-INF2-CHIP-FP32-PEAK|FACT-M2W2-AWS-INF2-HBM-BW-GIB|FACT-M2W2-AWS-INF2-DMA-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A05","in_scope","fact_loss","12","8","FACT-M2W2-AWS-TRN1-HBM-BW-GB|FACT-M2W2-AWS-TRN1-DMA-COUNT|FACT-M2W2-AWS-TRN1-CC-COUNT|FACT-M2W2-AWS-TRN1-NEURONLINK-COUNT|FACT-M2W2-AWS-INF2-HBM-BW-GB|FACT-M2W2-AWS-INF2-DMA-COUNT|FACT-M2W2-AWS-INF2-CC-COUNT|FACT-M2W2-AWS-INF2-NEURONLINK-COUNT","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A06","in_scope","fact_loss","10","7","FACT-M2W2-AWS-TRN3-CHIP-MX-PEAK|FACT-M2W2-AWS-TRN3-CHIP-MIXED-PEAK|FACT-M2W2-AWS-TRN3-CHIP-SPARSE-PEAK|FACT-M2W2-AWS-TRN3-CHIP-FP32-PEAK|FACT-M2W2-AWS-TRN3-DMA-BW|FACT-M2W2-AWS-TRN3-CC-COUNT-16|FACT-M2W2-AWS-TRN3-NEURONLINK-BW","retain","移除后至少一条当前事实失去唯一直接证据；因此进入本轮最小来源候选。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A07","in_scope","fact_loss","15","8","FACT-M2W2-AWS-TRN3-NCV4-TENSOR-CLOCK|FACT-M2W2-AWS-TRN3-SBUF-CAPACITY|FACT-M2W2-AWS-TRN3-PSUM-CAPACITY|FACT-M2W2-AWS-TRN3-HBM-BW-47|FACT-M2W2-AWS-TRN3-HBM-STACKS|FACT-M2W2-AWS-TRN3-DMA-COUNT|FACT-M2W2-AWS-TRN3-CC-COUNT-20|FACT-M2W2-AWS-TRN3-NEURONLINK-COUNT","retain","移除后 8 条当前事实失去唯一直接证据；A07 另与 A10 共同支持 5 条事实，故保留。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A08","in_scope","fact_loss","5","4","FACT-M2W2-AWS-TRN3-HBM-CAPACITY-GB|FACT-M2W2-AWS-TRN3-PROCESS|FACT-M2W2-AWS-TRN3-HBM-TYPE|FACT-M2W2-AWS-TRN3-CHIP-FP8-GENERIC","retain","移除后 4 条当前事实失去唯一直接证据，其中包括 A08 独有的 generic FP8 定值，故保留。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A09","out_of_scope","not_tested","0","0","","excluded","当前四个 package 对象不含 Trainium4；A09 只支撑 Trainium4 路线图及 6×、4×、2× 相对声明，故本包排除。既有架构 selection run 不删除。","draft"
"SELRUN-M2W2-AWS-PKG-20260813","SRC-M2-GA-A10","in_scope","no_fact_loss","5","0","","excluded","A10 的 5 条当前 package 事实均有 A07 直接断言；移除 A10 不造成事实损失，因此不进入本轮八源最小集。来源与既有架构断言均保留。","draft"
