"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PPATH-NVIDIA-H100-FP8","COMP-NVIDIA-H100-TENSOR-CORE","FP8 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-FP16-TENSOR","COMP-NVIDIA-H100-TENSOR-CORE","FP16 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-BF16-TENSOR","COMP-NVIDIA-H100-TENSOR-CORE","BF16 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-TF32","COMP-NVIDIA-H100-TENSOR-CORE","TF32 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-FP64-TENSOR","COMP-NVIDIA-H100-TENSOR-CORE","FP64 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-INT8","COMP-NVIDIA-H100-TENSOR-CORE","INT8 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-FP16-CUDA","COMP-NVIDIA-H100-CUDA-FP32","FP16 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-BF16-CUDA","COMP-NVIDIA-H100-CUDA-FP32","BF16 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-FP32-CUDA","COMP-NVIDIA-H100-CUDA-FP32","FP32 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-FP64-CUDA","COMP-NVIDIA-H100-CUDA-FP64","FP64 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-INT32-CUDA","COMP-NVIDIA-H100-CUDA-INT32","INT32 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PP-AWS-TRN2-TENSOR-FP8","CMP-AWS-TRN2-TENSOR","NCv3 Tensor FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-BF16","CMP-AWS-TRN2-TENSOR","NCv3 Tensor BF16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-FP16","CMP-AWS-TRN2-TENSOR","NCv3 Tensor FP16 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-TF32","CMP-AWS-TRN2-TENSOR","NCv3 Tensor TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-TENSOR-FP32","CMP-AWS-TRN2-TENSOR","NCv3 Tensor FP32 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-VECTOR-FP32","CMP-AWS-TRN2-VECTOR","NCv3 Vector FP32 path","vector","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-SCALAR-FP32","CMP-AWS-TRN2-SCALAR","NCv3 Scalar FP32 path","scalar","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-FP8","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate FP8 matrix path","matrix","draft","Trainium2 试填结构化候选"
"PP-AWS-TRN2-48XL-BF16","CMP-AWS-TRN2-48XL-TENSOR-AGG","trn2.48xlarge aggregate BF16/FP16/TF32 matrix path","matrix","draft","Trainium2 试填结构化候选"
