"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PPATH-M2W3-AMD-MI455X-OCP-MXFP4-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X peak OCP MXFP4 matrix path","matrix","draft","Product page publishes a peak but does not state dense versus sparse or operation-count rule."
"PPATH-M2W3-AMD-MI455X-OCP-MXFP6-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X peak OCP MXFP6 matrix path","matrix","draft","Product page publishes a peak but does not state dense versus sparse or operation-count rule."
"PPATH-M2W3-AMD-MI455X-OCP-MXFP8-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X peak OCP MXFP8 matrix path","matrix","draft","Product page publishes a peak but does not state dense versus sparse or operation-count rule."
"PPATH-M2W3-AMD-MI455X-OCP-FP8-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X peak OCP FP8 matrix path","matrix","draft","Product page publishes a peak but does not state dense versus sparse or operation-count rule."
"PPATH-M2W3-AMD-MI455X-FP16-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X FP16 matrix path","matrix","draft","Base-column and vendor-labeled structured-sparsity peaks are separate facts; the source does not label the base column dense."
"PPATH-M2W3-AMD-MI455X-FP16-VECTOR","COMP-M2W3-AMD-MI455X-VECTOR","MI455X FP16 vector path","vector","draft","Vendor-published vector peak; no physical lane count is inferred."
"PPATH-M2W3-AMD-MI455X-FP32-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X FP32 matrix path","matrix","draft","Vendor-published matrix peak."
"PPATH-M2W3-AMD-MI455X-FP32-VECTOR","COMP-M2W3-AMD-MI455X-VECTOR","MI455X FP32 vector path","vector","draft","Vendor-published vector peak."
"PPATH-M2W3-AMD-MI455X-FP64-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X FP64 matrix path","matrix","draft","Vendor-published matrix peak."
"PPATH-M2W3-AMD-MI455X-FP64-VECTOR","COMP-M2W3-AMD-MI455X-VECTOR","MI455X FP64 vector path","vector","draft","Vendor-published vector peak."
"PPATH-M2W3-AMD-MI455X-INT8-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X INT8 matrix path","matrix","draft","Base-column and vendor-labeled structured-sparsity peaks are separate facts; the source does not label the base column dense."
"PPATH-M2W3-AMD-MI455X-BF16-MATRIX","COMP-M2W3-AMD-MI455X-MATRIX","MI455X BF16 matrix path","matrix","draft","Base-column and vendor-labeled structured-sparsity peaks are separate facts; the source does not label the base column dense."
