来源项目,来源记录,标题或条目说明,作者或机构,资料类型,证据等级,发布日期,记录状态,URL,来源文件,备注
调研-训练推理芯片调研,32,"📘 AMD GPUOpen, AMD Matrix Cores (MFMA)；ROCm MI300 微架构.",,厂商或官方资料,,,v4 当前引用,https://gpuopen.com/learn/amd-lab-notes/amd-lab-notes-matrix-cores-readme/,调研v4/99_参考文献总库.md,
调研-训练推理芯片调研,12；32；调研v4/厂商档案/AMD/芯片架构详解.md:156；调研v4/厂商档案/AMD/芯片架构详解.md:38,"📘 AMD GPUOpen, AMD Matrix Cores (MFMA)；ROCm MI300 微架构.",,厂商或官方资料,,,v4 当前引用,https://rocm.docs.amd.com/en/latest/conceptual/gpu-arch/mi300.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md,
调研-训练推理芯片调研,27；5；9,"📘 AMD IR, MI325X 发布稿 + datasheet（256GB HBM3e / 6TB/s）.",,厂商或官方资料,,,v4 当前引用,https://ir.amd.com/news-events/press-releases/detail/1220/,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,27；9,"📘 AMD IR, MI325X 发布稿 + datasheet（256GB HBM3e / 6TB/s）.",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/product-briefs/instinct-mi325x-datasheet.pdf,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md,
调研-训练推理芯片调研,12；34；4,"📘 AMD ROCm Blogs, MLPerf Inference v5.1 / v6.0 / Training v5.1（MI355X 100,282 tok/s、首次 1M tok/s 多节点、FP4 2.7× MI325X）.",,厂商或官方资料,,,v4 当前引用,https://rocm.blogs.amd.com/artificial-intelligence/mlperf-inference-v5.1/README.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,11；19；34,"📘 AMD ROCm Blogs, MLPerf Inference v5.1 / v6.0 / Training v5.1（MI355X 100,282 tok/s、首次 1M tok/s 多节点、FP4 2.7× MI325X）.",,厂商或官方资料,,,v4 当前引用,https://rocm.blogs.amd.com/artificial-intelligence/mlperf-inference-v6.0/README.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,13；34,"📘 AMD ROCm Blogs, MLPerf Inference v5.1 / v6.0 / Training v5.1（MI355X 100,282 tok/s、首次 1M tok/s 多节点、FP4 2.7× MI325X）.",,厂商或官方资料,,,v4 当前引用,https://rocm.blogs.amd.com/artificial-intelligence/mlperf-training-v5.1/README.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,19；34,"📘 AMD ROCm Blogs, MLPerf Inference v5.1 / v6.0 / Training v5.1（MI355X 100,282 tok/s、首次 1M tok/s 多节点、FP4 2.7× MI325X）.",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/en/blogs/2026/amd-delivers-breakthrough-mlperf-inference-6-0-results.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md,
调研-训练推理芯片调研,26；4；8,"📘 AMD, Instinct MI300A APU data sheet（228 CU + 24 Zen4 + 128GB 统一 HBM3、FP64 vector 61.3/matrix 122.6 TFLOPS、El Capitan）.",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/data-sheets/amd-instinct-mi300a-data-sheet.pdf,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,1；25,"📘 AMD, Instinct MI300X data sheet + ROCm MI300 arch docs（CDNA3 基线 192GB/5.3TB/s、FP64 matrix 163.4）.",,厂商或官方资料,,,v4 当前引用,https://github.com/ROCm/ROCm/blob/develop/docs/conceptual/gpu-arch/mi300.md,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md,
调研-训练推理芯片调研,1；25；3,"📘 AMD, Instinct MI300X data sheet + ROCm MI300 arch docs（CDNA3 基线 192GB/5.3TB/s、FP64 matrix 163.4）.",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/data-sheets/amd-instinct-mi300x-data-sheet.pdf,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,2；28；6,"📘 AMD, Instinct MI350 Series — Game Changer（4× over MI300X 平台）.",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/en/blogs/2025/amd-instinct-mi350-series-game-changer.html,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
调研-训练推理芯片调研,1；24；5,"📘 AMD, Instinct MI355X GPU datasheet（FP8 10.07/5.03、FP6=FP4 20.13/10.07、FP16 5.03/2.52 稀疏/稠密、FP64 78.6 TFLOPS、288GB/8TB/s、1400W）. ；NEC/Koi 镜像",,厂商或官方资料,,,v4 当前引用,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/product-briefs/amd-instinct-mi355x-gpu-brochure.pdf,调研v4/99_参考文献总库.md；调研v4/厂商档案/AMD/芯片架构详解.md；调研v4/厂商档案/AMD/资料汇总.md,
