"source_id","source_family_id","title","author_or_organization","source_type","publication_date","version_label","language","source_authority","source_status","content_fingerprint","last_verified_date","review_status","notes"
"SRC-GROQ-TSP-ISCA2020","SFAM-GROQ-TSP-ISCA2020","Think Fast: A Tensor Streaming Processor for Accelerating Deep Learning Workloads","Dennis Abts et al. / Groq","architecture_paper","","ISCA 2020","en","peer_reviewed","current","sha256:12ceca6fd2d5bcbb854712eed027a49690475a0f746da901285be1f54b79877a","2026-08-12","draft","固定 PDF；论文明确 first-generation"
"SRC-GROQ-GROQCHIP-BRIEF-V1-7","SFAM-GROQ-GROQCHIP-BRIEF","GroqChip Processor Product Brief v1.7","Groq","product_brief","","v1.7; 2024","en","first_party","current","sha256:bc6aa1f5e667d75aba689a3b336b0a6fc68f6b3a002274550b94c7b9671f5377","2026-08-12","draft","固定 PDF，修订值不得与 2020 首版实现无条件合并"
"SRC-GROQ-WHITEPAPER-2019-OCT","SFAM-GROQ-WHITEPAPER-2019","Groq architecture whitepaper","Groq","architecture_whitepaper","","2019-10","en","first_party","inaccessible","unavailable:groq-whitepaper-2019-10","2026-08-12","needs_resolution","历史官方 PDF URL 当前返回 HTTP 404；搜索索引可识别标题，但未取得正文或带 URL 的稳定替代镜像"
"SRC-GROQ-TSP-ISCA2022","SFAM-GROQ-TSP-ISCA2022","A Software-defined Tensor Streaming Multiprocessor for Large-scale Machine Learning","Groq","architecture_paper","","ISCA 2022","en","peer_reviewed","inaccessible","unavailable:doi-10.1145-3470496.3527405","2026-08-12","needs_resolution","ACM DOI 入口当前 HTTP 403；Groq 官方地区 PDF 镜像当前 HTTP 522；全文未固定到本地"
"SRC-NVG3-ARCH-BLOG-2026-03-16","SFAM-NVG3-ARCH-BLOG","Inside NVIDIA Groq 3 LPX: The Low-Latency Inference Accelerator for the NVIDIA Vera Rubin Platform","NVIDIA","developer_documentation","2026-03-16","modified 2026-04-02","en","first_party","dynamic_unfrozen","sha256:23d1eb9dd0cd5bdccf30d21f43d05a8e1cc75183b568f9978102a5f9a08d4b25","2026-08-12","draft","固定 HTML 快照"
"SRC-NVG3-LPX-PRODUCT-2026-08-12","SFAM-NVG3-LPX-PRODUCT","NVIDIA Groq 3 LPX product page","NVIDIA","product_page","","snapshot 2026-08-12","en","first_party","dynamic_unfrozen","sha256:7010b9d6fa63b93baf6da1b30b1d05db3f278680cd918311675ce83c62770938","2026-08-12","draft","对本包事实均被架构博客覆盖，保留产品状态快照"
"SRC-NVG3-C2C-BLOG-2026-05-14","SFAM-NVG3-C2C-BLOG","How the NVIDIA Vera Rubin Platform is Solving Agentic AI's Scale-Up Problem","NVIDIA","developer_documentation","2026-05-14","modified 2026-06-11","en","first_party","dynamic_unfrozen","sha256:e70a01bc757f855f4adc0d01024c8e94cf14864d87daa19e7a116a2dc37a0450","2026-08-12","draft","固定 HTML 快照，补充 Groq 3 C2C 协议"
"SRC-HUAWEI-DAVINCI-HOTCHIPS31-2019","SFAM-HUAWEI-DAVINCI-HC31","DaVinci: A Scalable Architecture for Neural Network Computing","Huawei","architecture_paper","2019-08-19","Hot Chips 31","en","first_party","current","sha256:c9fc6953008d96deface0b66a416cb574672131066a097d625b9f1794aa918b6","2026-08-12","draft","本地固定 PDF；只承接论文明确架构与配置"
"SRC-HUAWEI-ASCEND-HPCA2021","SFAM-HUAWEI-ASCEND-HPCA2021","Ascend: A Scalable and Unified Architecture for Ubiquitous Deep Neural Network Computing","Huawei / IEEE","architecture_paper","","HPCA 2021","en","peer_reviewed","current","sha256:869ca2cbd9d7626d1b0eedc4f581ada774a1ab474ad26e55d2f67c01ab51bb4c","2026-08-12","draft","本地固定 PDF；产品专属参数不外推为架构事实"
"SRC-CAMBRICON-MLU370-PRODUCT-2026-08-12","SFAM-CAMBRICON-MLU370-PRODUCT","思元370产品页","寒武纪","product_page","","snapshot 2026-08-12","zh-CN","first_party","dynamic_unfrozen","sha256:c9c92759b35f884acc826acae3f53e19ea395872ea721b7a7d54b34750c1a2ee","2026-08-12","draft","用于 BANG v3 与物理 MLUarch03 分层审计"
"SRC-CAMBRICON-MLU290M5-PRODUCT-2026-08-12","SFAM-CAMBRICON-MLU290M5-PRODUCT","玄思1000 / MLU290-M5 产品页","寒武纪","product_page","","snapshot 2026-08-12","zh-CN","first_party","dynamic_unfrozen","sha256:ee53ede2bd457b2b2e287f8038502ee7cc4c9c1866966447d37b82aa587482ea","2026-08-12","draft","只确认产品身份，未给 BANG v2 或物理架构名"
