"candidate_id","candidate_kind","scope_id","source_id","paired_source_ids","status_or_role","coverage_scope","rationale","review_status","notes"
"SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813","selection_run","M2-W2-GOOGLE-CLOUD-DEVICE","","","draft","planned_device_fact_set","针对九条完整云端待办和 GV5P-03 的 95 GiB 分支执行 reverse-removal-v1 候选；事实集合改变后必须重跑","draft","当前是准备包，不晋级 reviewed"
"SCREEN-M2W2-G-G01-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G01","","out_of_scope","device_fact_set","96 GiB 与其余 v5p 物理实现值属于 package；只在 GV5P-03 分支审计中保留","draft","不改变 G01 在架构选择运行中的正式状态"
"SCREEN-M2W2-G-G05-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G05","SRC-M2-GA-G08|SRC-M2-GA-G09|SRC-M2-GA-G10|SRC-M2-GA-G15","redundant_covered","planned_device_fact_set","产品页直接给出各代 per-chip 与 VM/slice 边界；G15 保留 v6e 2 SparseCore 原待办来源链。G05 仍作为对象模型核查来源保存，不进入本次四源最小集","draft","组合覆盖候选，正式 coverage 行须由总控按单一 covering_source_id 规则拆分"
"SCREEN-M2W2-G-G08-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G08","","selected","planned_device_fact_set","v5e 单器件身份、组件数量、峰值、HBM 和 ICI 的直接一手来源","draft","新器件范围结论覆盖架构范围中的旧 screening 口径，但不回写旧行"
"SCREEN-M2W2-G-G09-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G09","","selected","planned_device_fact_set","v5p 云端 95 GiB 与每芯片双向 ICI 的唯一直接产品页来源","draft","架构包中的 redundant_covered 只对架构事实成立，不能沿用"
"SCREEN-M2W2-G-G10-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G10","","selected","planned_device_fact_set","v6e 单器件身份、TensorCore/MXU、峰值、HBM 和 ICI 的直接一手来源","draft","2 SparseCore 继续由 G15 原待办来源链承担"
"SCREEN-M2W2-G-G15-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G15","","selected","planned_device_fact_set","保留 DEF-M2GA-GV6E-01 的 2 SparseCore 原始来源链；表格直接按 Trillium 每芯片列数量","draft","同页 96 GiB 不能替代 v5p 云端 95 GiB"
"SCREEN-M2W2-G-TPUMACH-DEVICE","screening","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-W2-G-TPU-MACHINES-20260813","","out_of_scope","device_fact_set","该页提供 VM、machine type 与 slice 聚合配置，不提供新的单器件定值","draft","在配置行审计范围内另行 selected"
"COV-M2W2-G-G05-BY-DEVICE-SOURCES","coverage_bundle","M2-W2-GOOGLE-CLOUD-DEVICE","SRC-M2-GA-G05","SRC-M2-GA-G08|SRC-M2-GA-G09|SRC-M2-GA-G10|SRC-M2-GA-G15","fully_covered","planned_device_fact_set","组合后覆盖本包采用的 per-chip 边界与 v6e SparseCore 数量；不声称页面全文等价","draft","候选束不能直接追加到正式 source-coverage.csv，须拆分并独立复核"
"SELMEM-M2W2-G-G08","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813","SRC-M2-GA-G08","","core_spec","planned_device_fact_set","移除后 v5e 组件、峰值、HBM 与 ICI 的计划事实失去直接支持","draft","事实集合或页面哈希变化后重跑反向移除"
"SELMEM-M2W2-G-G09","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813","SRC-M2-GA-G09","","core_spec","planned_device_fact_set","移除后 v5p 云端 95 GiB 和 1200 GB/s 双向 ICI 失去直接支持","draft","事实集合或页面哈希变化后重跑反向移除"
"SELMEM-M2W2-G-G10","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813","SRC-M2-GA-G10","","core_spec","planned_device_fact_set","移除后 v6e 峰值、HBM、ICI 与 TensorCore/MXU 数量失去直接支持","draft","事实集合或页面哈希变化后重跑反向移除"
"SELMEM-M2W2-G-G15","selection_member","SELRUN-M2W2-GOOGLE-CLOUD-DEVICE-20260813","SRC-M2-GA-G15","","core_spec","planned_device_fact_set","在当前四源选择中移除后，DEF-M2GA-GV6E-01 的 2 SparseCore 原来源链失去支持","draft","事实集合或页面哈希变化后重跑反向移除"
"SCREEN-M2W2-G-TPUMACH-CONFIG","screening","M2-W2-GOOGLE-CONFIG-ROW-AUDIT","SRC-M2-W2-G-TPU-MACHINES-20260813","","selected","machine_type_and_topology_rows","机器类型、每 VM 芯片数、总 HBM 和 topology 行的对象匹配一手来源","draft","配置事实尚未冻结，不建立 reviewed selection run"
"BOUNDARY-M2W2-G-GV5P03-G01","boundary_member","DEF-M2GA-GV5P-03-SPLIT","SRC-M2-GA-G01","SRC-M2-GA-G09","conflict_evidence","cross_object_scope_audit","固定论文表格给出 96 GiB 物理分支","draft","不支持 95 GiB 云端值"
"BOUNDARY-M2W2-G-GV5P03-G09","boundary_member","DEF-M2GA-GV5P-03-SPLIT","SRC-M2-GA-G09","SRC-M2-GA-G01","conflict_evidence","cross_object_scope_audit","云产品页给出 95 GiB per chip 分支","draft","两源共同保留作用域歧义，不推导 1 GiB 预留"
