"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASRT-M2W2-AWS-INF1-NCV1-COUNT-A01-1","FACT-M2W2-AWS-INF1-NCV1-COUNT","SRC-M2-GA-A01","core_spec","direct_statement","supports","","4","NeuronCore-v1 per chip","A01 v2.31.0 snapshot lines 1977-1987, Inferentia Architecture table","Each Inferentia chip consists of four NeuronCore-v1 cores.","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-NCV1-COUNT|SRC-M2-GA-A01|A01 v2.31.0 snapshot lines 1977-1987, Inferentia Architecture table","draft","实例的 16 颗只作边界上下文。"
"ASRT-M2W2-AWS-INF1-CHIP-INT8-PEAK-A01-1","FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK","SRC-M2-GA-A01","core_spec","direct_statement","supports","","128","INT8 TOPS","A01 v2.31.0 snapshot lines 1983-1987, Compute row","delivering 128 INT8 TOPS","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK|SRC-M2-GA-A01|A01 v2.31.0 snapshot lines 1983-1987, Compute row","draft","规范化为 128×10^12 OP/s。"
"ASRT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK-A01-1","FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK","SRC-M2-GA-A01","core_spec","direct_statement","supports","","64","FP16/BF16 TFLOPS","A01 v2.31.0 snapshot lines 1983-1987, Compute row","64 FP16/BF16 TFLOPS","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK|SRC-M2-GA-A01|A01 v2.31.0 snapshot lines 1983-1987, Compute row","draft","不拆成两个来源未分别报告的峰值。"
"ASRT-M2W2-AWS-INF1-DRAM-CAPACITY-A01-1","FACT-M2W2-AWS-INF1-DRAM-CAPACITY","SRC-M2-GA-A01","core_spec","direct_statement","supports","","8","GiB","A01 v2.31.0 snapshot lines 1989-1992, Device Memory row","8GiB of device DRAM memory","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-DRAM-CAPACITY|SRC-M2-GA-A01|A01 v2.31.0 snapshot lines 1989-1992, Device Memory row","draft","按 8×2^30 byte 规范化。"
"ASRT-M2W2-AWS-INF1-DRAM-BW-A01-1","FACT-M2W2-AWS-INF1-DRAM-BW","SRC-M2-GA-A01","core_spec","direct_statement","supports","","50","GiB/sec","A01 v2.31.0 snapshot lines 1989-1992, Device Memory row","50 GiB/sec of bandwidth","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-DRAM-BW|SRC-M2-GA-A01|A01 v2.31.0 snapshot lines 1989-1992, Device Memory row","draft","按 50×2^30 byte/s 规范化。"
"ASRT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16-A02-1","FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16","SRC-M2-GA-A02","core_spec","direct_statement","supports","","16","FP16/BF16 TFLOPS","A02 v2.9.1 snapshot lines 1766-1770, TensorEngine paragraph","delivers 16 TFLOPS of FP16/BF16 tensor computations","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16|SRC-M2-GA-A02|A02 v2.9.1 snapshot lines 1766-1770, TensorEngine paragraph","draft","频率未在同一陈述中给出。"
"ASRT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE-A02-1","FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE","SRC-M2-GA-A02","core_spec","direct_statement","supports","","256","floating operations/cycle","A02 v2.9.1 snapshot lines 1759-1765, VectorEngine paragraph","perform 256 floating point operations per cycle","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE|SRC-M2-GA-A02|A02 v2.9.1 snapshot lines 1759-1765, VectorEngine paragraph","draft","格式和频率条件保持缺口。"
"ASRT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE-A02-1","FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE","SRC-M2-GA-A02","core_spec","direct_statement","supports","","512","floating operations/cycle","A02 v2.9.1 snapshot lines 1753-1758, ScalarEngine paragraph","process 512 floating point operations per cycle","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE|SRC-M2-GA-A02|A02 v2.9.1 snapshot lines 1753-1758, ScalarEngine paragraph","draft","格式和频率条件保持缺口。"
"ASRT-M2W2-AWS-TRN1-NCV2-COUNT-A03-1","FACT-M2W2-AWS-TRN1-NCV2-COUNT","SRC-M2-GA-A03","core_spec","direct_statement","supports","","2","NeuronCore-v2 per chip","A03 v2.26.1 snapshot lines 1562-1573, Trainium chip table","each Trainium include 2 x NeuronCore-v2","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-TRN1-NCV2-COUNT|SRC-M2-GA-A03|A03 v2.26.1 snapshot lines 1562-1573, Trainium chip table","draft","实例内 16 颗不下放。"
"ASRT-M2W2-AWS-TRN1-NCV2-COUNT-A05-2","FACT-M2W2-AWS-TRN1-NCV2-COUNT","SRC-M2-GA-A05","core_spec","direct_statement","supports","","2","NeuronCore-v2 per device","A05 v2.29.1 snapshot lines 1928-1932, device overview","2 NeuronCores (v2)","source_checked","m2_w2_aws_package_facts","","2026-08-13","M2W2-AWS-PKG|FACT-M2W2-AWS-TRN1-NCV2-COUNT|SRC-M2-GA-A05|A05 v2.29.1 snapshot lines 1928-1932, device overview","draft","共享指南分别适用于 Trainium 与 Inferentia2。"
