"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-M2W3-AMD-MI455X-VENDOR","OBJ-AMD-MI455X","","","","","","","FIELD-ID-VENDOR","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-ID-VENDOR value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-ID-VENDOR","draft","Canonical fact: FACT-M2W3-AMD-MI455X-VENDOR."
"REQ-M2W3-AMD-MI455X-FAMILY","OBJ-AMD-MI455X","","","","","","","FIELD-ID-FAMILY","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-ID-FAMILY value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-ID-FAMILY","draft","Canonical fact: FACT-M2W3-AMD-MI455X-FAMILY."
"REQ-M2W3-AMD-MI455X-NAME","OBJ-AMD-MI455X","","","","","","","FIELD-ID-NAME","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-ID-NAME value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-ID-NAME","draft","Canonical fact: FACT-M2W3-AMD-MI455X-NAME."
"REQ-M2W3-AMD-MI455X-SKU","OBJ-AMD-MI455X","","","","","","","FIELD-ID-SKU","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-ID-SKU value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-ID-SKU","draft","Canonical fact: FACT-M2W3-AMD-MI455X-SKU."
"REQ-M2W3-AMD-MI455X-OBJECT-TYPE","OBJ-AMD-MI455X","","","","","","","FIELD-ID-OBJECT-TYPE","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-ID-OBJECT-TYPE value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-ID-OBJECT-TYPE","draft","Canonical fact: FACT-M2W3-AMD-MI455X-OBJECT-TYPE."
"REQ-M2W3-AMD-MI455X-RELEASE-DATE","OBJ-AMD-MI455X","","","","","","","FIELD-ID-RELEASE-DATE","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-ID-RELEASE-DATE value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-ID-RELEASE-DATE","draft","Canonical fact: FACT-M2W3-AMD-MI455X-RELEASE-DATE."
"REQ-M2W3-AMD-MI455X-PROCESS","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-PROCESS","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-PROCESS value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-PROCESS","draft","Canonical fact: FACT-M2W3-AMD-MI455X-PROCESS."
"REQ-M2W3-AMD-MI455X-PACKAGE","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-PACKAGE","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-PACKAGE value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-PACKAGE","draft","Canonical fact: FACT-M2W3-AMD-MI455X-PACKAGE."
"REQ-M2W3-AMD-MI455X-XCD-COUNT","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-DIE-COUNT","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-DIE-COUNT value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-DIE-COUNT","draft","Canonical fact: FACT-M2W3-AMD-MI455X-XCD-COUNT."
"REQ-M2W3-AMD-MI455X-TRANSISTORS","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-TRANSISTORS","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-TRANSISTORS value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-TRANSISTORS","draft","Canonical fact: FACT-M2W3-AMD-MI455X-TRANSISTORS."
"REQ-M2W3-AMD-MI455X-CLOCK","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-CLOCK","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-CLOCK value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-CLOCK","draft","Canonical fact: FACT-M2W3-AMD-MI455X-CLOCK."
"REQ-M2W3-AMD-MI455X-FORM-FACTOR","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-FORM-FACTOR","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-FORM-FACTOR value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-FORM-FACTOR","draft","Canonical fact: FACT-M2W3-AMD-MI455X-FORM-FACTOR."
"REQ-M2W3-AMD-MI455X-COOLING","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-COOLING","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-COOLING value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-COOLING","draft","Canonical fact: FACT-M2W3-AMD-MI455X-COOLING."
"REQ-M2W3-AMD-MI455X-HBM-STACKS","OBJ-AMD-MI455X","","","","","","","FIELD-PHY-HBM-STACKS","value_available","Selected first-party evidence or a fully specified public derivation supports this FIELD-PHY-HBM-STACKS value for OBJ-AMD-MI455X.","completed","2026-08-13","M2W3|MI455X|object_id|OBJ-AMD-MI455X|FIELD-PHY-HBM-STACKS","draft","Canonical fact: FACT-M2W3-AMD-MI455X-HBM-STACKS."
