"gap_id","object_id","domain","field_or_question","status","basis","next_action","do_not_fill_from"
"GAP-GROQ1-001","OBJ-GROQ-LPU1-ARCH","compute","总算力与矩阵算力版本口径","not_applicable","ISCA 2020 给 1 GHz 首版 820 TOp/s；v1.7 给 900 MHz、INT8 750 TOPS 与 FP16 188 TFLOPS。它们是不同修订/频率口径。","数值逐条保留在 implementation-object-backlog.csv；待 die/package/card 身份冻结后承接，不进入架构代际事实","架构对象或第三方汇总"
"GAP-GROQ1-002","OBJ-GROQ-LPU1-ARCH","compute","向量总吞吐","not_found","一手论文给出 5120 个 32-bit vector ALU 与结构，但没有可直接比较的芯片级向量 FLOP/s。","要求保留结构事实和 not_found，不用 ALU 数自行乘出 headline 值","旧调研估算"
"GAP-GROQ1-003","OBJ-GROQ-LPU1-ARCH","numerics","TruePoint 的输入/乘积/累加/输出精确链","pending_verification","v1.7 只写 TruePoint、MXM FP32、VXM FP16/FP32；ISCA 2020 写 INT8→INT32、FP16→FP32 的首版路径。","不得把 TruePoint 标签静默解释成 IEEE FP16 或首版 MXM 路径","媒体解读"
"GAP-GROQ1-004","OBJ-GROQ-LPU1-ARCH","memory","220 MiB/55 TiB/s 与 230 MB/80 TB/s 的版本差异","not_applicable","2020 架构论文与 2024 产品简报数值不同，单位与产品修订均不同。","保留为两个实现/修订候选，不建立架构事实或冲突组；待物理对象身份冻结后分别归属","无版本二手表"
"GAP-GROQ1-005","OBJ-GROQ-LPU1-ARCH","interconnect","2022 scale-out 拓扑、有效载荷和集合通信","inaccessible_evidence","ISCA 2022 的 ACM DOI 当前返回 HTTP 403，Groq 官方地区 PDF 镜像返回远端 HTTP 522；全文未固定到本地。","端点已拆成单 URL、单整数状态；取得固定全文后再补 scale-out 拓扑、有效载荷和集合通信事实","媒体转述"
"GAP-GROQ1-006","OBJ-GROQ-LPU1-ARCH","special_engines","MoE routing / Top-K 专用模块","not_found","一手首代架构论文与产品简报未见专用模块。","记录检索完成与 not_found；不要把 SXM、编译器或云端 MoE 支持写成专用硬件","算子存在性"
"GAP-NVG3-001","OBJ-NVIDIA-GROQ3-ARCH","compute","每 LPU 直接 FP8 峰值","not_applicable","官方技术博客图中公开 256 芯片机架 315 PFLOPS 与 8 芯片托盘 9.6 PFLOPS，但正文未直接给单芯片值。","机架/托盘聚合值不对 architecture_generation 做除法；待 LPU 物理对象建立后再判断能否派生","第三方每芯片数字"
"GAP-NVG3-002","OBJ-NVIDIA-GROQ3-ARCH","numerics","MXM 固定数据类型、累加精度、输出格式","not_found","官方只说 fixed data types 与 predictable throughput，未公开具体输入/乘积/累加链。","按 not_found 保留，不从 FP8 系统峰值反推累加格式","第一代 Groq 格式"
"GAP-NVG3-003","OBJ-NVIDIA-GROQ3-ARCH","compute","VXM 芯片级向量吞吐与标量路径","not_found","官方给 VXM 功能和每 lane ALU mesh，但未给数量、峰值；未单列 scalar module。","结构可入卡，吞吐留空；不得套用第一代 5120 ALU","第一代 Groq 数字"
"GAP-NVG3-004","OBJ-NVIDIA-GROQ3-ARCH","memory","SRAM 读写方向、有效持续带宽、延迟","not_applicable","150 TB/s 是厂商每 LPU on-chip SRAM bandwidth 名义值，未给方向或持续实测。","150 TB/s 与 500 MB 移入实现对象待办；架构卡只保留 flat SRAM-first、编译器管理机制","营销口径拆分"
"GAP-NVG3-005","OBJ-NVIDIA-GROQ3-ARCH","interconnect","2.5 TB/s 聚合方向与线路数学关系","not_applicable","96×112 Gbps 的原始线路总和不能直接等于文中约 2.5 TB/s；文中明确称 aggregate I/O bi-directional。","96×112 Gbps 和约 2.5 TB/s 均只在物理 LPU 对象承接；架构卡只保留 high-radix、point-to-point、plesiosynchronous 机制","自行乘算"
"GAP-NVG3-006","OBJ-NVIDIA-GROQ3-ARCH","special_engines","MoE routing / Top-K 专用模块","not_found","官方说 LPX 承担 FFN/MoE expert execution，未描述专用路由或 Top-K 物理模块。","只记部署分工或一般计算路径，不建立 dedicated module 能力","系统工作分配"
"GAP-HUAWEI-001","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","identity","首代 Da Vinci 与 2021 Ascend 统一架构的代际边界","pending_verification","两篇华为论文可互相补充机制，但 2021 文中的产品配置和 SoC 数据不能全部投射到 2019 历史对象。","只导入共享核心机制；2019 图示与 2021 Ascend-Max 配置值逐条放入 implementation-object-backlog.csv，等待有类型的实现/配置对象","910/310 系统数值"
"GAP-HUAWEI-002","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","compute","架构级总算力、矩阵与向量单一值","not_applicable","Da Vinci/Ascend 是可裁剪架构，论文给多个 core configuration；不存在一个无条件全架构峰值。","保存配置条件，或以执行结构事实替代无条件总值","单一产品规格"
"GAP-HUAWEI-003","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","numerics","物理内部累加位宽、舍入、非规格数","not_found","论文只直接说明 FP16 source 与 FP32 destination、INT8 扩展及格式转换；没有直接给出程序员可见累加或物理内部累加格式。","保留 destination 直接事实，累加字段记 not_found；不从 destination 反推 accumulation","第三方 ISA 猜测"
"GAP-HUAWEI-004","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","memory","各层容量与带宽的跨配置适用性","not_applicable","2019 图给 16^3 core 的 L0A/B/C、L1、UB 容量；2021 Table 5 给不同配置带宽。","所有容量、每周期吞吐和端口带宽候选已移入实现待办；保留原始 KB/MB/TB/s 标签和方向未说明状态，等待配置对象","Ascend 910 汇聚值"
"GAP-HUAWEI-005","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","interconnect","架构级片间互联与拓扑","not_applicable","原始核心架构不定义单一片间拓扑；2021 的 HCCS、PCIe、fat-tree 属于 Ascend 910 系统。","本架构卡写不适用并指明产品/系统对象承接","Ascend 910 服务器"
"GAP-HUAWEI-006","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","special_engines","MoE routing / Top-K 专用模块","not_found","原始论文描述 activation/NMS/ROI/SORT、MTE 解压/img2col/transpose；未见 MoE/Top-K 专用模块。","只记录论文明确的固定功能；MoE/Top-K 留 not_found","后代软件算子"
"GAP-CAMBRICON-001","OBJ-CAMBRICON-MLU590-ARCH","compute","架构级计算单元、矩阵/向量/标量吞吐","not_found","可访问一手 WAIC 页面只给架构名；没有固定版架构白皮书。","复用既有 MLUarch05 名称事实，其他字段不从 MLU590 媒体数字补齐","第三方报道"
"GAP-CAMBRICON-002","OBJ-CAMBRICON-MLU590-ARCH","numerics","数据格式与累加链","not_found","未取得可读取的版本化 CNToolkit/CNNL 正文或物理架构文档。","软件接口若恢复访问，也只能先证明支持路径，不能自动证明内部位宽","软件库接口名"
"GAP-CAMBRICON-003","OBJ-CAMBRICON-MLU590-ARCH","memory","NRAM/WRAM/SRAM 容量与带宽","not_found","可访问一手资料没有 MLUarch05 物理存储定值；CNToolkit 正文远端 401，且 BANG/compute 目标与 MLUarch05 的等价关系未证实。","保持 not_found；即使正文恢复，也先验证标识映射，再判断能否归属物理架构","构建脚本宏"
"GAP-CAMBRICON-004","OBJ-CAMBRICON-MLU590-ARCH","interconnect","架构互联与拓扑","not_found","WAIC 架构名事实未公开互联机制。","由具体芯片/板卡资料承担，架构卡不猜测","相邻 MLU370 MLU-Link"
"GAP-CAMBRICON-005","OBJ-CAMBRICON-MLU590-ARCH","special_engines","MoE routing / Top-K / Attention 专用模块","not_found","既有 MLU590 复核只发现待核软件接口线索，无专用物理模块证据。","复用既有缺口结论，不新增能力事实","CNNL 算子名称"
"GAP-CAMBRICON-006","OBJ-CAMBRICON-MLU590-ARCH","identity","BANG v5.0 / MLUarch05 / mtp_592 等价关系","inaccessible_evidence","不同语义层标识的等价关系未证实；CNToolkit 正文已知但远端 HTTP 401，现无两个可靠来源提出互斥命题。","保持候选层与软件标识分离；正文恢复可读前不建等价关系，也不建立冲突组","数字相似性"
"GAP-HUAWEI-007","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","numerics","Vector Unit 的通用 FP32 operations 支持如何进入规范字段","pending_verification","HPCA 2021 直接说明 vector unit 支持 FP32 operations，但现有 schema 没有不指定 operand/output 角色的通用格式支持字段。","卡片保留来源原句和定位；在字段模型扩展前不强写为 FIELD-NUM-OPERAND-A","把通用格式支持解释成特定 operand 角色"
