"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"CC-M2W3-HUAWEI-ASC950-DIE-IDENTITY","OBJ-HUAWEI-ASCEND-950-DIE","identity","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","Shared die identity fixed; standalone SKU/status/availability not applicable."
"CC-M2W3-HUAWEI-ASC950-DIE-PHYSICAL","OBJ-HUAWEI-ASCEND-950-DIE","physical","missing_public_data","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE physical assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-DIE-COMPUTE","OBJ-HUAWEI-ASCEND-950-DIE","compute","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE compute assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-DIE-NUMERICS","OBJ-HUAWEI-ASCEND-950-DIE","numerics","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE numerics assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-DIE-MEMORY","OBJ-HUAWEI-ASCEND-950-DIE","memory","missing_public_data","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE memory assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT","OBJ-HUAWEI-ASCEND-950-DIE","interconnect","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE interconnect assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-DIE-SPECIAL_ENGINES","OBJ-HUAWEI-ASCEND-950-DIE","special_engines","missing_public_data","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE special_engines assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-DIE-SOFTWARE","OBJ-HUAWEI-ASCEND-950-DIE","software","missing_public_data","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE software assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-DIE-EVIDENCE","OBJ-HUAWEI-ASCEND-950-DIE","evidence","complete","2026-08-13","m2_w3_huawei_asc950_physical","draft","DIE evidence assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-PR-IDENTITY","OBJ-HUAWEI-ASCEND-950PR","identity","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","Current exact identity and embedded commercial use; no standalone delivery or exact availability date."
"CC-M2W3-HUAWEI-ASC950-PR-PHYSICAL","OBJ-HUAWEI-ASCEND-950PR","physical","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","PR physical assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-PR-COMPUTE","OBJ-HUAWEI-ASCEND-950PR","compute","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","PR compute assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-PR-NUMERICS","OBJ-HUAWEI-ASCEND-950PR","numerics","missing_public_data","2026-08-13","m2_w3_huawei_asc950_physical","draft","PR numerics assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-PR-MEMORY","OBJ-HUAWEI-ASCEND-950PR","memory","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","PR memory assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-PR-INTERCONNECT","OBJ-HUAWEI-ASCEND-950PR","interconnect","partial","2026-08-13","m2_w3_huawei_asc950_physical","draft","PR interconnect assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
"CC-M2W3-HUAWEI-ASC950-PR-SPECIAL_ENGINES","OBJ-HUAWEI-ASCEND-950PR","special_engines","missing_public_data","2026-08-13","m2_w3_huawei_asc950_physical","draft","PR special_engines assessed against H-2/H-6/H-7/H-12; scope and missing-data states preserved."
