"source_id","source_family_id","title","author_or_organization","source_type","publication_date","version_label","language","source_authority","source_status","content_fingerprint","last_verified_date","review_status","notes"
"SRC-AWS-TRN2-S01","SFAM-AWS-TRN2-S01","AWS Neuron Trainium2 Architecture","AWS","developer_documentation","","2.29.1","en","first_party","current","sha256:7d64744172d9510676906c3e098366e60ba9da9a6409f463d2ba4cc68e28dac2","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S02","SFAM-AWS-TRN2-S02","Trainium2 Architecture Guide for NKI","AWS","developer_documentation","","2.29.1","en","first_party","current","sha256:1fad493985a349aea5e3b54cca1ef50d416e993bba218801d63935335831618b","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S03","SFAM-AWS-TRN2-S03","NeuronCore-v3 Architecture","AWS","developer_documentation","","2.29.1","en","first_party","current","sha256:cf0e9b1d829493869b7dcc88c8cabc0c906926fc87eafbd926de176644c6e75a","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S04","SFAM-AWS-TRN2-S04","nki.isa.nc_matmul","AWS","api_or_isa_documentation","","2.29.1","en","first_party","current","sha256:87f1a1951f012d53157827ea4bca3137b219438bfcbf3a4dc6a0ae3a07f2f271","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S05","SFAM-AWS-TRN2-S05","Logical NeuronCore configuration","AWS","developer_documentation","","2.29.1","en","first_party","current","sha256:7241cdc3f1b167a0688158cc61fa85564ee6c6aaef4a2339ae95cadd60a39b5a","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S06","SFAM-AWS-TRN2-S06","Amazon EC2 Trn2 Architecture","AWS","developer_documentation","","2.29.1","en","first_party","current","sha256:7fb896ec667656d3ee2ce9641e595deef15094851505fcdc63413aa990dfcb00","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S07","SFAM-AWS-TRN2-S07","Amazon EC2 Trn2 Instances","AWS","product_page","","observed-2026-08-12","en","first_party","dynamic_unfrozen","sha256:4c315ad5c342d10e1e0a6a8a5ab59b87be94e9fc19911f6ac122964317aa32cf","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S08","SFAM-AWS-TRN2-S08","NKI Collectives","AWS","api_or_isa_documentation","","2.29.1","en","first_party","current","sha256:cde7520b1dd3a5527444182775e8ef10b8486cdfd168afaf96590e4b6e5ff74c","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S09","SFAM-AWS-TRN2-S09","Amazon EC2 Trn2 instances are now available","AWS","press_release","2024-12-03","2024-12-03","en","first_party","current","sha256:153871394577aa451cebacf67c7e7fe62683abd74645b56b8886dd316506f037","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
"SRC-AWS-TRN2-S10","SFAM-AWS-TRN2-S10","Amazon EC2 Trn2 Instances and Trn2 UltraServers for AI/ML training and inference are now available","AWS","other","2024-12-03","revised-2024-12-03","en","first_party","current","sha256:dd48c849a0e6ce3f2577c2b048de587026b658fba306168edb730b7475ee55a2","2026-08-12","draft","2026-08-12 已保存官方 HTML 快照并登记 SHA-256；动态页面的后续变化需新建来源版本或快照。"
