"candidate_id","vendor","product_line","canonical_name","display_name","object_layer","object_type","architecture_hint","variant_or_configuration","scope_status","availability_status","release_or_status_date","parent_or_related_hint","official_source_keys","inclusion_basis","open_questions","review_status"
"CAND-NVIDIA-ARCH-AMPERE","NVIDIA","NVIDIA Data Center GPU","NVIDIA Ampere architecture","Ampere","architecture","architecture_generation","Ampere","","historical_anchor","historical_anchor","","","NV-1;NV-2","Hopper 之前仍需保留的架构锚点。","是否只保留 A100 代表卡。","draft"
"CAND-NVIDIA-A100-SXM4-80GB","NVIDIA","NVIDIA Data Center GPU","NVIDIA A100 SXM4 80 GB","A100 SXM4 80 GB","product_sku","module","Ampere","SXM4;80 GB","historical_anchor","historical_anchor","","CAND-NVIDIA-ARCH-AMPERE","NV-1;NV-2","时间窗前的代表性 SXM 模组。","固定版数据手册版本和首次发布日期。","draft"
"CAND-NVIDIA-A800-DATACENTER","NVIDIA","NVIDIA Data Center GPU","NVIDIA A800 Data Center Accelerator","NVIDIA A800 数据中心加速器","product_sku","card","Ampere","容量和形态待确认","main_sample","available","","CAND-NVIDIA-ARCH-AMPERE","NV-2;NV-3","官方支持材料确认正式市场身份。","40/80 GB、PCIe/SXM 的正式订货名和发布日期。","needs_resolution"
"CAND-NVIDIA-A800-40GB-ACTIVE","NVIDIA","NVIDIA Data Center GPU","NVIDIA A800 40GB Active","A800 40GB Active","product_sku","card","Ampere","40 GB;Active","main_sample","","","CAND-NVIDIA-A800-DATACENTER","NV-2;NV-3","普查要求与 A800 数据中心产品身份分开保存。","是否为独立可订购 SKU，以及与其他 A800 形态的关系。","needs_resolution"
"CAND-NVIDIA-ARCH-HOPPER","NVIDIA","NVIDIA Data Center GPU","NVIDIA Hopper architecture","Hopper","architecture","architecture_generation","Hopper","","main_sample","available","","","NV-1;NV-2;NV-4","2022 年后数据中心主架构之一。","首次正式发布日期。","draft"
"CAND-NVIDIA-H100-SXM5-80GB","NVIDIA","NVIDIA Data Center GPU","NVIDIA H100 SXM5 80 GB","H100 SXM5 80 GB","product_sku","module","Hopper","SXM5;80 GB","main_sample","available","","CAND-NVIDIA-ARCH-HOPPER","NV-1;NV-2;NV-4","正式供货的独立物理模组。","固定版规格文件。","draft"
"CAND-NVIDIA-H100-PCIE-80GB","NVIDIA","NVIDIA Data Center GPU","NVIDIA H100 PCIe 80 GB","H100 PCIe 80 GB","product_sku","card","Hopper","PCIe;80 GB","main_sample","available","","CAND-NVIDIA-ARCH-HOPPER","NV-1;NV-2;NV-4","与 SXM 模组物理边界不同的卡。","固定版规格文件。","draft"
"CAND-NVIDIA-H100-NVL","NVIDIA","NVIDIA Data Center GPU","NVIDIA H100 NVL","H100 NVL","product_sku","card","Hopper","双 GPU 产品边界待核","main_sample","available","","CAND-NVIDIA-ARCH-HOPPER","NV-1;NV-2;NV-4","官方产品组合中的独立 NVL 对象。","双 GPU 边界、容量变体和固定版规格页。","needs_resolution"
"CAND-NVIDIA-H200-SXM-141GB","NVIDIA","NVIDIA Data Center GPU","NVIDIA H200 SXM 141 GB","H200 SXM 141 GB","product_sku","module","Hopper","SXM;141 GB","main_sample","available","","CAND-NVIDIA-ARCH-HOPPER","NV-1;NV-4","当前正式产品组合中的 SXM 模组。","首次供货日期。","draft"
"CAND-NVIDIA-H200-NVL-141GB","NVIDIA","NVIDIA Data Center GPU","NVIDIA H200 NVL 141 GB","H200 NVL 141 GB","product_sku","card","Hopper","NVL;141 GB","main_sample","available","","CAND-NVIDIA-ARCH-HOPPER","NV-1;NV-4","与 H200 SXM 分开的 NVL 产品。","设备数和带宽口径。","needs_resolution"
"CAND-NVIDIA-H800","NVIDIA","NVIDIA Data Center GPU","NVIDIA H800","H800","product_sku","card","待核","地区或出口变体","main_sample","available","","","NV-2;NV-3","官方驱动或支持矩阵确认正式身份。","发布日期、内存、互联限制和版本沿革。","needs_resolution"
"CAND-NVIDIA-H20","NVIDIA","NVIDIA Data Center GPU","NVIDIA H20","H20","product_sku","card","待核","地区或出口变体","main_sample","available","","","NV-2;NV-3","官方驱动或支持矩阵确认正式身份。","发布日期、内存、互联限制和版本沿革。","needs_resolution"
"CAND-NVIDIA-L20","NVIDIA","NVIDIA Data Center GPU","NVIDIA L20","L20","product_sku","card","待核","地区或出口变体","main_sample","available","","","NV-2;NV-3","官方驱动或支持矩阵确认正式身份。","发布日期、内存、互联限制和版本沿革。","needs_resolution"
"CAND-NVIDIA-L2","NVIDIA","NVIDIA Data Center GPU","NVIDIA L2","L2","product_sku","card","待核","地区或出口变体","main_sample","available","","","NV-2;NV-3","官方驱动或支持矩阵确认正式身份。","发布日期、内存、互联限制和版本沿革。","needs_resolution"
"CAND-NVIDIA-H20BFX","NVIDIA","NVIDIA Data Center GPU","NVIDIA H20BFX","H20BFX","product_sku","card","待核","地区或出口变体","observation","announced","","","NV-3","2026 驱动发布说明出现正式市场名。","独立产品页、订货号、地区、容量和首供日期。","needs_resolution"
"CAND-NVIDIA-RTX-PRO-6000D","NVIDIA","NVIDIA Data Center GPU","NVIDIA RTX PRO 6000D","RTX PRO 6000D","product_sku","card","Blackwell","地区或出口变体","observation","announced","","","NV-3","2026 驱动发布说明出现正式市场名。","独立产品页、订货号、地区、容量和首供日期。","needs_resolution"
"CAND-NVIDIA-ARCH-ADA-LOVELACE","NVIDIA","NVIDIA Data Center GPU","NVIDIA Ada Lovelace architecture","Ada Lovelace","architecture","architecture_generation","Ada Lovelace","","main_sample","available","","","NV-1;NV-2;NV-5","L40、L40S 和 L4 的共享架构对象。","首次进入数据中心产品线的日期。","draft"
"CAND-NVIDIA-L40","NVIDIA","NVIDIA Data Center GPU","NVIDIA L40","L40","product_sku","card","Ada Lovelace","","main_sample","available","","CAND-NVIDIA-ARCH-ADA-LOVELACE","NV-1;NV-2","正式数据中心产品。","正式首供日期和固定版规格文件。","draft"
"CAND-NVIDIA-L40S","NVIDIA","NVIDIA Data Center GPU","NVIDIA L40S","L40S","product_sku","card","Ada Lovelace","","main_sample","available","","CAND-NVIDIA-ARCH-ADA-LOVELACE","NV-1;NV-2;NV-5","正式数据中心产品。","正式首供日期和固定版规格文件。","draft"
