"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PPATH-M2W3-AMD-MI350P-MXFP4-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P peak MXFP4 matrix path","matrix","draft","Vendor performance-format label only; A/B, product, accumulation and output encodings are not stated."
"PPATH-M2W3-AMD-MI350P-MXFP6-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P peak MXFP6 matrix path","matrix","draft","Vendor performance-format label only; A/B, product, accumulation and output encodings are not stated."
"PPATH-M2W3-AMD-MI350P-MXFP8-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P peak MXFP8 matrix path","matrix","draft","Vendor performance-format label only; A/B, product, accumulation and output encodings are not stated."
"PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P peak OCP-FP8 E5M2/E4M3 matrix path","matrix","draft","Base and structured-sparsity peaks are separate; no exact operand pairing, product, accumulation or output contract is stated."
"PPATH-M2W3-AMD-MI350P-FP16-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P FP16 matrix path","matrix","draft","Base and structured-sparsity peaks are separate; the base row is not silently labeled dense."
"PPATH-M2W3-AMD-MI350P-BF16-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P BF16 matrix path","matrix","draft","Base and structured-sparsity peaks are separate; the base row is not silently labeled dense."
"PPATH-M2W3-AMD-MI350P-INT8-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P INT8 matrix path","matrix","draft","Base and structured-sparsity peaks use OP/s; the base row is not silently labeled dense."
"PPATH-M2W3-AMD-MI350P-FP32-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P FP32 matrix path","matrix","draft","Vendor peak label only; sparsity, product, accumulation and output formats are not stated."
"PPATH-M2W3-AMD-MI350P-FP64-MATRIX","COMP-M2W3-AMD-MI350P-MATRIX","MI350P FP64 matrix path","matrix","draft","Vendor peak label only; sparsity, product, accumulation and output formats are not stated."
"PPATH-M2W3-AMD-MI350P-FP16-VECTOR","COMP-M2W3-AMD-MI350P-VECTOR","MI350P FP16 vector path","vector","draft","Vendor peak label only; lane count and product-specific accumulation are not inferred."
"PPATH-M2W3-AMD-MI350P-FP32-VECTOR","COMP-M2W3-AMD-MI350P-VECTOR","MI350P FP32 vector path","vector","draft","Vendor peak label only; lane count and product-specific accumulation are not inferred."
"PPATH-M2W3-AMD-MI350P-FP64-VECTOR","COMP-M2W3-AMD-MI350P-VECTOR","MI350P FP64 vector path","vector","draft","Vendor peak label only; lane count and product-specific accumulation are not inferred."
