"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:41:39.4882542Z","precommit","lock_acquired","","fbb4998ed82fb54ed022c2d7006ce3098cb634e6f586d950fd82a1d9044d3a6b","Z:\scripts\MI455X-FORMAL-TRANSACTION-LOCK-0c2039457ba34aa3.lock"
"2","2026-08-13T07:42:04.7747351Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da"
"3","2026-08-13T07:42:04.7966737Z","commit_complete","csv_replace","数据/card-completeness.csv","35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da","commit_index=1"
"4","2026-08-13T07:42:04.8011089Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a"
"5","2026-08-13T07:42:04.8279764Z","commit_complete","csv_replace","数据/components.csv","e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a","commit_index=2"
"6","2026-08-13T07:42:04.8334379Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f"
"7","2026-08-13T07:42:04.8645892Z","commit_complete","csv_replace","数据/condition-sets.csv","c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f","commit_index=3"
"8","2026-08-13T07:42:04.8683039Z","commit_begin","csv_replace","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","registered_before_move;candidate=0bbaafed1019cd73e0cadb1eb8388b54ec3e7c5f2eda06a762c393f96a988e34"
"9","2026-08-13T07:42:04.8926861Z","commit_complete","csv_replace","数据/facts.csv","0bbaafed1019cd73e0cadb1eb8388b54ec3e7c5f2eda06a762c393f96a988e34","commit_index=4"
"10","2026-08-13T07:42:04.8978796Z","commit_begin","csv_replace","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","registered_before_move;candidate=ddb5e846e2fb233e78b264f802cdb63a501fcf7447967a767fccabd8b7166c5d"
"11","2026-08-13T07:42:04.9211318Z","commit_complete","csv_replace","数据/field-requirements.csv","ddb5e846e2fb233e78b264f802cdb63a501fcf7447967a767fccabd8b7166c5d","commit_index=5"
"12","2026-08-13T07:42:04.9272447Z","commit_begin","csv_replace","数据/links.csv","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","registered_before_move;candidate=18979321e5a54c3f9108e7e92dfdefb97345b9f80f5456aeb1469547376d2bf6"
"13","2026-08-13T07:42:04.9540321Z","commit_complete","csv_replace","数据/links.csv","18979321e5a54c3f9108e7e92dfdefb97345b9f80f5456aeb1469547376d2bf6","commit_index=6"
"14","2026-08-13T07:42:04.9576501Z","commit_begin","csv_replace","数据/memory-levels.csv","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","registered_before_move;candidate=c10848efee3dde72212295d416efeaec3db4c8b931558b9337b383e323fb1fe1"
"15","2026-08-13T07:42:04.9796514Z","commit_complete","csv_replace","数据/memory-levels.csv","c10848efee3dde72212295d416efeaec3db4c8b931558b9337b383e323fb1fe1","commit_index=7"
"16","2026-08-13T07:42:04.9838211Z","commit_begin","csv_replace","数据/precision-paths.csv","477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431","registered_before_move;candidate=157070b42cd0ef1e02ac0eb7df0414b2210f810071d983d2e2f18b405ff339aa"
"17","2026-08-13T07:42:05.0095648Z","commit_complete","csv_replace","数据/precision-paths.csv","157070b42cd0ef1e02ac0eb7df0414b2210f810071d983d2e2f18b405ff339aa","commit_index=8"
"18","2026-08-13T07:42:05.0143319Z","commit_begin","csv_replace","最小参考资料库/fact-assertions.csv","7066ed9c845dadb801047b9e4cbd2ea50f7af1c9f6d0836a9d5a5115d40fc92b","registered_before_move;candidate=c7bab43cb5220f05450cda9009a754c6b90a16e7b7e838ff829ccac771b135b8"
"19","2026-08-13T07:42:05.0418588Z","commit_complete","csv_replace","最小参考资料库/fact-assertions.csv","c7bab43cb5220f05450cda9009a754c6b90a16e7b7e838ff829ccac771b135b8","commit_index=9"
