"signoff_row_id","binding_kind","source_path","source_sha256","source_bytes","target_path","pk_column","pk_value","source_review_status","authorized_review_status","semantic_status_column","semantic_status_before","semantic_status_after","source_line_sha256","freeze_manifest_sha256","freeze_manifest_bytes","freeze_aggregate_sha256","formal_baseline_manifest_sha256","formal_baseline_manifest_bytes","formal_baseline_aggregate_sha256","temporary_merge_validator_checks","verdict","reviewer","review_date","notes"
"ASC950-SIGN-0001","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-IDENTITY","draft","reviewed","","","","61bab9667fec6008640a5181c9bcd52141b925cf63e9614bca3ad1bd79e91839","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0002","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-PHYSICAL","draft","reviewed","","","","eec3f97bcf12fea166b1d2f1528181b57b9c0b4b6363522283828abac3690596","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0003","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-COMPUTE","draft","reviewed","","","","9f77994e4370bc242d6a806f30dd39fe14a24c64ece7c534dfa5457d88a728c7","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0004","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-NUMERICS","draft","reviewed","","","","ea9d6c481eb966eaf045aa6b2a9125f7b5a4a1636c1d9439c9569d32cefa3971","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0005","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-MEMORY","draft","reviewed","","","","349c5e502565af46d6b1a18e97d32516fb9d2189ebc9a8a82436d34a54854423","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0006","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT","draft","reviewed","","","","515946e5ffd0b2ee4fc93beda1d1c01be5bb4ebb5a789e8059bd86282d5255e0","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0007","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-SPECIAL_ENGINES","draft","reviewed","","","","9a896019ecb6323e5efd2ccc4a9d0e5d52a3445bf20121115ec5e5550a38fc73","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0008","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-SOFTWARE","draft","reviewed","","","","af5d055e0cc5539dcc4158cfbe72559f0faeb2ab7ec94886f1b23ec53e093dc2","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0009","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-DIE-EVIDENCE","draft","reviewed","","","","7c021a34a2bcf0bf0c1feda6625642f1732eedcb10a90cb8bd54c8f8568925d7","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
"ASC950-SIGN-0010","lifecycle_pk_write","审计/子代理交接/m2_staging/M2-W3-HUAWEI-ASCEND950-PHYSICAL/structured/card-completeness.csv","c58424d5e9af992122aa2421516be5c64c4570ce8ad60d9c9bf5d773cf1b5de3","6444","数据/card-completeness.csv","card_completeness_id","CC-M2W3-HUAWEI-ASC950-PR-IDENTITY","draft","reviewed","","","","4401c821206a940322dc567a7cef921ce00bc3e756a0e8fb52ae9f591961ebc4","ec23f82850e0c72fc2eb8d60d72d08dfed9fbc0237e27dbea7e3fb87041c36c7","7096","d10ba0c4437c8f10c044149015101e066688d0cf8b1a43d7379529eed940dd87","e2a5c9ed328fb280854b57a4b46f8212db724d311c4843e679511fbf0a574036","3542","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","115461","accept","m2_final_review_ascend950","2026-08-13","仅授权该主键按冻结来源行追加，并把 review_status 从 draft 改为 reviewed；所有其余列保持冻结值。"
