"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2W3-HUAWEI-DIE-VENDOR-H2","FACT-M2W3-HUAWEI-ASC950-DIE-VENDOR","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Huawei","","","H-2 publisher/title","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-VENDOR|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 publisher/title","draft",""
"ASSERT-M2W3-HUAWEI-DIE-FAMILY-H2","FACT-M2W3-HUAWEI-ASC950-DIE-FAMILY","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950 series","","","H-2: Over the next three years","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-FAMILY|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2: Over the next three years","draft",""
"ASSERT-M2W3-HUAWEI-DIE-NAME-H2","FACT-M2W3-HUAWEI-ASC950-DIE-NAME","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950 Die","","","H-2: At the moment","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-NAME|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2: At the moment","draft",""
"ASSERT-M2W3-HUAWEI-DIE-TYPE-H2","FACT-M2W3-HUAWEI-ASC950-DIE-OBJECT-TYPE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","identity","direct_statement","supports","Ascend 950 Die","","","H-2: At the moment","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-OBJECT-TYPE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2: At the moment","draft","Exact die term."
"ASSERT-M2W3-HUAWEI-DIE-RELEASE-H2","FACT-M2W3-HUAWEI-ASC950-DIE-RELEASE-DATE","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","status_version","direct_statement","supports","2025-09-18","","","H-2 publication date","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-RELEASE-DATE|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|supports|H-2 publication date","draft","First public disclosure."
"ASSERT-M2W3-HUAWEI-DIE-FP8-H2","FACT-M2W3-HUAWEI-ASC950-DIE-FP8-THROUGHPUT","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","inferred","qualifies","","1","PFLOPS","H-2 paragraphs beginning At the moment; First; Second; Third","Ascend 950 chips will deliver 1 PFLOPS in FP8","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-FP8-THROUGHPUT|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning At the moment; First; Second; Third","draft","Common-series value; direct source subject is ""Ascend 950 chips"". Shared-die assignment is inferred from the preceding same-die statement; operation semantics unresolved."
"ASSERT-M2W3-HUAWEI-DIE-MXFP8-H2","FACT-M2W3-HUAWEI-ASC950-DIE-MXFP8-THROUGHPUT","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","inferred","qualifies","","1","PFLOPS","H-2 paragraphs beginning At the moment; First; Second; Third","Ascend 950 chips will deliver 1 PFLOPS in MXFP8","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-MXFP8-THROUGHPUT|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning At the moment; First; Second; Third","draft","Common-series value; direct source subject is ""Ascend 950 chips"". Shared-die assignment is inferred from the preceding same-die statement; operation semantics unresolved."
"ASSERT-M2W3-HUAWEI-DIE-HIF8-H2","FACT-M2W3-HUAWEI-ASC950-DIE-HIF8-THROUGHPUT","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","inferred","qualifies","","1","PFLOPS","H-2 paragraphs beginning At the moment; First; Second; Third","Ascend 950 chips will deliver 1 PFLOPS in HIF8","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-HIF8-THROUGHPUT|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning At the moment; First; Second; Third","draft","Common-series value; direct source subject is ""Ascend 950 chips"". Shared-die assignment is inferred from the preceding same-die statement; operation semantics unresolved."
"ASSERT-M2W3-HUAWEI-DIE-MXFP4-H2","FACT-M2W3-HUAWEI-ASC950-DIE-MXFP4-THROUGHPUT","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","core_spec","inferred","qualifies","","2","PFLOPS","H-2 paragraphs beginning At the moment; First; Second; Third","Ascend 950 chips will deliver 2 PFLOPS in MXFP4","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-MXFP4-THROUGHPUT|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning At the moment; First; Second; Third","draft","Common-series value; direct source subject is ""Ascend 950 chips"". Shared-die assignment is inferred from the preceding same-die statement; operation semantics unresolved."
"ASSERT-M2W3-HUAWEI-DIE-VECTOR-H2","FACT-M2W3-HUAWEI-ASC950-DIE-VECTOR-EXECUTION","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","architecture_mechanism","inferred","qualifies","innovative design that combines SIMD and SIMT","","","H-2 paragraphs beginning At the moment; First; Second; Third","","source_checked","m2_w3_huawei_asc950_physical","","2026-08-13","FACT-M2W3-HUAWEI-ASC950-DIE-VECTOR-EXECUTION|SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918|qualifies|H-2 paragraphs beginning At the moment; First; Second; Third","draft","Direct source subject is ""Ascend 950 chips"". Shared-die assignment is inferred from the preceding same-die statement."
