"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"CMP-M2W2-AWS-INF1-NCV1","OBJ-AWS-INFERENTIA1-CHIP","","compute","other_fixed_function","Inferentia chip NeuronCore-v1","draft","单器件内 NCv1 实现实例；架构机制继续引用 OBJ-AWS-INFERENTIA1-ARCH。"
"CMP-M2W2-AWS-INF1-TENSOR","OBJ-AWS-INFERENTIA1-CHIP","CMP-M2W2-AWS-INF1-NCV1","compute","matrix","NCv1 Tensor Engine implementation","draft","只承载每 NCv1 定量吞吐，不复制架构执行机制。"
"CMP-M2W2-AWS-INF1-VECTOR","OBJ-AWS-INFERENTIA1-CHIP","CMP-M2W2-AWS-INF1-NCV1","compute","vector","NCv1 Vector Engine implementation","draft","只承载每 NCv1 每周期定量吞吐。"
"CMP-M2W2-AWS-INF1-SCALAR","OBJ-AWS-INFERENTIA1-CHIP","CMP-M2W2-AWS-INF1-NCV1","compute","scalar","NCv1 Scalar Engine implementation","draft","只承载每 NCv1 每周期定量吞吐。"
"CMP-M2W2-AWS-INF1-CHIP-TENSOR","OBJ-AWS-INFERENTIA1-CHIP","","compute","matrix","Inferentia chip aggregate Tensor compute","draft","单芯片聚合规格视图，不表示新增物理单元。"
"CMP-M2W2-AWS-INF1-DRAM","OBJ-AWS-INFERENTIA1-CHIP","","memory","memory_level","Inferentia device DRAM","draft","单芯片设备内存。"
"CMP-M2W2-AWS-TRN1-NCV2","OBJ-AWS-TRAINIUM1-CHIP","","compute","other_fixed_function","Trainium chip NeuronCore-v2","draft","单器件内 NCv2 实现实例；架构机制继续引用 OBJ-AWS-TRAINIUM1-ARCH。"
"CMP-M2W2-AWS-TRN1-CHIP-TENSOR","OBJ-AWS-TRAINIUM1-CHIP","","compute","matrix","Trainium chip aggregate Tensor compute","draft","单芯片聚合规格视图。"
"CMP-M2W2-AWS-TRN1-HBM","OBJ-AWS-TRAINIUM1-CHIP","","memory","memory_level","Trainium device HBM","needs_resolution","820 GiB/s 与 820 GB/s 原标签冲突待解决。"
"CMP-M2W2-AWS-TRN1-DMA","OBJ-AWS-TRAINIUM1-CHIP","","data_movement","dma","Trainium DMA engines","draft","只承载单芯片数量与聚合带宽。"
"CMP-M2W2-AWS-INF2-NCV2","OBJ-AWS-INFERENTIA2-CHIP","","compute","other_fixed_function","Inferentia2 chip NeuronCore-v2","draft","单器件内 NCv2 实现实例；架构机制继续引用 OBJ-AWS-INFERENTIA2-ARCH。"
"CMP-M2W2-AWS-INF2-CHIP-TENSOR","OBJ-AWS-INFERENTIA2-CHIP","","compute","matrix","Inferentia2 chip aggregate Tensor compute","draft","单芯片聚合规格视图。"
"CMP-M2W2-AWS-INF2-HBM","OBJ-AWS-INFERENTIA2-CHIP","","memory","memory_level","Inferentia2 device HBM","needs_resolution","820 GiB/s 与 820 GB/s 原标签冲突待解决。"
"CMP-M2W2-AWS-INF2-DMA","OBJ-AWS-INFERENTIA2-CHIP","","data_movement","dma","Inferentia2 DMA engines","draft","只承载单芯片数量与聚合带宽。"
"CMP-M2W2-AWS-TRN3-NCV4","OBJ-AWS-TRAINIUM3-CHIP","","compute","other_fixed_function","Trainium3 chip NeuronCore-v4","draft","单器件内 NCv4 实现实例；架构机制继续引用 OBJ-AWS-TRAINIUM3-ARCH。"
"CMP-M2W2-AWS-TRN3-TENSOR","OBJ-AWS-TRAINIUM3-CHIP","CMP-M2W2-AWS-TRN3-NCV4","compute","matrix","NCv4 Tensor Engine implementation","draft","只承载每 NCv4 定量吞吐与频率。"
"CMP-M2W2-AWS-TRN3-VECTOR","OBJ-AWS-TRAINIUM3-CHIP","CMP-M2W2-AWS-TRN3-NCV4","compute","vector","NCv4 Vector Engine implementation","draft","只承载每 NCv4 定量吞吐。"
"CMP-M2W2-AWS-TRN3-SCALAR","OBJ-AWS-TRAINIUM3-CHIP","CMP-M2W2-AWS-TRN3-NCV4","compute","scalar","NCv4 Scalar Engine implementation","draft","只承载每 NCv4 定量吞吐。"
"CMP-M2W2-AWS-TRN3-CHIP-TENSOR","OBJ-AWS-TRAINIUM3-CHIP","","compute","matrix","Trainium3 chip aggregate Tensor compute","draft","单芯片聚合规格视图。"
"CMP-M2W2-AWS-TRN3-SBUF","OBJ-AWS-TRAINIUM3-CHIP","CMP-M2W2-AWS-TRN3-NCV4","memory","memory_level","NCv4 SBUF","draft","每 NCv4 的软件管理片上存储。"
"CMP-M2W2-AWS-TRN3-PSUM","OBJ-AWS-TRAINIUM3-CHIP","CMP-M2W2-AWS-TRN3-NCV4","memory","memory_level","NCv4 PSUM","draft","每 NCv4 的部分和存储。"
