"selection_member_id","selection_run_id","source_id","selected_role","mandatory_reason","review_status","notes"
"SELMEM-M2-GA-A02-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A02","architecture_mechanism","事实唯一支持：Inferentia1 身份、三类执行引擎、软件管理 SRAM、输入格式与输出精度的直接证据；当前逐来源断言链中有 10 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A03-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A03","architecture_mechanism","事实唯一支持：Trainium1 身份、cFP8/TF32 支持，以及 DMA 路径内联压缩和解压缩的代际证据；当前逐来源断言链中有 4 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A04-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A04","architecture_mechanism","事实唯一支持：Inferentia2 身份、cFP8/TF32 支持，以及 DMA 路径内联压缩和解压缩的代际证据；当前逐来源断言链中有 4 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A05-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A05","architecture_mechanism","事实唯一支持：NCv2 四类引擎、128×128 阵列、数值语义、SBUF/PSUM、HBM↔SBUF DMA、CC-Core、NeuronLink-v2 与编译器同步；当前逐来源断言链中有 26 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A06-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A06","identity","必要身份/版本职责：Trainium3 代际身份的版本化官方入口；实现层总量留在 deferred；当前事实链有 1 条身份断言依赖该版本化入口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A07-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A07","architecture_mechanism","事实唯一支持：NCv4 引擎与数据通路、MX/BF16 语义、PSUM、DMA、特殊能力、NeuronLink-v4 与 NKI MX 接口；当前逐来源断言链中有 19 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A08-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A08","status_version_evidence","必要状态/版本职责：Trainium3 一般可用状态的定日官方证据；工艺与系统配置不进入架构事实；当前事实链有 1 条定日状态或版本断言依赖该来源","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A09-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A09","status_version_evidence","必要状态/版本职责：Trainium4 代际身份和预计 2027 年交付状态的唯一入选一手证据；当前事实链有 2 条定日状态或版本断言依赖该来源","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-A10-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-A10","architecture_mechanism","事实唯一支持：NCv4 的 SBUF 片上 SRAM、MXFP4 计算前转换为 MXFP8，以及七种结构稀疏模式的版本化证据；当前逐来源断言链中有 3 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G01-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G01","architecture_mechanism","事实唯一支持：v3、v4、v5p 与 Ironwood 的共同执行、存储、DMA、SparseCore、ICI 与 XLA 事实；当前逐来源断言链中有 25 条事实由该来源直接支撑，反向移除会造成事实证据缺口；Top-K 跨代叙述只留边界记录，不计入本次事实贡献","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G02-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G02","architecture_mechanism","事实唯一支持：TPU v3 身份、TensorCore 执行组织和 128×128 MXU 的原始论文证据；当前逐来源断言链中有 3 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G03-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G03","architecture_mechanism","事实唯一支持：TPU v4 身份、128×128 MXU、CMEM 软件 scratchpad 与 ICI 的原始论文证据；当前逐来源断言链中有 4 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G05-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G05","architecture_mechanism","事实唯一支持：v5e/v6e 执行与阵列，以及各代 BF16 输入和 FP32 累加语义；不承担 v5e/v6e 存储、DMA 或软件归属；当前逐来源断言链中有 16 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G08-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G08","architecture_mechanism","事实唯一支持：v5e 代际身份与 ICI 机制的当前官方入口；动态页面仍未冻结；当前逐来源断言链中有 2 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G10-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G10","architecture_mechanism","事实唯一支持：v6e（Trillium）代际身份与 ICI 机制的当前官方入口；动态页面仍未冻结；当前逐来源断言链中有 2 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G11-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G11","architecture_mechanism","事实唯一支持：Ironwood ICI 机制的当前官方入口；D2D 协议与集合通信管理已下沉 deferred；当前逐来源断言链中有 1 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G13-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G13","architecture_mechanism","事实唯一支持：TPU 8t/8i 的 FP4、存储管理、SparseCore/LLM Decoder Engine、CAE、TPUDirect 与 Pallas/Mosaic 直接证据；当前逐来源断言链中有 11 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G14-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G14","status_version_evidence","必要状态/版本职责：TPU 8t/8i 待提供状态与 TPU 8i ICI 机制的定日官方证据；当前事实链有 3 条定日状态或版本断言依赖该来源","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
"SELMEM-M2-GA-G15-R2","SEL-M2GA-ARCH-20260812-R2","SRC-M2-GA-G15","architecture_mechanism","事实唯一支持：v4/v5p/v6e SparseCore 组织及排序、过滤、前缀和跨 lane 操作的独有证据；当前逐来源断言链中有 4 条事实由该来源直接支撑，反向移除会造成事实证据缺口","draft","包内反向移除会使至少一条直接事实失去断言；全库合并后仍须复核"
