"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PP-M2W2-AWS-INF1-CHIP-INT8","CMP-M2W2-AWS-INF1-CHIP-TENSOR","Inferentia chip aggregate INT8 Tensor path","matrix","draft","厂商芯片聚合峰值标签。"
"PP-M2W2-AWS-INF1-CHIP-FP16BF16","CMP-M2W2-AWS-INF1-CHIP-TENSOR","Inferentia chip aggregate FP16/BF16 Tensor path","matrix","draft","来源把 FP16 与 BF16 合并为一个峰值标签。"
"PP-M2W2-AWS-INF1-NCV1-FP16BF16","CMP-M2W2-AWS-INF1-TENSOR","NCv1 Tensor FP16/BF16 path","matrix","draft","每 NCv1 Tensor Engine。"
"PP-M2W2-AWS-TRN1-CHIP-INT8","CMP-M2W2-AWS-TRN1-CHIP-TENSOR","Trainium chip aggregate INT8 Tensor path","matrix","draft","厂商芯片聚合峰值标签。"
"PP-M2W2-AWS-TRN1-CHIP-MIXED","CMP-M2W2-AWS-TRN1-CHIP-TENSOR","Trainium chip aggregate FP16/BF16/cFP8/TF32 Tensor path","matrix","draft","来源给出同一组合峰值。"
"PP-M2W2-AWS-TRN1-CHIP-FP32","CMP-M2W2-AWS-TRN1-CHIP-TENSOR","Trainium chip aggregate FP32 Tensor path","matrix","draft","厂商芯片聚合峰值标签。"
"PP-M2W2-AWS-INF2-CHIP-INT8","CMP-M2W2-AWS-INF2-CHIP-TENSOR","Inferentia2 chip aggregate INT8 Tensor path","matrix","draft","厂商芯片聚合峰值标签。"
"PP-M2W2-AWS-INF2-CHIP-MIXED","CMP-M2W2-AWS-INF2-CHIP-TENSOR","Inferentia2 chip aggregate FP16/BF16/cFP8/TF32 Tensor path","matrix","draft","来源给出同一组合峰值。"
"PP-M2W2-AWS-INF2-CHIP-FP32","CMP-M2W2-AWS-INF2-CHIP-TENSOR","Inferentia2 chip aggregate FP32 Tensor path","matrix","draft","厂商芯片聚合峰值标签。"
"PP-M2W2-AWS-TRN3-CHIP-MX","CMP-M2W2-AWS-TRN3-CHIP-TENSOR","Trainium3 chip aggregate MXFP8/MXFP4 Tensor path","matrix","draft","来源给出 MXFP8/MXFP4 组合峰值。"
"PP-M2W2-AWS-TRN3-CHIP-MIXED","CMP-M2W2-AWS-TRN3-CHIP-TENSOR","Trainium3 chip aggregate BF16/FP16/TF32 Tensor path","matrix","draft","稠密与结构化稀疏用不同条件集。"
"PP-M2W2-AWS-TRN3-CHIP-FP32","CMP-M2W2-AWS-TRN3-CHIP-TENSOR","Trainium3 chip aggregate FP32 Tensor path","matrix","draft","厂商芯片聚合峰值标签。"
"PP-M2W2-AWS-TRN3-NCV4-MX","CMP-M2W2-AWS-TRN3-TENSOR","NCv4 Tensor MXFP8/MXFP4 path","matrix","draft","每 NCv4 Tensor Engine。"
"PP-M2W2-AWS-TRN3-NCV4-MIXED","CMP-M2W2-AWS-TRN3-TENSOR","NCv4 Tensor BF16/FP16/TF32 path","matrix","draft","每 NCv4 Tensor Engine。"
"PP-M2W2-AWS-TRN3-NCV4-FP32","CMP-M2W2-AWS-TRN3-TENSOR","NCv4 Tensor FP32 path","matrix","draft","每 NCv4 Tensor Engine。"
"PP-M2W2-AWS-TRN3-NCV4-VECTOR-FP32","CMP-M2W2-AWS-TRN3-VECTOR","NCv4 Vector FP32 path","vector","draft","每 NCv4 Vector Engine。"
"PP-M2W2-AWS-TRN3-NCV4-SCALAR-FP32","CMP-M2W2-AWS-TRN3-SCALAR","NCv4 Scalar FP32 path","scalar","draft","每 NCv4 Scalar Engine。"
"PP-M2W2-AWS-INF1-NCV1-VECTOR-GENERIC-FLOAT","CMP-M2W2-AWS-INF1-VECTOR","NCv1 Vector Engine generic floating-point operations per cycle","vector","draft","A02 未给具体浮点格式；该 precision path 只固定原文的 generic floating-point 边界。"
"PP-M2W2-AWS-INF1-NCV1-SCALAR-GENERIC-FLOAT","CMP-M2W2-AWS-INF1-SCALAR","NCv1 Scalar Engine generic floating-point operations per cycle","scalar","draft","A02 未给具体浮点格式；该 precision path 只固定原文的 generic floating-point 边界。"
"PP-M2W2-AWS-TRN3-CHIP-FP8-GENERIC","CMP-M2W2-AWS-TRN3-CHIP-COMPUTE","Trainium3 chip aggregate generic FP8 compute path","other","draft","A08 只标为 FP8；与 A06 的 MXFP8/MXFP4 标签及显示精度分别保留，不静默合并。"
