"target_path","authorized_row_writes","premerge_sha256","bytes","data_rows","columns","utf8_valid","utf8_bom","crlf_count","bare_lf_count","bare_cr_count","final_crlf","header"
"数据/card-completeness.csv","40","bc0c35e1dd5cc166cbfd65ea0f1fe5525c5340005e1005ab059e85061976f6cc","66107","324","8","true","false","325","0","0","true","""card_completeness_id"",""object_id"",""domain"",""completeness_status"",""assessed_date"",""assessor"",""review_status"",""notes"""
"数据/components.csv","27","b7d7e6ccaeefad98dd6b92724eba60390b06f2da66d820e6441e15b32485d380","38736","227","8","true","false","228","0","0","true","""component_id"",""owner_object_id"",""parent_component_id"",""component_domain"",""component_type"",""canonical_label"",""review_status"",""notes"""
"数据/condition-sets.csv","29","9bb6717de7c6a038674d563164e40cf94dfe1f1d923fe787339299e77a057ac5","49926","141","21","true","false","142","0","0","true","""condition_set_id"",""condition_fingerprint"",""precision_path_id"",""sparsity_mode"",""sparsity_pattern"",""operation_type"",""operation_count_rule"",""performance_basis"",""support_level"",""power_mode"",""frequency_value"",""frequency_unit"",""software_version"",""workload_stage"",""bandwidth_direction"",""aggregation_scope"",""traffic_basis"",""measurement_scope"",""effective_date"",""review_status"",""notes"""
"数据/facts.csv","57","55a75c496c304062371ce38e566ee839060ee0706259b0b6e24442fb70b9ae3d","250537","621","23","true","false","622","0","0","true","""fact_id"",""object_id"",""component_id"",""link_id"",""object_relation_id"",""precision_path_id"",""capability_id"",""topology_id"",""field_id"",""normalized_value_text"",""normalized_value_number"",""normalized_unit"",""condition_set_id"",""fact_kind"",""evidence_state"",""resolution_state"",""valid_from"",""valid_to"",""confidence"",""confidence_reason"",""fact_fingerprint"",""review_status"",""notes"""
"数据/field-requirements.csv","71","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347","273459","792","16","true","false","793","0","0","true","""requirement_id"",""object_id"",""component_id"",""link_id"",""object_relation_id"",""precision_path_id"",""capability_id"",""topology_id"",""field_id"",""requirement_status"",""applicability_reason"",""search_status"",""last_searched_date"",""requirement_fingerprint"",""review_status"",""notes"""
"数据/links.csv","3","b3b55f4526bfdb9db5ecd848457d87ffc3fa27002d208a109924df40375d0a8d","7430","35","8","true","false","36","0","0","true","""link_id"",""owner_object_id"",""endpoint_a_id"",""endpoint_b_id"",""link_level"",""canonical_label"",""review_status"",""notes"""
"数据/memory-levels.csv","6","5fb8e34f3d0a8be541310b1fd14bae4e73e36b3e7801544584edcf0eac36fbe1","10658","76","6","true","false","77","0","0","true","""memory_level_id"",""parent_memory_level_id"",""level_class"",""canonical_label"",""review_status"",""notes"""
"数据/precision-paths.csv","20","a57944459ff3bb927e5e8b08b119c65e633436dfc59b392f12810420eb2e75b4","20005","122","6","true","false","123","0","0","true","""precision_path_id"",""component_id"",""canonical_label"",""operation_class"",""review_status"",""notes"""
"最小参考资料库/conflict-groups.csv","5","370f536b11f893b56fcdccbcc26a3151536a579586ed9ae20b7e2926c4595054","4975","15","18","true","false","16","0","0","true","""conflict_group_id"",""object_id"",""component_id"",""link_id"",""object_relation_id"",""precision_path_id"",""capability_id"",""topology_id"",""field_id"",""condition_set_id"",""conflict_type"",""resolution_status"",""preferred_fact_id"",""resolution_rationale"",""reviewer"",""review_date"",""review_status"",""notes"""
"最小参考资料库/conflict-members.csv","10","2969fa88cac48a50d6ddd663d22abc7b4888997887efbbfabea28d42d9f98d2d","4849","31","6","true","false","32","0","0","true","""conflict_member_id"",""conflict_group_id"",""fact_id"",""member_role"",""review_status"",""notes"""
"最小参考资料库/fact-assertions.csv","69","be571472611c65a73ff526f77383631f0df61c70e0b3a57d2bfd6f65cbfb089e","311184","611","18","true","false","612","0","0","true","""assertion_id"",""fact_id"",""source_id"",""claim_role"",""assertion_mode"",""assertion_relation"",""raw_value_text"",""raw_value_number"",""raw_unit"",""source_locator"",""quoted_context"",""extraction_status"",""extractor"",""reviewer"",""review_date"",""assertion_fingerprint"",""review_status"",""notes"""
