"claim_id","voter_A","voter_B","voter_C","support_votes","refute_votes","uncertain_votes","verification_status","A_reason","B_reason","C_reason","blocking_summary"
"C01","support","support","support","3","0","0","confirmed_three_support","在标准监督训练且存在优化器更新时，反向传播、梯度、参数更新及激活保存或重算都比固定权重前向推理多；检查点策略只改变保存与重算的比例。此结论不适用于在线学习，且不能据此把推理写成无状态。","S03、S05、S10、S19均把标准训练拆为前向、反向、梯度和更新，并记录反向依赖前向激活；E01把参数、梯度和优化器状态列为训练模型状态，E02又确认半精度激活/梯度与单精度主权重。结论已排除在线学习，也明确不把推理说成无状态，量词和边界成立。","四个固定工作家族直接给出前向、反向、梯度、更新及激活依赖；ZeRO和混合精度训练又分别核对模型状态和主权重。限定为固定权重推理后，KV cache反例不否定该阶段差异。"," |  | "
"C02","support","support","support","3","0","0","confirmed_three_support","PagedAttention与vAttention论文都把KV cache描述为按请求动态变化并受碎片影响，足以反驳“固定权重推理无状态”。该判断限于使用KV缓存的自回归Transformer；前缀缓存、工作区和预留量取决于服务实现。","S04、S11、S13、S15均把自回归推理拆为预填充和逐词解码，并记录随序列增长的KV cache；S15另覆盖前缀缓存、并发和临时状态。E03与E13直接证明每请求KV cache动态增长、碎片会压低可用batch，且管理方案并非唯一。结论限定于自回归Transformer，没有外推到所有推理。","固定语料和两种独立KV内存管理方案都证明KV cache按请求及序列动态增长，碎片会压低可并发batch。前缀缓存和临时空间属于可选实现状态，原结论已用“可能包含”保留条件。"," |  | "
"C03","support","support","support","3","0","0","confirmed_three_support","MLPerf Training按达到规定质量的墙钟时间评价，MLPerf Inference与DistServe分别约束TTFT、TPOT和吞吐，支持两类目标不同。结论只适用于在线生成服务；离线推理没有同样的交互时延约束，训练生产系统还可能另有成本和可靠性目标。","S02、S08、S12、S15分别给出训练完成时间/吞吐/goodput与在线推理延迟、并发和成本目标。E06规定训练基准测达到目标质量的墙钟时间，E07规定LLM服务器场景的TTFT和TPOT约束，E05用同时满足TTFT与TPOT的最大请求率定义goodput。离线推理例外已在结论中保留。","训练基准按达到目标质量的墙钟时间计量，在线LLM推理则必须在TTFT、TPOT和延迟约束下报告吞吐；离线场景的反例也已在适用条件中排除。"," |  | "
"C04","support","support","support","3","0","0","confirmed_three_support","混合精度训练论文直接区分半精度权重、激活、梯度与单精度主权重，并用loss scaling处理梯度下溢；SmoothQuant又说明推理量化仍受激活离群值和内核支持限制。因而分字段记录是可比性要求，不代表每种算法都有独立主权重或固定精度门槛。","S02、S05、S07、S10、S19共同支持训练需区分梯度动态范围、累加和更新路径，而推理更常采用更低位宽。E02直接要求半精度权重/激活/梯度之外保留FP32主权重并使用loss scaling；E12证明W8A8推理可行但激活离群值仍是数值难点。现代低精度训练和推理量化反例因此把差异限定为通常趋势而非固定门槛。","训练证据明确区分低精度乘算、FP32主权重、梯度动态范围和更宽累加；推理W8A8也仍受激活离群值约束。FP8训练说明门槛可移动，但不推翻必须逐状态记录精度。"," |  | "
"C05","support","support","support","3","0","0","confirmed_three_support","S11与SARATHI都把预填充描述为高并行、较易利用计算单元，把逐token解码描述为低利用率并受权重或KV搬运限制；DistServe也用两套时延目标分开配置资源。结论成立于自回归、交互式、低批量场景，大batch、投机解码和内核变化会移动边界。","S04、S11、S12、S13、S15均区分高并行预填充与逐token解码。E04直接报告预填充在小batch即可饱和GPU计算，而解码因每请求每步只生成一个token而计算利用率低；E05又以不同TTFT/TPOT目标和资源配置验证阶段差异。结论使用常、更接近并限定低批交互服务，已容纳大batch、量化和调度改变瓶颈的反例。","多份现代LLM资料和Sarathi/DistServe一致区分高并行预填充与逐token低利用率解码。结论使用“常更接近”并限定低batch，符合Roofline分析；量化、batch和调度会移动而非消除边界。"," |  | "
"C06","support","support","support","3","0","0","confirmed_three_support","PagedAttention、SARATHI和vAttention均显示，增大可并发batch或采用连续批处理能提高权重复用与吞吐，同时KV占用、碎片和调度会约束可用batch；MLPerf还把离线与服务器场景分开。该折中依到达率、序列长度和服务等级目标，不是单调规律。","S02、S08、S12、S13、S18均显示batch提升复用或吞吐但受排队和延迟约束。E03说明高吞吐服务需要足够batch，而动态KV cache和碎片限制batch；E04的chunked prefill与decode-maximal batching直接显示调度可重塑吞吐—延迟折中；E07区分离线与服务器指标。结论没有把静态batch规律写成定律。","在训练中batch主要改变GEMV/GEMM形态和激活容量，在在线推理中连续批处理提高权重复用却引入排队与KV状态。分开解释两类batch后，固定语料和外部系统论文均支持该条件化折中。"," |  | "
"C07","support","support","support","3","0","0","confirmed_three_support","ZeRO和混合精度训练给出参数、梯度、优化器及激活等训练状态，PagedAttention与vAttention给出随并发和序列变化的推理状态。两侧状态集合不同，现有证据没有固定模型、精度、优化器、上下文和并发下的统一胜者，因此否定“某类芯片必然更多HBM”成立。","S04、S05、S11、S15分别记录训练的权重/梯度/优化器/激活状态与推理的权重/KV cache/并发状态。E01证明训练内存由多类模型状态组成，E03证明推理KV cache按请求动态变化且碎片会限制并发。现有证据没有在统一模型、精度、优化器、上下文和并发下形成可比排名，因此不能推出任一用途必然需要更多HBM。","训练状态分解和推理KV状态分解分别有独立证据，但没有同模型、同精度、同并发下的统一测量。因而拒绝无条件HBM容量排序是正确结论；它没有声称两侧容量相等。"," |  | "
"C08","support","support","support","3","0","0","confirmed_three_support","S11和SARATHI支持低批量解码的数据搬运约束，TPU 8i资料只可作为厂商按推理目标调整容量与带宽配比的设计实例。结论中的“可能”是关键：它不证明所有推理芯片都应增加HBM，也不适用于已被大batch或特定内核推到计算受限的解码。","S04、S11对低批解码的低算术强度、权重与KV搬运给出机制证据，S14的同代TPU资源披露和S16的可组合GPU模拟显示推理配置可以提高容量/带宽相对占比。E04独立确认预填充更易饱和计算而逐token解码利用率较低。结论仅说可能，并明确限定现代低批LLM，未把厂商设计意图升级为普适比例。","Roofline与阶段实证支持低batch解码的数据搬运压力；TPU 8i相对8t公开为更低FP4峰值而更高HBM容量、带宽和Vmem，是“可能重新配比”的直接厂商例证。结论没有把该配比写成普遍必然。"," |  | "
"C09","support","support","support","3","0","0","confirmed_three_support","Roofline原始方法要求把工作负载算术强度与计算峰值和所选存储层带宽共同使用；单独的P_peak/B_HBM只是机器侧分界，不能决定用途。对象、精度、稠密性和峰值口径不一致会直接破坏比较，缓存、网络和软件还可能让HBM屋顶失真。","S04与S12给出Roofline公式，S18和S19则展示分母只计权重字节或存储层级改变时结论会变。E11明确要求把算术强度与计算峰值、相应内存层级带宽共同使用，并说明缓存、局部性和软件会使实际性能低于屋顶。因此P_peak/B_HBM不能脱离对象、精度、稠密性和工作负载单独当用途标签。","Roofline要求把工作负载算术强度与同一存储层级的机器脊点比较；仅有P_peak/B_HBM不能决定瓶颈。精度、稀疏口径、对象层级和持续/峰值不一致都会使比较失效。"," |  | "
"C10","support","support","support","3","0","0","confirmed_three_support","固定语料显示同一矩阵核心可执行前向与反向，但反向、更新和小批量解码的形状与非矩阵算子会改变单元利用率；Megatron、DeepSpeed-MoE与SmoothQuant进一步表明并行、压缩和内核实现会改端到端结果。结论只是否定用峰值矩阵算力作充分比较，不声称固定的向量或标量配比。","S05、S10、S14、S16均给出共享矩阵核心但阶段附加操作和形状不同的证据：训练增加反向、更新、归约与集合通信，解码的小batch和非矩阵操作又可能降低阵列利用率。E04直接观测预填充与解码的计算利用率差异，E08说明训练并行调度和通信会改变端到端吞吐。结论没有声称固定单元配比，只反对以峰值矩阵算力替代阶段测量。","前后向共享GEMM但训练另有损失、更新、归约和小张量操作；解码也含小batch、归一化、softmax与通信。固定语料显示大矩阵加速后这些部分受Amdahl定律约束，因此峰值矩阵算力不足以代表端到端。"," |  | "
"C11","uncertain","support","uncertain","1","0","2","not_confirmed","资料能分别证明训练要保存或重算激活、推理解码要管理权重和KV，也能证明片上复用重要；但没有同一现代Transformer硬件上的受控测量，把这些状态映射到寄存器、SRAM、缓存和HBM各层。尤其梯度与KV通常跨片上和片外层级，现证据不足以支持“训练更侧重哪些片上对象”的普遍表述。","S03、S04、S17、S19记录训练激活、梯度、部分和及重算的数据依赖，S14则给出推理导向TPU扩大片上Vmem并以KV cache为设计动机的厂商证据。E11确认复用和所选存储层级会共同改变算术强度与瓶颈。这里的处理KV cache不等于宣称完整KV cache必驻片上，结论落在层次和数据流随阶段变化，口径未混用。","片上层级、复用和阶段工作集变化得到支持，但整句把激活、梯度和部分和并列为“保存或重算”过宽：固定证据主要支持激活检查点重算，且没有同一现代LLM硬件上训练与解码的片上容量受控对照。","缺少同一现代Transformer在训练、预填充和解码三阶段的分层驻留、流量与复用实测；旧CNN片上数据流不能直接补这个缺口 |  | 需把“保存或重算”明确限定到激活，或补充现代LLM同硬件分阶段片上流量/容量证据。"
