"inventory_row","source_family_or_lead","title","located_artifact_or_entry","content_version","endpoint_or_container_relation","fixed_version_status","source_authority","candidate_scope","coverage_03_domains","other_chip_or_object_scope","formal_sources_status","formal_assertions_status","formal_selection_status","preliminary_disposition","specific_gap_or_next_check"
"CAND-R1-GA100-01","nvidia-a100-architecture-whitepaper","NVIDIA A100 Tensor Core GPU Architecture","论文/NVIDIA_GPU/90_官方白皮书与技术资料/2020_NVIDIA_A100_Architecture_Whitepaper.pdf","v1.0; sha256:3a800ad7668ec37037fa5870a8e3bb681b75f19668b3d11492ab9b0da0d58815; 82 pp","one local PDF plus the official direct PDF endpoint","fixed local copy; preferred formal endpoint is local","first_party","Ampere architecture and GA100/A100 implementation; separate die facts from SKU facts","identity;physical;compute;numerics;memory;interconnect;special_engines;software; scheduling limited to MIG/resource partition only","A100 configurations and system examples occur in the same document; do not inherit their values to GA100 die","yes: SFAM-M2NA-NVIDIA-AMPERE-WP-2020 and SRC-M2NA-NVIDIA-AMPERE-WP-2020; source review_status remains draft","yes: 21 reviewed Ampere-architecture assertions; none targets a GA100 die","yes: SELMEM-M2NA-NVIDIA-AMPERE-WP-2020 in SELRUN-M2NA-ARCH-20260812","core; read once and reuse architecture facts through the existing architecture object","Re-read implementation pages for GA100-only process, area, transistor, enabled-unit, memory-interface and interconnect facts; do not copy A100 module, card or DGX values."
"CAND-R1-GA100-02","isscc-2021-a100-ampere","The A100 Datacenter GPU and Ampere Architecture","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_A100_Datacenter_GPU_Ampere_ISSCC.pdf","ISSCC 2021; DOI 10.1109/ISSCC42613.2021.9365803; sha256:55765d2680678ba46045da1902496ddd3995d5964a5f0ef68a99362e2c43b601; 3 pp","local fixed PDF; DOI is the persistent publication endpoint","fixed local copy","NVIDIA-authored conference paper; first-party authorship, peer-reviewed publication","GA100 die and A100 implementation are named together; page-level scope must be split during extraction","identity;physical;compute;numerics;memory;interconnect;special_engines;software; scheduling limited to MIG","A100 product positioning, NVSwitch and multi-GPU context appear with die values","no","no","no","core new GA100-die candidate","Primary local source for die identity, N7 process, area, transistor count and enabled-resource context; verify whether every performance, HBM and NVLink value is die, module, or system scoped."
"CAND-R1-GA100-03","ieee-micro-2021-a100-performance-innovation","NVIDIA A100 Tensor Core GPU: Performance and Innovation","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_NVIDIA_A100_Tensor_Core_GPU_Performance_and_Innovation.pdf","IEEE Micro 41(2), 2021; DOI 10.1109/MM.2021.3061394; sha256:96a0f9053da3c3978f907ee1fee324913bd6b600fec96137738b407e400d700d; 7 pp","standalone local article extraction","fixed local copy","NVIDIA-authored IEEE Micro article; not independent of NVIDIA whitepaper or ISSCC authorship","A100/GA100 implementation plus A100 system and programming examples","physical;compute;numerics;memory;interconnect;special_engines;software;scheduling limited to MIG","DGX A100 and multi-GPU examples are not GA100 die facts","no","no","no","differential read after the whitepaper and ISSCC paper","Keep only source-locatable additions such as cache-residency controls, compression, MIG or asynchronous-programming detail; shared values do not add an independent evidence source."
"CAND-R1-GA100-04","ieee-micro-2021-a100-performance-innovation","IEEE Micro 41(2) full issue containing the A100 article","论文/NVIDIA_GPU/90_官方白皮书与技术资料/2021_IEEE_Micro_41_2_full_issue_source.pdf","full issue; sha256:30b20043ef9d8f36e77f7ff397110088987a4c815aa67077cf7ce7854441bdae; 92 pp","container artifact; A100 article occupies PDF pp.31-37, while the contents page is PDF p.5","fixed local copy but not a separate A100 content version","IEEE publisher issue container","same A100 article plus unrelated issue content","same as CAND-R1-GA100-03 only after page-level equivalence check","unrelated articles must not be treated as GA100 evidence","no","no","no","duplicate container; do not register as a second A100 source","Use only if the seven-page extraction must be repaired or page context is needed; do not read the full issue as independent corroboration."
"CAND-R1-GA100-05","arxiv-2208-11174-ampere-microbenchmark","Demystifying the NVIDIA Ampere Architecture through Microbenchmarking and Instruction-level Analysis","论文/NVIDIA_GPU/02_独立逆向与微基准/2022_Demystifying_NVIDIA_Ampere_Architecture.pdf","arXiv:2208.11174v1; local sha256:86013d806532a281e7878415cc1a55aa426f8fbd8ae0e9dc02285882fbdd8227; 8 pp; inventory also lists DOI 10.1109/HPEC55821.2022.9926299","local preprint and an arXiv PDF URL; equivalence to the listed conference version is unverified","fixed local preprint; conference-version relation needs checking","independent academic microbenchmark","Ampere A100 instruction and microarchitecture measurements; measured claims need their experimental scope","compute;numerics;memory;benchmark","May discuss other Ampere products or ISA context; no cross-product transfer without a stated test device","no","no","no","conditional independent validation","Use only for a named microarchitectural or instruction-latency gap after first-party coverage; do not replace first-party die identity or physical dimensions."
"CAND-R1-GA100-06","arxiv-2405-11425-a100-memory","Enabling Full-Speed Random Access to the Entire Memory on the A100 GPU","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_A100_Full_Speed_Random_Access_Memory.pdf","arXiv:2405.11425v1; sha256:6ca888b92691f06de9d5d15b268f2e2c738c9f0ef44441e6fd785f65a113a8a9; 6 pp","local preprint and arXiv PDF URL","fixed local copy","independent academic microbenchmark","A100 SXM4 80 GB experiment; evidence is conditional measurement rather than an unconditional GA100 design specification","memory;benchmark","40 GB and 80 GB A100 variants are discussed; actual experiment is SXM4 80 GB","no","no","no","conditional independent validation","Potentially fills TLB and random-HBM behavior only with a complete condition set; it cannot promote inferred TLB organization or 80 GB capacity to a general GA100-die fact."
"CAND-R1-GA100-07","nvidia-a100-production-launch-2020","NVIDIA’s New Ampere Data Center GPU in Full Production","历史调研目录 data/sources.csv and references/bibliography.md","published 2020-05-14; only an online edition accessed in 2026 is recorded","NVIDIA News URL is recorded; no local snapshot or hash exists in the mainline","not fixed in this repository","first_party press release","A100 product announcement, availability and vendor positioning; not a GA100-die specification source","identity;software positioning only; no die field should be inferred","A100 platform, deployment and availability language can include HGX, DGX or cloud context","no","no","no","context only after snapshot","If an initial A100 announcement date or product positioning is needed, save and hash a permitted snapshot; never use it as the GA100 die release date without explicit die wording."
"CAND-R1-GA100-08","nvidia-a100-80gb-launch-2020","NVIDIA Doubles Down Announces A100 80GB GPU","历史调研目录 data/sources.csv and references/bibliography.md","published 2020-11-16; only an online edition accessed in 2026 is recorded","NVIDIA News URL is recorded; no local snapshot or hash exists in the mainline","not fixed in this repository","first_party press release","A100 80 GB SKU and HGX product release, not GA100 die","identity;product status;product context only","A100 SXM4 80 GB, HGX and system availability","no","no","no","out of die scope except annotated context","Do not use its release date, 80 GB capacity, form factor or HGX deployment values on GA100 die; obtain only if an explicitly scoped related product record is later required."
"CAND-R1-GA100-09","nvidia-a100-product-page","NVIDIA A100 Tensor Core GPU","历史调研目录 data/sources.csv and references/bibliography.md","online edition accessed 2026-07-11; no immutable revision recorded","current NVIDIA product-page URL; no local snapshot or hash exists in the mainline","dynamic and unfixed","first_party product page","current A100 product-line positioning and specifications, not an automatically identifiable die record","identity;physical;compute;memory;interconnect;software positioning, all subject to SKU disambiguation","A100 40 GB/80 GB, SXM/PCIe and system marketing may share a page","no","no","no","conditional; not needed before fixed local sources are exhausted","If a current product status or a SKU-specific table is needed, first freeze the exact page and split every row by form factor and capacity; no direct GA100-die reuse."
"CAND-R1-GA100-10","nvidia-mig-supported-gpus","NVIDIA Multi-Instance GPU User Guide - Supported GPUs","冻结名单的 GA100 identity URL; historical source index also records the guide for newer products","live documentation; no archived GA100 page version or hash in the mainline","canonical docs URL is known; no local endpoint is registered","dynamic and unfixed","first_party developer documentation","candidate for the official GA100/A100 identity mapping and MIG support boundary, subject to exact table wording","identity;software;scheduling limited to resource partition and MIG support","guide can list GA100, GH100 and later GPUs in one table; read one snapshot once and create separate object-scoped assertions","no","no","no","identity prerequisite; freeze before use","Verify that the page explicitly identifies GA100 and which concrete A100 forms are supported; do not use a support table to infer die process, area, bandwidth or general availability."
