"source_id","source_family_id","title","author_or_organization","source_type","publication_date","version_label","language","source_authority","source_status","content_fingerprint","last_verified_date","review_status","notes"
"SRC-NVIDIA-A100-IEEE-MICRO-2021","SFAM-NVIDIA-A100-IEEE-MICRO-2021","NVIDIA A100 Tensor Core GPU: Performance and Innovation","NVIDIA","architecture_paper","2021-02-23","IEEE Micro 41(2), article current version 2021-03-26, DOI 10.1109/MM.2021.3061394","en","first_party","current","sha256:96a0f9053da3c3978f907ee1fee324913bd6b600fec96137738b407e400d700d","2026-08-21","draft","A100 enabled implementation and Ampere mechanisms, no direct GA100 codename Most physical, peak, NVLink, MIG, and async-copy claims are covered more completely by the whitepaper."
"SRC-NVIDIA-A100-ISSCC-2021","SFAM-NVIDIA-A100-ISSCC-2021","The A100 Datacenter GPU and Ampere Architecture","NVIDIA","architecture_paper","","ISSCC 2021, DOI 10.1109/ISSCC42613.2021.9365803","en","first_party","current","sha256:55765d2680678ba46045da1902496ddd3995d5964a5f0ef68a99362e2c43b601","2026-08-21","draft","A100 die facts require the existing whitepaper or MIG identity chain to map them to GA100 die Do not record 108 SM, 40 MB L2, HBM, clocks, or peak values as unconditional full-GA100 facts."
"SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","SFAM-NVIDIA-A100-RANDOM-ACCESS-2024","Enabling Full-Speed Random Access to the Entire Memory on the A100 GPU","","microbenchmark","2024-05-19","arXiv:2405.11425v1","en","independent_measurement","current","sha256:6ca888b92691f06de9d5d15b268f2e2c738c9f0ef44441e6fd785f65a113a8a9","2026-08-21","draft","A100 SXM4 80GB conditional measurement, driver, CUDA, frequency, power, statistic method, and raw data absent Not a general GA100 HBM bandwidth, TLB-count, or 14-group specification."
"SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","SFAM-NVIDIA-AMPERE-MICROBENCH-2022","Demystifying the NVIDIA Ampere Architecture through Microbenchmarking and Instruction-level Analysis","","microbenchmark","2022-08-23","arXiv:2208.11174v1, HPEC 2022 publication relation unverified","en","independent_measurement","current","sha256:86013d806532a281e7878415cc1a55aa426f8fbd8ae0e9dc02285882fbdd8227","2026-08-21","draft","A100-family test object, exact SKU, CUDA, driver, frequency, power, and final publisher-version equivalence are not reported Do not use background 124 SM, product identity, or unqualified A100 performance values."
"SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","SFAM-NVIDIA-CUDA-C-PROGRAMMING-GUIDE","CUDA C++ Programming Guide","NVIDIA","developer_documentation","","PG-02829-001_v11.0, August 2020, CUDA Toolkit 11.0.3","en","first_party","superseded","sha256:af4235e08e4ebb0f7651896db7ed05344f5e4ae6e9ce5da3cba3bc5ec6c69174","2026-08-21","draft","CUDA API semantics for CC 8.0/A100-enabled GA100 behavior, not a disclosure of GA100 physical implementation No exact publication day is invented from the August 2020 cover."
"SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","NVIDIA GPU Memory Error Management","NVIDIA","developer_documentation","","DA-09826-002_v001, June 2023","en","first_party","superseded","sha256:5d484fe6ce3b577cfbdd378ebf6b3cf3eb18cedc0ec99ec557832bad424306d4","2026-08-21","draft","GA100 memory-RAS mechanisms and A100/GA100 framebuffer recovery boundary Publication month is known, no exact publication day is invented. Later R595 is a same-family revision, not independent evidence."
"SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","SFAM-NVIDIA-GPU-MEMORY-ERROR-MGMT","NVIDIA GPU Memory Error Management","NVIDIA","developer_documentation","","R595 snapshot 2026-08-21","en","first_party","current","manifest-sha256:40a8e5b6617b2f70c85947e1134d60f3766d705509f9344bc77d797767053d4c","2026-08-21","draft","GA100 support matrix and no-RAS-Repair boundary Do not count this source family as an independent confirmation of the June 2023 PDF."
"SRC-NVIDIA-MIG-USER-GUIDE-610","SFAM-NVIDIA-MIG-USER-GUIDE","NVIDIA Multi-Instance GPU User Guide","NVIDIA","developer_documentation","","version 610, snapshot 2026-08-21","en","first_party","current","manifest-sha256:db5c3ac2017d7e40d4f4fa9e82e484166e3a7ee64f1ddd904a7c6b4b696fc91b","2026-08-21","draft","A100-SXM4 and A100-PCIe product mapping to GA100 and CC 8.0, A100 capacities and max instances remain product configuration The manifest file itself is neither an endpoint nor an additional source, one support-table source cannot prove GA100 process, full-design resources, availability, or arbitrary MIG behavior."
"SRC-NVIDIA-PTX-ISA-7-0","SFAM-NVIDIA-PTX-ISA","Parallel Thread Execution ISA","NVIDIA","api_or_isa_documentation","","v7.0, August 2020, CUDA Toolkit 11.0.3","en","first_party","superseded","sha256:a79f4e074eb8f03314025c690ec51fbb79231e35bde612a60d50f4f8ec31f924","2026-08-21","draft","Generic PTX SIMT model and sm_80 instruction semantics, GA100 physical scheduler and engine internals remain unproven PTX is a virtual ISA, do not infer native opcode encoding, pipeline depth, queue depth, or unit count."
"SRC-NVIDIA-PTX-ISA-7-2","SFAM-NVIDIA-PTX-ISA","Parallel Thread Execution ISA","NVIDIA","api_or_isa_documentation","2021-02-09","v7.2, February 2021, CUDA Toolkit 11.2.1","en","first_party","superseded","sha256:9a89c6817d1fd0d3b6357aaf71fbf3c29d08d9c4e12b5eaa6c851297b7d18b97","2026-08-21","draft","Ampere/GA100 software-visible sparse MMA and metadata path at sm_80+, not physical Tensor Core or selector RTL PTX 7.1 is the instruction introduction point cited inside v7.2, do not register v7.2 as the first introduction."
