"capability_id","owner_object_id","component_id","capability_type","canonical_label","review_status","notes"
"CAP-M2NA-AMPERE-SPARSE","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-TENSOR","sparse_skip","Ampere 2:4 structured sparsity acceleration","draft","Tensor Core hardware skips structurally defined zero operands."
"CAP-M2NA-AMPERE-ASYNC","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-ASYNC-COPY","other","Ampere asynchronous copy and barrier","draft","General data movement and synchronization capability."
"CAP-M2NA-AMPERE-MOE","OBJ-NVIDIA-AMPERE-ARCH","","moe_route","Dedicated Ampere MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-AMPERE-TOPK","OBJ-NVIDIA-AMPERE-ARCH","","top_k","Dedicated Ampere top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-ADA-SPARSE","OBJ-NVIDIA-ADA-LOVELACE-ARCH","COMP-M2NA-ADA-TENSOR","sparse_skip","Ada Tensor Core structured sparsity acceleration","draft","Architecture whitepaper retains Tensor Core sparsity support."
"CAP-M2NA-ADA-MOE","OBJ-NVIDIA-ADA-LOVELACE-ARCH","","moe_route","Dedicated Ada MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-ADA-TOPK","OBJ-NVIDIA-ADA-LOVELACE-ARCH","","top_k","Dedicated Ada top-k","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
"CAP-M2NA-BLACKWELL-TE","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-TENSOR","quantize","Blackwell second-generation Transformer Engine","draft","Hardware and software mechanism for micro-tensor scaling and low-precision selection."
"CAP-M2NA-BLACKWELL-SPARSE","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-TENSOR","sparse_skip","Blackwell tcgen05 structured-sparse MMA","draft","Dedicated instruction path exposed through PTX."
"CAP-M2NA-BLACKWELL-TMA","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-TMA","attention_data_move","Blackwell descriptor-driven tensor data movement","draft","General tensor mover used by tiled and attention kernels."
"CAP-M2NA-BLACKWELL-MOE","OBJ-NVIDIA-BLACKWELL-ARCH","","moe_route","Dedicated Blackwell MoE routing","draft","Implementation evidence status is tracked through the capability field requirement and its search record."
