"source_selected_role_id","source_id","selected_role","rationale","review_status","notes"
"SROLE-M2NA-AMD-CDNA2-ISA","SRC-M2NA-AMD-CDNA2-ISA","architecture_mechanism","CDNA 2 MFMA 输入与 C/D 累加格式的独有指令证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA2-WP","SRC-M2NA-AMD-CDNA2-WP","architecture_mechanism","CDNA 2 CU、向量/MFMA、LDS 与 Infinity Fabric 的主架构证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA3-ISA","SRC-M2NA-AMD-CDNA3-ISA","architecture_mechanism","CDNA 3 FP8/BF8、FP16/BF16、INT8 C/D 与 V_SMFMAC 的独有指令证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA3-WP","SRC-M2NA-AMD-CDNA3-WP","architecture_mechanism","CDNA 3 CU、矩阵、缓存层次与 Infinity Fabric 4 的主架构证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA4-ISA","SRC-M2NA-AMD-CDNA4-ISA","architecture_mechanism","CDNA 4 累加格式与稀疏 MFMA 布局的独有指令证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA4-WP","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","CDNA 4 每 CU 吞吐、存储层次、OCP 微缩放、TF32 模拟与 transcendental 路径主证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA5-ISA","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","CDNA 5 FP4/FP8 WMMA、block scale、RNE 与 2:4 SWMMAC 的独有指令证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA5-WP","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","CDNA 5 Wave32 WGP、TDM、LDS/WGP 缓存与 ROCm 映射主证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CDNA-LANDING","SRC-M2NA-AMD-CDNA-LANDING","architecture_mechanism","直接支撑 CDNA 5 以 Infinity Fabric 实现 coherent on-package communication 的架构机制；不以通用代际身份作为入选理由。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-AMD-CES2026-RELEASE","SRC-M2NA-AMD-CES2026-RELEASE","identity","CDNA 6 官方名称与 announced 状态证据；不承载 MI500 实现规格。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-NVIDIA-ADA-WP-2022","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","Ada 的第四代 Tensor Core、FP8 累加选项、统一 L1/共享内存与 CUDA 映射主证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-NVIDIA-AMPERE-WP-2020","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","Ampere 的 Tensor Core 格式、2:4 稀疏、异步复制、统一 L1/共享内存与 NVLink 3 主证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","architecture_mechanism","Blackwell 第五代 Tensor Core、低精度格式、Transformer Engine、NV-HBI/NVLink 5 与 RAS 主证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-NVIDIA-BLACKWELL-HC36-2024","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","architecture_mechanism","Blackwell micro-tensor 缩放和 Transformer Engine 细节的独有演讲证据。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","architecture_mechanism","Blackwell Ultra MUFU.EX2、softmax 映射与相对吞吐增量的唯一直接来源。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-NVIDIA-PTX-ISA-9-3","SRC-M2NA-NVIDIA-PTX-ISA-9-3","architecture_mechanism","Blackwell Tensor Memory、tcgen05.cp 与 tcgen05.mma.sp 程序员语义的独有开发文档。","draft","Staging role; a source may receive additional roles at merge review."
"SROLE-M2NA-NVIDIA-RUBIN-BLOG-20260721","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","architecture_mechanism","Rubin 增强 TMA、3-bit LUT、激活稀疏压缩、指数路径与 counted writes 的观察期主来源。","draft","Staging role; a source may receive additional roles at merge review."
