"conflict_member_id","conflict_group_id","fact_id","member_role","review_status","notes"
"CONFLICT-M2W2-AWS-TRN1-HBM-BW-A","CONFLICT-M2W2-AWS-TRN1-HBM-BW","FACT-M2W2-AWS-TRN1-HBM-BW-GIB","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-TRN1-HBM-BW-B","CONFLICT-M2W2-AWS-TRN1-HBM-BW","FACT-M2W2-AWS-TRN1-HBM-BW-GB","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-INF2-HBM-BW-A","CONFLICT-M2W2-AWS-INF2-HBM-BW","FACT-M2W2-AWS-INF2-HBM-BW-GIB","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-INF2-HBM-BW-B","CONFLICT-M2W2-AWS-INF2-HBM-BW","FACT-M2W2-AWS-INF2-HBM-BW-GB","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-TRN3-HBM-CAPACITY-A","CONFLICT-M2W2-AWS-TRN3-HBM-CAPACITY","FACT-M2W2-AWS-TRN3-HBM-CAPACITY-GIB","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-TRN3-HBM-CAPACITY-B","CONFLICT-M2W2-AWS-TRN3-HBM-CAPACITY","FACT-M2W2-AWS-TRN3-HBM-CAPACITY-GB","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-TRN3-HBM-BW-A","CONFLICT-M2W2-AWS-TRN3-HBM-BW","FACT-M2W2-AWS-TRN3-HBM-BW-49","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-TRN3-HBM-BW-B","CONFLICT-M2W2-AWS-TRN3-HBM-BW","FACT-M2W2-AWS-TRN3-HBM-BW-47","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-TRN3-CC-COUNT-A","CONFLICT-M2W2-AWS-TRN3-CC-COUNT","FACT-M2W2-AWS-TRN3-CC-COUNT-16","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
"CONFLICT-M2W2-AWS-TRN3-CC-COUNT-B","CONFLICT-M2W2-AWS-TRN3-CC-COUNT","FACT-M2W2-AWS-TRN3-CC-COUNT-20","candidate","needs_resolution","保留原始数值、单位、条件和来源定位，等待独立复核。"
