"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-GROQ-LPU1-PROCESS","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-PHY-PROCESS","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-PROCESS","draft","14 nm 属于首颗 ASIC"
"REQ-GROQ-LPU1-CLOCK","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-PHY-CLOCK","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-CLOCK","draft","900 MHz 属于首颗 ASIC"
"REQ-GROQ-LPU1-TRANSISTORS","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-PHY-TRANSISTORS","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-TRANSISTORS","draft","26.8B 属于首颗 ASIC"
"REQ-GROQ-LPU1-DIE-AREA","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-PHY-DIE-AREA","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-DIE-AREA","draft","25×29 mm 只作实现线索"
"REQ-GROQ-LPU1-POWER","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-PHY-POWER","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-POWER","draft","v1.7 功耗属于产品实现"
"REQ-GROQ-LPU1-TOTAL-THROUGHPUT","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-COMP-THROUGHPUT","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-TOTAL-THROUGHPUT","draft","820 TeraOps/s 为首版实现口径"
"REQ-GROQ-LPU1-MXM-FP16-THROUGHPUT","","","","","PP-GROQ-LPU1-MXM-FP16","","","FIELD-COMP-THROUGHPUT","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-MXM-FP16-THROUGHPUT","draft","188 TFLOPs 为 v1.7 产品标签"
"REQ-GROQ-LPU1-MXM-INT8-THROUGHPUT","","","","","PP-GROQ-LPU1-MXM-INT8","","","FIELD-COMP-THROUGHPUT","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-MXM-INT8-THROUGHPUT","draft","750 TOPs 为 v1.7 产品标签"
"REQ-GROQ-LPU1-SRAM-CAPACITY","","CMP-GROQ-LPU1-MEM","","","","","","FIELD-MEM-CAPACITY","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-SRAM-CAPACITY","draft","220 MiB/230 MB 为不同实现修订值"
"REQ-GROQ-LPU1-SRAM-BW","","CMP-GROQ-LPU1-MEM","","","","","","FIELD-MEM-BIDIR-BW","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-SRAM-BW","draft","55 TiB/s/80 TB/s 为实现值"
"REQ-GROQ-LPU1-C2C-COUNT","","","LINK-GROQ-LPU1-C2C","","","","","FIELD-INT-LINK-COUNT","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-C2C-COUNT","draft","具体链路数量不属于代际抽象"
"REQ-GROQ-LPU1-C2C-RATE","","","LINK-GROQ-LPU1-C2C","","","","","FIELD-INT-PER-LINK-RATE","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-C2C-RATE","draft","具体线路速率不属于代际抽象"
"REQ-GROQ-LPU1-C2C-BW","","","LINK-GROQ-LPU1-C2C","","","","","FIELD-INT-AGGREGATE-BW","not_applicable","architecture_generation 不承接具体 die/package/card 的固定实现规格；候选值已移入 implementation-object-backlog.csv。","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-C2C-BW","draft","具体聚合带宽不属于代际抽象"
"REQ-GROQ-LPU1-FP16-PHYSICAL-ACCUM","","","","","PP-GROQ-LPU1-MXM-FP16","","","FIELD-NUM-PHYSICAL-ACCUM","not_found","","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-FP16-PHYSICAL-ACCUM","draft","程序员可见 FP32 accumulation 不等于物理累加器位宽"
"REQ-GROQ-LPU1-SCALING","","","","","PP-GROQ-LPU1-MXM-FP16","","","FIELD-NUM-SCALING-GRANULARITY","not_found","","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-SCALING","draft","TruePoint 未在本包来源中给出可无歧义缩放粒度"
"REQ-GROQ-LPU1-SUBNORMAL","","","","","PP-GROQ-LPU1-MXM-FP16","","","FIELD-NUM-SUBNORMAL","not_found","","completed","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-SUBNORMAL","draft","未找到非规格数语义"
"REQ-GROQ-LPU1-TOPOLOGY","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-INT-TOPOLOGY","inaccessible_evidence","","blocked","2026-08-12","M2-GHC-ARCH|REQ-GROQ-LPU1-TOPOLOGY","draft","ISCA 2022 scale-out 论文全文当前受远端挑战/522 限制"
