"cell_id","signoff_row_id","column_name","old_value","new_value","change_state","change_class","reason"
"MI455X-REBASE-CELL-00001","MI455X-SIGN-0001","signoff_row_id","MI455X-SIGN-0001","MI455X-SIGN-0001","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00002","MI455X-SIGN-0001","binding_kind","lifecycle_pk_write","lifecycle_pk_write","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00003","MI455X-SIGN-0001","source_path","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","审计/子代理交接/m2_staging/M2-W3-AMD-MI455X-MODULE/structured/card-completeness.csv","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00004","MI455X-SIGN-0001","source_sha256","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","cc683484036e9aa42321b5ce09166da03c36cb9c8b52495c075ad2b7fa376523","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00005","MI455X-SIGN-0001","source_bytes","2876","2876","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00006","MI455X-SIGN-0001","target_path","数据/card-completeness.csv","数据/card-completeness.csv","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00007","MI455X-SIGN-0001","pk_column","card_completeness_id","card_completeness_id","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00008","MI455X-SIGN-0001","pk_value","COMPLETE-M2W3-AMD-MI455X-IDENTITY","COMPLETE-M2W3-AMD-MI455X-IDENTITY","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00009","MI455X-SIGN-0001","source_review_status","draft","draft","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00010","MI455X-SIGN-0001","authorized_review_status","reviewed","reviewed","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00011","MI455X-SIGN-0001","semantic_status_column","","","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
"MI455X-REBASE-CELL-00012","MI455X-SIGN-0001","semantic_status_before","","","unchanged","unchanged","Cell is byte-for-byte equivalent after CSV parsing."
