"requirement_id","fact_id","mapping_status","notes"
"REQ-M2W2-AWS-PKG-001","FACT-M2W2-AWS-INF1-NCV1-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-002","FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-003","FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-004","FACT-M2W2-AWS-INF1-DRAM-CAPACITY","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-005","FACT-M2W2-AWS-INF1-DRAM-BW","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-006","FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-007","FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-008","FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-009","FACT-M2W2-AWS-TRN1-NCV2-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-010","FACT-M2W2-AWS-TRN1-CHIP-INT8-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-011","FACT-M2W2-AWS-TRN1-CHIP-MIXED-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-012","FACT-M2W2-AWS-TRN1-CHIP-FP32-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-013","FACT-M2W2-AWS-TRN1-HBM-CAPACITY","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-014","FACT-M2W2-AWS-TRN1-HBM-BW-GIB","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-014","FACT-M2W2-AWS-TRN1-HBM-BW-GB","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-015","FACT-M2W2-AWS-TRN1-DMA-BW","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-016","FACT-M2W2-AWS-TRN1-DMA-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-017","FACT-M2W2-AWS-TRN1-CC-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-018","FACT-M2W2-AWS-TRN1-NEURONLINK-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-019","FACT-M2W2-AWS-INF2-NCV2-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-020","FACT-M2W2-AWS-INF2-CHIP-INT8-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-021","FACT-M2W2-AWS-INF2-CHIP-MIXED-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-022","FACT-M2W2-AWS-INF2-CHIP-FP32-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-023","FACT-M2W2-AWS-INF2-HBM-CAPACITY","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-024","FACT-M2W2-AWS-INF2-HBM-BW-GIB","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-024","FACT-M2W2-AWS-INF2-HBM-BW-GB","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-025","FACT-M2W2-AWS-INF2-DMA-BW","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-026","FACT-M2W2-AWS-INF2-DMA-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-027","FACT-M2W2-AWS-INF2-CC-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-028","FACT-M2W2-AWS-INF2-NEURONLINK-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-029","FACT-M2W2-AWS-TRN3-NCV4-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-030","FACT-M2W2-AWS-TRN3-CHIP-MX-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-031","FACT-M2W2-AWS-TRN3-CHIP-MIXED-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-031","FACT-M2W2-AWS-TRN3-CHIP-SPARSE-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-032","FACT-M2W2-AWS-TRN3-CHIP-FP32-PEAK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-033","FACT-M2W2-AWS-TRN3-NCV4-TENSOR-MX","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-034","FACT-M2W2-AWS-TRN3-NCV4-TENSOR-MIXED","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-035","FACT-M2W2-AWS-TRN3-NCV4-TENSOR-FP32","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-036","FACT-M2W2-AWS-TRN3-NCV4-VECTOR-FP32","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-037","FACT-M2W2-AWS-TRN3-NCV4-SCALAR-FP32","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-038","FACT-M2W2-AWS-TRN3-NCV4-TENSOR-CLOCK","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-039","FACT-M2W2-AWS-TRN3-SBUF-CAPACITY","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-040","FACT-M2W2-AWS-TRN3-PSUM-CAPACITY","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-041","FACT-M2W2-AWS-TRN3-HBM-CAPACITY-GIB","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-041","FACT-M2W2-AWS-TRN3-HBM-CAPACITY-GB","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-042","FACT-M2W2-AWS-TRN3-HBM-BW-49","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-042","FACT-M2W2-AWS-TRN3-HBM-BW-47","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-043","FACT-M2W2-AWS-TRN3-HBM-STACKS","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-044","FACT-M2W2-AWS-TRN3-DMA-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-045","FACT-M2W2-AWS-TRN3-DMA-BW","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-046","FACT-M2W2-AWS-TRN3-CC-COUNT-16","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-046","FACT-M2W2-AWS-TRN3-CC-COUNT-20","mapped","同一要求的冲突候选成员。"
"REQ-M2W2-AWS-PKG-047","FACT-M2W2-AWS-TRN3-NEURONLINK-COUNT","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-048","FACT-M2W2-AWS-TRN3-NEURONLINK-BW","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-049","FACT-M2W2-AWS-TRN3-PROCESS","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-050","FACT-M2W2-AWS-TRN3-HBM-TYPE","mapped","唯一可用候选事实。"
"REQ-M2W2-AWS-PKG-071","FACT-M2W2-AWS-TRN3-CHIP-FP8-GENERIC","mapped","A08 generic FP8 独立事实。"
