"fact_id","target_kind","target_id","field_id","normalized_value","normalized_unit","fact_kind","resolution_state","source_id","source_locator","extraction_status","reuse_disposition"
"FACT-AWS-TRN2-NCV3-COUNT","component","CMP-AWS-TRN2-NCV3","FIELD-COMP-UNIT-COUNT","8","count","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-MAIN-DMA-COUNT","component","CMP-AWS-TRN2-MAIN-DMA","FIELD-COMP-UNIT-COUNT","128","count","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-GPSIMD-PROC-COUNT","component","CMP-AWS-TRN2-GPSIMD-PROCESSOR","FIELD-COMP-UNIT-COUNT","8","count","direct_statement","provisional","SRC-AWS-TRN2-S02","Gpsimd Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-GPSIMD-ISSUE-WIDTH","component","CMP-AWS-TRN2-GPSIMD-PROCESSOR","FIELD-COMP-ISSUE-WIDTH","512","bit","direct_statement","provisional","SRC-AWS-TRN2-S03","GPSIMD engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-DGE-COUNT","component","CMP-AWS-TRN2-DGE","FIELD-COMP-UNIT-COUNT","2","count","direct_statement","provisional","SRC-AWS-TRN2-S02","Descriptor Generation Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CCCORE-COUNT-16","component","CMP-AWS-TRN2-CC-CORE","FIELD-COMP-UNIT-COUNT","16","count","direct_statement","conflict_member","SRC-AWS-TRN2-S01","Collective communication","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CCCORE-COUNT-20","component","CMP-AWS-TRN2-CC-CORE","FIELD-COMP-UNIT-COUNT","20","count","direct_statement","conflict_member","SRC-AWS-TRN2-S02","Trainium2 Device Diagram","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-ARRAY-SHAPE","component","CMP-AWS-TRN2-TENSOR","FIELD-COMP-ARRAY-SHAPE","128x128 physical systolic processing-element array","","direct_statement","provisional","SRC-AWS-TRN2-S04","Performance mode and Tiling mode","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP8-TILE","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-COMP-INSTRUCTION-TILE","Maximum documented double-row example: M=128, K=256, N=512","","direct_statement","provisional","SRC-AWS-TRN2-S04","Tile size","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-EXECUTION-RATES","component","CMP-AWS-TRN2-TENSOR","FIELD-COMP-EXECUTION","Dense FP8 input 4x128 elements/cycle; BF16/FP16 input 2x128; structured-sparse input 5x128; output 1x128","","direct_statement","provisional","SRC-AWS-TRN2-S02","Tensor Engine","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP8-OPERAND-A","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-NUM-OPERAND-A","float8_e4m3 or float8_e5m2","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP8-OPERAND-B","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-NUM-OPERAND-B","float8_e4m3 or float8_e5m2","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP8-ACCUM","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-NUM-ACCUMULATION","FP32 internal accumulation semantics","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-FP8-OUTPUT","precision_path","PP-AWS-TRN2-TENSOR-FP8","FIELD-NUM-OUTPUT","FP32 PSUM destination tile","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types and Memory types","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-TENSOR-BF16-OPERAND-A","precision_path","PP-AWS-TRN2-TENSOR-BF16","FIELD-NUM-OPERAND-A","BF16","","direct_statement","provisional","SRC-AWS-TRN2-S04","Data types","source_checked","reference_existing_fact_do_not_copy"
