"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2W3-AMD-MI350P-RELEASE-DATE","REQ-M2W3-AMD-MI350P-RELEASE-DATE","2026-08-13","Exact review of fixed MI350P product page, LE-93401-00 05/26 brochure and 2026-05-07 official article; D-1 and D-7 fixed identity snapshots were also checked in the source-gate audit.","product_page;product_brief;other","no_reliable_result","m2_w3_mi350p_source_prep","draft","No source states a MI350P product release or launch date; an article publication date is not substituted."
"SEARCH-M2W3-AMD-MI350P-AVAILABILITY-DATE","REQ-M2W3-AMD-MI350P-AVAILABILITY-DATE","2026-08-13","Exact review of fixed MI350P product page, LE-93401-00 05/26 brochure and 2026-05-07 official article; D-1 and D-7 fixed identity snapshots were also checked in the source-gate audit.","product_page;product_brief;other","no_reliable_result","m2_w3_mi350p_source_prep","draft","Available status is evidenced by 2026-05-07, but no source states the first availability date."
"SEARCH-M2W3-AMD-MI350P-HBM-STACKS","REQ-M2W3-AMD-MI350P-HBM-STACKS","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","No reliable first-party value states the MI350P physical HBM stack count."
"SEARCH-M2W3-AMD-MI350P-DIE-AREA","REQ-M2W3-AMD-MI350P-DIE-AREA","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","No selected first-party source gives MI350P XCD, IOD or total die area."
"SEARCH-M2W3-AMD-MI350P-OPERAND-A","REQ-M2W3-AMD-MI350P-OPERAND-A","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","Product peak row names do not establish a common MI350P A-operand contract."
"SEARCH-M2W3-AMD-MI350P-OPERAND-B","REQ-M2W3-AMD-MI350P-OPERAND-B","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","Product peak row names do not establish a common MI350P B-operand contract."
"SEARCH-M2W3-AMD-MI350P-PRODUCT-FORMAT","REQ-M2W3-AMD-MI350P-PRODUCT-FORMAT","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","No selected source states a MI350P product/intermediate format for the published peak rows."
"SEARCH-M2W3-AMD-MI350P-ACCUMULATION","REQ-M2W3-AMD-MI350P-ACCUMULATION","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","No selected source binds a programmer-visible accumulation format to the published MI350P product peak paths."
"SEARCH-M2W3-AMD-MI350P-PHYSICAL-ACCUM","REQ-M2W3-AMD-MI350P-PHYSICAL-ACCUM","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","No selected source predicates physical internal accumulator width or semantics on MI350P."
"SEARCH-M2W3-AMD-MI350P-OUTPUT-FORMAT","REQ-M2W3-AMD-MI350P-OUTPUT-FORMAT","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","The OCP-FP8 peak labels do not state output encoding or conversion conditions."
"SEARCH-M2W3-AMD-MI350P-SPECIAL-IMPLEMENTATION","REQ-M2W3-AMD-MI350P-SPECIAL-IMPLEMENTATION","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","No selected source identifies a MI350P-dedicated MoE routing, Top-K, sorting or sampling implementation."
"SEARCH-M2W3-AMD-MI350P-RUNTIME-VERSION","REQ-M2W3-AMD-MI350P-RUNTIME-VERSION","2026-08-13","Exact review of fixed MI350P product page, fixed brochure, dated official article, existing CDNA 4 whitepaper record and existing CDNA 4 ISA record; D-1 and D-7 fixed identity snapshots were checked outside structured source registration.","product_page;product_brief;other;architecture_whitepaper;api_or_isa_documentation","no_reliable_result","m2_w3_mi350p_source_prep","draft","No selected source establishes a minimum MI350P runtime, compiler or library version."
