"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PPATH-NVIDIA-H100-FP8","COMP-NVIDIA-H100-TENSOR-CORE","FP8 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-FP16-TENSOR","COMP-NVIDIA-H100-TENSOR-CORE","FP16 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-BF16-TENSOR","COMP-NVIDIA-H100-TENSOR-CORE","BF16 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-TF32","COMP-NVIDIA-H100-TENSOR-CORE","TF32 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-FP64-TENSOR","COMP-NVIDIA-H100-TENSOR-CORE","FP64 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-INT8","COMP-NVIDIA-H100-TENSOR-CORE","INT8 Tensor Core","matrix","draft","H100 SXM5 theoretical Tensor Core peak path."
"PPATH-NVIDIA-H100-FP16-CUDA","COMP-NVIDIA-H100-CUDA-FP32","FP16 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-BF16-CUDA","COMP-NVIDIA-H100-CUDA-FP32","BF16 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-FP32-CUDA","COMP-NVIDIA-H100-CUDA-FP32","FP32 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-FP64-CUDA","COMP-NVIDIA-H100-CUDA-FP64","FP64 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
"PPATH-NVIDIA-H100-INT32-CUDA","COMP-NVIDIA-H100-CUDA-INT32","INT32 CUDA core","other","needs_resolution","Non-Tensor SIMT compute path. The schema classification remains unresolved because NVIDIA does not publish a separate aggregate vector or scalar peak."
