"source_id","title","primary_url","fulltext_url","source_type","work_family_id","organization_family","publish_date","version","planned_reading","raw_kind","planned_raw_file","planned_text_file","access_date","access_status","final_url","local_raw_path","local_text_path","sha256","bytes","page_count","license_access_note","agent_status","notes"
"S01","SoK: Hardware Specialization for AI/ML","https://alenkruth.com/media/paper/sok-hardware_specialization_for_ai_ml.pdf","https://alenkruth.com/media/paper/sok-hardware_specialization_for_ai_ml.pdf","课程综述PDF","WF-S01-SOK","University of Virginia","2022","Fall 2022","全文精读","pdf","原文/PDF/S01_hardware_specialization_ai_ml.pdf","原文/规范化文本/S01_hardware_specialization_ai_ml.txt","2026-08-14","fixed","https://alenkruth.com/media/paper/sok-hardware_specialization_for_ai_ml.pdf","原文/PDF/S01_hardware_specialization_ai_ml.pdf","原文/规范化文本/S01_hardware_specialization_ai_ml.txt","原文/PDF/S01_hardware_specialization_ai_ml.pdf=B7C7F63FF1E422799B503BF98E15B5458ED956B9BDAE7BEC9BCA1CA188AAEA17","原文/PDF/S01_hardware_specialization_ai_ml.pdf=679388","10","公开直链，未见明确再发布许可","completed","低一级证据；绝对化训练/推理表述须复核"
"S02","ColTraIn: Co-located DNN Training and Inference","https://infoscience.epfl.ch/record/280118/files/EPFL_TH10265.pdf","https://infoscience.epfl.ch/record/280118/files/EPFL_TH10265.pdf","博士论文PDF","WF-COLTRAIN","EPFL ColTraIn","2020","Thèse 10265","正文全篇；重点第2至7章","pdf","原文/PDF/S02_coltrain_thesis.pdf","原文/规范化文本/S02_coltrain_thesis.txt","2026-08-14","fixed","https://infoscience.epfl.ch/record/280118/files/EPFL_TH10265.pdf","原文/PDF/S02_coltrain_thesis.pdf","原文/规范化文本/S02_coltrain_thesis.txt","原文/PDF/S02_coltrain_thesis.pdf=6E5CCE32785965DE6FFEDD237F1485691B1902BF4AB4CC030A06AEE03C1289B9","原文/PDF/S02_coltrain_thesis.pdf=2348374","115","EPFL公开仓储","completed","与S06同一工作家族，不独立计票"
"S03","A Survey of Accelerator Architectures for Deep Neural Networks","https://www.engineering.org.cn/engi/EN/PDF/10.1016/j.eng.2020.01.007","https://www.engineering.org.cn/engi/EN/PDF/10.1016/j.eng.2020.01.007","开放综述论文PDF","WF-CHEN-DNN-SURVEY","Engineering journal authors","2020-01-29","Engineering 6(3)","全文精读","pdf","原文/PDF/S03_dnn_accelerator_survey.pdf","原文/规范化文本/S03_dnn_accelerator_survey.txt","2026-08-14","fixed","https://www.engineering.org.cn/engi/EN/PDF/10.1016/j.eng.2020.01.007","原文/PDF/S03_dnn_accelerator_survey.pdf","原文/规范化文本/S03_dnn_accelerator_survey.txt","原文/PDF/S03_dnn_accelerator_survey.pdf=0DDFA021D2F5733C085CBD7EC8444FD1ECBE879119BA04E1C414AAE667AF6866","原文/PDF/S03_dnn_accelerator_survey.pdf=2687203","11","CC BY-NC-ND","completed","传统DNN语境"
"S04","Introduction to Machine Learning Systems: Hardware Acceleration","https://harvard-edge.github.io/cs249r_book_dev/vol1/hw_acceleration/hw_acceleration.html","https://harvard-edge.github.io/cs249r_book_dev/vol1/hw_acceleration/hw_acceleration.html","在线教材HTML","WF-HARVARD-MLSYS-TEXTBOOK","Harvard Edge","2026-07-27","Volume I v0.7.1","全篇扫描；精读数值、存储、Roofline和多芯片","html","原文/网页快照/S04_hardware_acceleration.html","原文/规范化文本/S04_hardware_acceleration.txt","2026-08-14","fixed","https://harvard-edge.github.io/cs249r_book_dev/vol1/hw_acceleration/hw_acceleration.html","原文/网页快照/S04_hardware_acceleration.html","原文/规范化文本/S04_hardware_acceleration.txt","原文/网页快照/S04_hardware_acceleration.html=7EAE727D054CC6EBA448BE0F1F02E9BDC2B160CC0F67C71BDFC08C124F18E673","原文/网页快照/S04_hardware_acceleration.html=885913","","动态开发版网页，固定访问日期","completed","网页定位用章节标题"
"S05","Hardware Accelerators for Training Deep Neural Networks","https://web.stanford.edu/~perdavan/DNNTrain/","https://web.stanford.edu/~perdavan/DNNTrain/DNNTrain3_Printable.pdf","ISCA教程讲义PDF","WF-STANFORD-DNNTRAIN-TUTORIAL","Stanford DNNTrain tutorial","2019-06-23","ISCA 2019 printable slides","全部幻灯片视觉核对","html+pdf","原文/网页快照/S05_dnntrain_landing.html|原文/PDF/S05_dnntrain_printable.pdf","原文/规范化文本/S05_dnntrain_printable.txt","2026-08-14","fixed","https://web.stanford.edu/~perdavan/DNNTrain/DNNTrain3_Printable.pdf","原文/网页快照/S05_dnntrain_landing.html|原文/PDF/S05_dnntrain_printable.pdf","原文/规范化文本/S05_dnntrain_printable.txt","原文/网页快照/S05_dnntrain_landing.html=E0D659C3B005E160191594DACF5971E1121CEDF9DE9C0022530237CCEFF52F61|原文/PDF/S05_dnntrain_printable.pdf=BB8040B52D5E0C7128E82418C6F56C1FE08705A4BDE61830FA1474F25D2D6846","原文/网页快照/S05_dnntrain_landing.html=6588|原文/PDF/S05_dnntrain_printable.pdf=46022454","251","公开教程页和讲义","completed","仅训练侧；不能单独完成双边比较"
"S06","Numerical Encoding for DNN Accelerators","https://www.sigarch.org/numerical-encoding-for-dnn-accelerators/","https://www.sigarch.org/numerical-encoding-for-dnn-accelerators/","专业组织博客HTML","WF-COLTRAIN","EPFL ColTraIn","2021-09-20","网页访问版","全文精读","html","原文/网页快照/S06_numerical_encoding.html","原文/规范化文本/S06_numerical_encoding.txt","2026-08-14","fixed","https://www.sigarch.org/numerical-encoding-for-dnn-accelerators/","原文/网页快照/S06_numerical_encoding.html","原文/规范化文本/S06_numerical_encoding.txt","原文/网页快照/S06_numerical_encoding.html=8364A17C0AAB222654C365218CD2B030733E6E8ED9ED2DDD7DC50DE392906725","原文/网页快照/S06_numerical_encoding.html=231613","","作者观点，不代表ACM","completed","与S02同一工作家族"
"S07","Survey and Benchmarking of Machine Learning Accelerators","https://www.ll.mit.edu/r-d/publications/survey-and-benchmarking-machine-learning-accelerators","https://arxiv.org/pdf/1908.11348","会议论文PDF+机构元数据HTML","WF-REUTHER-SURVEY","MIT Lincoln Laboratory","2019-09-24","arXiv 1908.11348v1 / HPEC 2019","全文精读","html+pdf","原文/网页快照/S07_mit_metadata.html|原文/PDF/S07_ml_accelerator_survey.pdf","原文/规范化文本/S07_ml_accelerator_survey.txt","2026-08-14","fixed","https://arxiv.org/pdf/1908.11348","原文/网页快照/S07_mit_metadata.html|原文/PDF/S07_ml_accelerator_survey.pdf","原文/规范化文本/S07_ml_accelerator_survey.txt","原文/网页快照/S07_mit_metadata.html=B0B0E41AC7F7099791A8266F3C8BB32D0C8AC87AE353B2B3B8D1C1C28C556362|原文/PDF/S07_ml_accelerator_survey.pdf=546D49CFE58E692C0CC99163AF63D9E42A2C350A2FDFABA6B1146EBCC758798F","原文/网页快照/S07_mit_metadata.html=75568|原文/PDF/S07_ml_accelerator_survey.pdf=890699","9","arXiv公开全文；保留DOI元数据","completed","偏边缘推理；不覆盖HBM与算术强度"
"S08","2023 IRDS Applications Benchmarking","https://irds.ieee.org/images/files/pdf/2023/2023IRDS_AB.pdf","https://irds.ieee.org/images/files/pdf/2023/2023IRDS_AB.pdf","IEEE路线图PDF","WF-IEEE-IRDS-2023","IEEE IRDS","2023","2023 Update","全篇扫描；精读5.2节和相关表","pdf","原文/PDF/S08_irds_applications_benchmarking.pdf","原文/规范化文本/S08_irds_applications_benchmarking.txt","2026-08-14","fixed","https://irds.ieee.org/images/files/pdf/2023/2023IRDS_AB.pdf","原文/PDF/S08_irds_applications_benchmarking.pdf","原文/规范化文本/S08_irds_applications_benchmarking.txt","原文/PDF/S08_irds_applications_benchmarking.pdf=E8CC87D544BFE3F82DEB12F50F95F9202BA7D43A49DE87DA3D03472F0D0720AD","原文/PDF/S08_irds_applications_benchmarking.pdf=3509898","51","IEEE公开路线图","completed","区分观测值与预测值"
"S09","Survey of Deployment Locations and Underlying Hardware Architectures for Contemporary Deep Neural Networks","https://journals.sagepub.com/doi/10.1177/1550147719868669","https://journals.sagepub.com/doi/10.1177/1550147719868669","开放综述论文HTML","WF-KOTLAR-DEPLOYMENT-SURVEY","SAGE survey authors","2019-08-15","Volume 15 Issue 8","HTML全文精读","official_webview_text","原文/网页快照/S09_deployment_architecture_survey.webview.txt","原文/规范化文本/S09_deployment_architecture_survey.txt","2026-08-14","partial_fixed_official_webview;raw_html_and_pdf_http_403","https://journals.sagepub.com/doi/10.1177/1550147719868669","原文/网页快照/S09_deployment_architecture_survey.webview.txt","原文/规范化文本/S09_deployment_architecture_survey.txt","原文/网页快照/S09_deployment_architecture_survey.webview.txt=F18ABC4C5E4D65930806C407DA9E4C1D712F819E8D754D551B1FB0F770FE0830","原文/网页快照/S09_deployment_architecture_survey.webview.txt=35480","","CC BY 4.0；原始HTML/PDF自动下载HTTP 403，未绕过访问控制","completed","官方正文可见；原始HTML与PDF脚本下载均返回HTTP 403，保存网页读取工具的可见正文快照"
"S10","Deep Learning for Computer Architects","https://pages.cs.wisc.edu/~remzi/Classes/838/Fall2020/Papers/deep-learning-for-architects.pdf","https://pages.cs.wisc.edu/~remzi/Classes/838/Fall2020/Papers/deep-learning-for-architects.pdf","专著课程镜像PDF","WF-DEEP-LEARNING-COMPUTER-ARCHITECTS","Morgan and Claypool authors","2017","DOI 10.2200/S00783ED1V01Y201706CAC041","全篇扫描；精读3.3.4、第4至5章","pdf","原文/PDF/S10_deep_learning_computer_architects.pdf","原文/规范化文本/S10_deep_learning_computer_architects.txt","2026-08-14","fixed","https://pages.cs.wisc.edu/~remzi/Classes/838/Fall2020/Papers/deep-learning-for-architects.pdf","原文/PDF/S10_deep_learning_computer_architects.pdf","原文/规范化文本/S10_deep_learning_computer_architects.txt","原文/PDF/S10_deep_learning_computer_architects.pdf=EDC8BE30832D914122EE42DDF0FF890A607E9E76A07367E957FBAE9CDF170A9F","原文/PDF/S10_deep_learning_computer_architects.pdf=7113512","125","课程镜像；版权限制，内部研究使用","completed","页码体系按固定副本"
