"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-M2W2-AMD-HELIOS-0001","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-NAME","value_available","Observation card requires a source-backed product name.","completed","2026-08-13","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-NAME","draft","Covered by a fixed object-matched AMD page."
"REQ-M2W2-AMD-HELIOS-0002","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-OBJECT-TYPE","value_available","The rack observation boundary requires an explicit object class.","completed","2026-08-13","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-OBJECT-TYPE","draft","Normalized to rack from direct rackscale wording and form."
"REQ-M2W2-AMD-HELIOS-0003","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-PHY-FORM-FACTOR","value_available","The reference design has a directly stated rack form.","completed","2026-08-13","OBJ-AMD-HELIOS-72-MI455X|FIELD-PHY-FORM-FACTOR","draft","Open, double-wide ORW rack."
"REQ-M2W2-AMD-HELIOS-0004","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-VENDOR-POSITIONING","value_available","Reference-design and non-sale boundaries must remain explicit.","completed","2026-08-13","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-VENDOR-POSITIONING","draft","One requirement covers two atomic vendor-positioning facts."
"REQ-M2W2-AMD-HELIOS-0005","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-STATUS","value_available","A dated observation card requires announced versus available state.","completed","2026-08-13","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-STATUS|2026-08-12","draft","Early look plus expected 2H 2026 deployments supports announced only."
"REQ-M2W2-AMD-HELIOS-0006","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-PHY-COOLING","value_available","The official rack page directly describes coolant delivery.","completed","2026-08-13","OBJ-AMD-HELIOS-72-MI455X|FIELD-PHY-COOLING","draft","Normalized to liquid."
"REQ-M2W2-AMD-HELIOS-0007","","","","OREL-AMD-HELIOS-CONTAINS-MI455X","","","","FIELD-REL-QUANTITY","value_available","The existing physical containment relation needs a source-backed quantity.","completed","2026-08-13","OREL-AMD-HELIOS-CONTAINS-MI455X|FIELD-REL-QUANTITY","draft","Two fixed first-party pages directly state 72."
"REQ-M2W2-AMD-HELIOS-0008","","","","","PPATH-M2W2-AMD-HELIOS-AI-UNSPEC","","","FIELD-COMP-THROUGHPUT","value_available","The dated CES release directly states a rack AI-exaflops value.","completed","2026-08-13","PPATH-M2W2-AMD-HELIOS-AI-UNSPEC|FIELD-COMP-THROUGHPUT","needs_resolution","Datatype and operation-count definition remain unresolved."
"REQ-M2W2-AMD-HELIOS-0009","","","","","PPATH-M2W2-AMD-HELIOS-MXFP4","","","FIELD-COMP-THROUGHPUT","value_available","The fixed rack page directly states peak MXFP4 throughput.","completed","2026-08-13","PPATH-M2W2-AMD-HELIOS-MXFP4|FIELD-COMP-THROUGHPUT","draft","No dense or sparse predicate is inferred."
"REQ-M2W2-AMD-HELIOS-0010","","","","","PPATH-M2W2-AMD-HELIOS-MXFP8","","","FIELD-COMP-THROUGHPUT","value_available","The fixed rack page directly states peak MXFP8 throughput.","completed","2026-08-13","PPATH-M2W2-AMD-HELIOS-MXFP8|FIELD-COMP-THROUGHPUT","draft","No dense or sparse predicate is inferred."
"REQ-M2W2-AMD-HELIOS-0011","","COMP-M2W2-AMD-HELIOS-HBM4-AGG","","","","","","FIELD-MEM-CAPACITY","value_available","The fixed rack page directly states system-total HBM4 capacity.","completed","2026-08-13","COMP-M2W2-AMD-HELIOS-HBM4-AGG|FIELD-MEM-CAPACITY","draft","Direct rack total; no module multiplication."
"REQ-M2W2-AMD-HELIOS-0012","","COMP-M2W2-AMD-HELIOS-HBM4-AGG","","","","","","FIELD-MEM-BIDIR-BW","value_available","The fixed MI400 page directly states rackscale memory bandwidth.","completed","2026-08-13","COMP-M2W2-AMD-HELIOS-HBM4-AGG|FIELD-MEM-BIDIR-BW","draft","Direction remains not specified."
"REQ-M2W2-AMD-HELIOS-0013","","","LINK-M2W2-AMD-HELIOS-SCALEUP","","","","","FIELD-INT-AGGREGATE-BW","value_available","The fixed rack page directly states aggregate scale-up bandwidth.","completed","2026-08-13","LINK-M2W2-AMD-HELIOS-SCALEUP|FIELD-INT-AGGREGATE-BW","draft","System total; direction not specified."
"REQ-M2W2-AMD-HELIOS-0014","","","LINK-M2W2-AMD-HELIOS-SCALEUP","","","","","FIELD-INT-PROTOCOL","value_available","The fixed rack page directly names the scale-up protocol.","completed","2026-08-13","LINK-M2W2-AMD-HELIOS-SCALEUP|FIELD-INT-PROTOCOL","draft","UALink over Ethernet (UALoE)."
"REQ-M2W2-AMD-HELIOS-0015","","","LINK-M2W2-AMD-HELIOS-SCALEOUT","","","","","FIELD-INT-AGGREGATE-BW","value_available","The fixed rack page directly states scale-out bandwidth.","completed","2026-08-13","LINK-M2W2-AMD-HELIOS-SCALEOUT|FIELD-INT-AGGREGATE-BW","draft","System total; direction and payload basis not specified."
"REQ-M2W2-AMD-HELIOS-0016","","","LINK-M2W2-AMD-HELIOS-SCALEOUT","","","","","FIELD-INT-PROTOCOL","value_available","The fixed rack page directly identifies the scale-out networking family.","completed","2026-08-13","LINK-M2W2-AMD-HELIOS-SCALEOUT|FIELD-INT-PROTOCOL","draft","Ethernet-based AMD Pensando networking."
"REQ-M2W2-AMD-HELIOS-0017","","","","","","","TOPO-M2W2-AMD-HELIOS-SCALEUP","FIELD-INT-TOPOLOGY","value_available","The fixed rack diagram describes a UALoE multi-plane network with all-to-all GPU connectivity.","completed","2026-08-13","TOPO-M2W2-AMD-HELIOS-SCALEUP|FIELD-INT-TOPOLOGY","draft","Normalized to switched_fabric from the multi-plane network wording. All-to-all reachability is retained without a physical complete-graph, single-hop or nonblocking inference."
