"source_id","url","cutoff_date","proposed_snapshot_name","reason","snapshot_status","review_status"
"SRC-M2-GA-A01","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/general/arch/neuron-hardware/inferentia.html","2026-08-12","A01_Inferentia_Architecture_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-A07","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium3_arch.html","2026-08-12","A07_Trainium3_Architecture_Guide_for_NKI_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G05","https://docs.cloud.google.com/tpu/docs/system-architecture-tpu-vm","2026-08-12","G05_TPU_architecture_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G06","https://docs.cloud.google.com/tpu/docs/v3","2026-08-12","G06_TPU_v3_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G07","https://docs.cloud.google.com/tpu/docs/v4","2026-08-12","G07_TPU_v4_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G08","https://docs.cloud.google.com/tpu/docs/v5e","2026-08-12","G08_TPU_v5e_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G09","https://docs.cloud.google.com/tpu/docs/v5p","2026-08-12","G09_TPU_v5p_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G10","https://docs.cloud.google.com/tpu/docs/v6e","2026-08-12","G10_TPU_v6e_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G11","https://docs.cloud.google.com/tpu/docs/tpu7x","2026-08-12","G11_TPU7x_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G12","https://docs.cloud.google.com/tpu/docs/performance-guide","2026-08-12","G12_Ironwood_performance_guide_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
"SRC-M2-GA-G15","https://openxla.org/xla/sparsecore","2026-08-12","G15_A_deep_dive_into_SparseCore_for_Large_Embedding_Models_2026-08-12.html","动态官方页承载架构机制或当前状态；正式合并时需固定截止日内容","candidate_not_downloaded","draft"
