"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"CARD-R1-GA100-BENCHMARK","OBJ-NVIDIA-GA100-DIE","benchmark","missing_public_data","2026-08-21","r1_ga100_atomic_staging","draft","A100 microbenchmark cycles and random-access observations lack a formal product subject and complete conditions. They are not GA100 facts."
"CARD-R1-GA100-COMPUTE","OBJ-NVIDIA-GA100-DIE","compute","partial","2026-08-21","r1_ga100_atomic_staging","draft","Full-design component counts, SM structure, and one per-SM dense FP16 FMA path are staged. Array shape and many implementation limits remain gaps."
"CARD-R1-GA100-ECONOMICS","OBJ-NVIDIA-GA100-DIE","economics","missing_public_data","2026-08-21","r1_ga100_atomic_staging_v2","draft","A completed field-specific local search found no standalone GA100 bare-die public price. A100 card/module prices and qualitative cost language are different objects or non-price statements."
"CARD-R1-GA100-EVIDENCE","OBJ-NVIDIA-GA100-DIE","evidence","partial","2026-08-21","r1_ga100_atomic_staging_v2","draft","The v2 reverse-removal draft selects seven sources, including ISSCC for independent LR-PHY and conflict evidence. Nineteen stable payload copies, formal application, Windows hard gates, and independent signature remain outstanding."
"CARD-R1-GA100-IDENTITY","OBJ-NVIDIA-GA100-DIE","identity","partial","2026-08-21","r1_ga100_atomic_staging","draft","Name, family, type, vendor, and architecture relation are staged. Status, availability, release, positioning, and administrative cutoff remain unresolved."
"CARD-R1-GA100-INTERCONNECT","OBJ-NVIDIA-GA100-DIE","interconnect","partial","2026-08-21","r1_ga100_atomic_staging_v2","draft","PCIe 4.0 x16 and the GA100-owned NVLink interface class are represented without assuming quantity. Architecture NVLink3 fault, remote-memory, and LR-PHY mechanisms are covered; count, lane/rate normalization, injection/aggregate bandwidth, absolute latency, and topology remain targeted gaps."
"CARD-R1-GA100-MEMORY","OBJ-NVIDIA-GA100-DIE","memory","partial","2026-08-21","r1_ga100_atomic_staging_v2","draft","Covered: per-SM 262144-byte register file, four register-file groups, 196608-byte combined L1/shared memory, L2 identity, and architecture-projected L1/shared management/locality. Still unresolved or missing: usable and L2 capacity, read/write/bidirectional bandwidth, per-cycle transfers, seconds latency, banks, ports, granularity, read/write model, consistency, pooling, virtual memory, compression, and full-die aggregates."
"CARD-R1-GA100-NUMERICS","OBJ-NVIDIA-GA100-DIE","numerics","partial","2026-08-21","r1_ga100_atomic_staging_v2","draft","Nine Tensor paths now have exact A/B/program-visible accumulation closure, including the FP16-to-FP16 variant. TF32 output is direct; every other product, physical-accumulation, output, rounding, scaling, saturation, subnormal, and sparsity cell has a path-specific fact or requirement."
"CARD-R1-GA100-PHYSICAL","OBJ-NVIDIA-GA100-DIE","physical","partial","2026-08-21","r1_ga100_atomic_staging","draft","Foundry, process, area, and transistor count are staged. Die count, clock, power, and HBM-interface total are unresolved. Package-related fields are not applicable."
"CARD-R1-GA100-RELIABILITY","OBJ-NVIDIA-GA100-DIE","reliability","partial","2026-08-21","r1_ga100_atomic_staging","draft","GA100 DPO, row remapping, containment, detection, and recovery are staged with driver, HBM, application, and reset conditions."
"CARD-R1-GA100-SCHEDULING","OBJ-NVIDIA-GA100-DIE","scheduling","partial","2026-08-21","r1_ga100_atomic_staging","draft","Ampere split barriers and warp reduction are covered. Product CUDA Graph and MIG scheduling behavior are not promoted to full-GA100 facts."
"CARD-R1-GA100-SOFTWARE","OBJ-NVIDIA-GA100-DIE","software","partial","2026-08-21","r1_ga100_atomic_staging","draft","CUDA 11.0 and PTX 7.x target documentation is staged. Product MIG behavior and CUDA Graph claims remain conditional or excluded."
"CARD-R1-GA100-SPECIAL-ENGINES","OBJ-NVIDIA-GA100-DIE","special_engines","partial","2026-08-21","r1_ga100_atomic_staging","draft","OFA, video decode, sparse MMA, async copy, and warp reduction are covered. Each other template mechanism has its own evidence target and gap."
