"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2W2-AMD-HELIOS-NAME","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-NAME","AMD Helios Rackscale Solution","","","COND-NONE","direct_statement","single_source","provisional","","","high","Object-matched first-party page directly names the solution.","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-NAME|AMD Helios Rackscale Solution","draft","Observation-card identity; not an orderable SKU."
"FACT-M2W2-AMD-HELIOS-OBJECT-TYPE","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-OBJECT-TYPE","rack","","","COND-NONE","direct_statement","single_source","provisional","","","high","AMD repeatedly calls Helios a rackscale solution and places it in a double-wide ORW rack.","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-OBJECT-TYPE|rack","draft","Normalized object enum; source wording is retained in the assertion."
"FACT-M2W2-AMD-HELIOS-FORM-FACTOR","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-PHY-FORM-FACTOR","open, double-wide Open Rack Wide (ORW) rack","","","COND-NONE","direct_statement","single_source","provisional","","","high","The fixed Helios page directly states the rack form.","OBJ-AMD-HELIOS-72-MI455X|FIELD-PHY-FORM-FACTOR|double-wide-ORW","draft","ORW means Open Rack Wide."
"FACT-M2W2-AMD-HELIOS-REFERENCE-DESIGN","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-VENDOR-POSITIONING","AMD first rackscale AI reference design","","","COND-M2W2-AMD-HELIOS-OBS-20260812","direct_statement","single_source","provisional","","","high","Direct AMD FAQ wording from the fixed Helios page.","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-VENDOR-POSITIONING|first-rackscale-AI-reference-design","draft","Vendor positioning only; no cross-vendor conclusion."
"FACT-M2W2-AMD-HELIOS-NOT-FOR-SALE","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-VENDOR-POSITIONING","reference design, not a product for sale","","","COND-M2W2-AMD-HELIOS-OBS-20260812","direct_statement","single_source","provisional","","","high","AMD explicitly distinguishes the reference design from a product for sale.","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-VENDOR-POSITIONING|not-product-for-sale","draft","OEM and ODM partners may build branded systems from the blueprint."
"FACT-M2W2-AMD-HELIOS-STATUS-EXPECTED-2H26","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-ID-STATUS","announced","","","COND-M2W2-AMD-HELIOS-OBS-20260812","direct_statement","corroborated","provisional","2026-01-05","","high","A dated AMD release records an early look; the fixed product page says volume deployments are expected in 2H 2026, not already available.","OBJ-AMD-HELIOS-72-MI455X|FIELD-ID-STATUS|announced|2026-01-05","draft","Do not normalize expected deployments to available, production_ramp or delivered."
"FACT-M2W2-AMD-HELIOS-COOLING","OBJ-AMD-HELIOS-72-MI455X","","","","","","","FIELD-PHY-COOLING","liquid","","","COND-M2W2-AMD-HELIOS-OBS-20260812","direct_statement","single_source","provisional","","","high","AMD directly describes liquid coolant delivery to compute and switch trays.","OBJ-AMD-HELIOS-72-MI455X|FIELD-PHY-COOLING|liquid","draft","Normalized cooling_mode enum."
"FACT-M2W2-AMD-HELIOS-MI455X-QTY","","","","OREL-AMD-HELIOS-CONTAINS-MI455X","","","","FIELD-REL-QUANTITY","","72","count","COND-M2W2-AMD-HELIOS-OBS-20260812","direct_statement","corroborated","provisional","","","high","Two fixed first-party product pages directly state 72 MI455X GPUs in Helios.","OREL-AMD-HELIOS-CONTAINS-MI455X|FIELD-REL-QUANTITY|72|count","draft","Direct relationship quantity; not inferred from the object ID."
"FACT-M2W2-AMD-HELIOS-AI-EXAFLOPS-UNSPEC","","","","","PPATH-M2W2-AMD-HELIOS-AI-UNSPEC","","","FIELD-COMP-THROUGHPUT","","3000000000000000000","FLOP/s","COND-M2W2-AMD-HELIOS-AI-UNSPEC-20260105","direct_statement","source_with_caveat","provisional","2026-01-05","","medium","AMD directly states 3 AI exaflops, but does not define datatype or operation counting in the cited release.","PPATH-M2W2-AMD-HELIOS-AI-UNSPEC|FIELD-COMP-THROUGHPUT|3000000000000000000|FLOP/s","needs_resolution","Unit-only normalization from exaFLOPS. Keep separate from MXFP4 and MXFP8."
"FACT-M2W2-AMD-HELIOS-MXFP4-PEAK","","","","","PPATH-M2W2-AMD-HELIOS-MXFP4","","","FIELD-COMP-THROUGHPUT","","2900000000000000000","FLOP/s","COND-M2W2-AMD-HELIOS-OCP-MXFP-PEAK","direct_statement","corroborated","provisional","","","high","Two fixed first-party pages directly state the system-level precision-specific peak.","PPATH-M2W2-AMD-HELIOS-MXFP4|FIELD-COMP-THROUGHPUT|2900000000000000000|FLOP/s","draft","Unit-only normalization from exaFLOPS. The separate MXFP4 precision path shares the common OCP peak condition with MXFP8; dense versus sparse is not stated, and system-manufacturer configurations may vary."
"FACT-M2W2-AMD-HELIOS-MXFP8-PEAK","","","","","PPATH-M2W2-AMD-HELIOS-MXFP8","","","FIELD-COMP-THROUGHPUT","","1400000000000000000","FLOP/s","COND-M2W2-AMD-HELIOS-OCP-MXFP-PEAK","direct_statement","corroborated","provisional","","","high","Two fixed first-party pages directly state the system-level precision-specific peak.","PPATH-M2W2-AMD-HELIOS-MXFP8|FIELD-COMP-THROUGHPUT|1400000000000000000|FLOP/s","draft","Unit-only normalization from exaFLOPS. The separate MXFP8 precision path shares the common OCP peak condition with MXFP4; dense versus sparse is not stated, and system-manufacturer configurations may vary."
"FACT-M2W2-AMD-HELIOS-HBM4-CAP","","COMP-M2W2-AMD-HELIOS-HBM4-AGG","","","","","","FIELD-MEM-CAPACITY","","31000000000000","byte","COND-M2W2-AMD-HELIOS-OBS-20260812","direct_statement","single_source","provisional","","","high","AMD directly states 31 TB of HBM4 for a full Helios rack.","COMP-M2W2-AMD-HELIOS-HBM4-AGG|FIELD-MEM-CAPACITY|31000000000000|byte","draft","Decimal TB normalization; direct rack total with the package observation-date condition; no 72x multiplication."
"FACT-M2W2-AMD-HELIOS-HBM4-BW","","COMP-M2W2-AMD-HELIOS-HBM4-AGG","","","","","","FIELD-MEM-BIDIR-BW","","1670000000000000","byte/s","COND-M2W2-AMD-HELIOS-HBM4-BW","direct_statement","single_source","provisional","","","medium","The fixed MI400 page directly states rackscale memory bandwidth, while direction is not specified.","COMP-M2W2-AMD-HELIOS-HBM4-AGG|FIELD-MEM-BIDIR-BW|1670000000000000|byte/s","draft","Field is the aggregate-or-bidirectional slot; condition preserves direction_not_specified."
"FACT-M2W2-AMD-HELIOS-SCALEUP-BW","","","LINK-M2W2-AMD-HELIOS-SCALEUP","","","","","FIELD-INT-AGGREGATE-BW","","260000000000000","byte/s","COND-M2W2-AMD-HELIOS-SCALEUP","direct_statement","single_source","provisional","","","high","AMD directly labels 260 TB/s as aggregate scale-up bandwidth.","LINK-M2W2-AMD-HELIOS-SCALEUP|FIELD-INT-AGGREGATE-BW|260000000000000|byte/s","draft","Direction is not specified; do not interpret as per-GPU or bidirectional."
"FACT-M2W2-AMD-HELIOS-SCALEOUT-BW","","","LINK-M2W2-AMD-HELIOS-SCALEOUT","","","","","FIELD-INT-AGGREGATE-BW","","43000000000000","byte/s","COND-M2W2-AMD-HELIOS-SCALEOUT","direct_statement","single_source","provisional","","","medium","AMD directly states 43 TB/s of scale-out bandwidth; direction and payload basis are not stated.","LINK-M2W2-AMD-HELIOS-SCALEOUT|FIELD-INT-AGGREGATE-BW|43000000000000|byte/s","draft","System-level rack egress; no per-NIC or per-GPU inference."
"FACT-M2W2-AMD-HELIOS-SCALEUP-PROTOCOL","","","LINK-M2W2-AMD-HELIOS-SCALEUP","","","","","FIELD-INT-PROTOCOL","UALink over Ethernet (UALoE)","","","COND-M2W2-AMD-HELIOS-SCALEUP","direct_statement","single_source","provisional","","","high","The fixed Helios page names UALink over Ethernet and the UALoE abbreviation.","LINK-M2W2-AMD-HELIOS-SCALEUP|FIELD-INT-PROTOCOL|UALoE","draft","Protocol name only; no payload-efficiency claim."
"FACT-M2W2-AMD-HELIOS-SCALEOUT-PROTOCOL","","","LINK-M2W2-AMD-HELIOS-SCALEOUT","","","","","FIELD-INT-PROTOCOL","Ethernet-based AMD Pensando networking","","","COND-M2W2-AMD-HELIOS-SCALEOUT","direct_statement","single_source","provisional","","","high","AMD directly describes the scale-out fabric as Ethernet-based Pensando networking.","LINK-M2W2-AMD-HELIOS-SCALEOUT|FIELD-INT-PROTOCOL|Ethernet-Pensando","draft","No Ethernet generation or line encoding is inferred."
"FACT-M2W2-AMD-HELIOS-SCALEUP-TOPOLOGY","","","","","","","TOPO-M2W2-AMD-HELIOS-SCALEUP","FIELD-INT-TOPOLOGY","switched_fabric","","","COND-M2W2-AMD-HELIOS-SCALEUP","direct_statement","single_source","provisional","","","high","AMD describes a UALoE multi-plane network with all-to-all GPU connectivity. This supports a switched fabric, not a physical complete graph.","TOPO-M2W2-AMD-HELIOS-SCALEUP|FIELD-INT-TOPOLOGY|switched_fabric","draft","All-to-all reachability is preserved in the assertion. No physical complete-graph, single-hop or nonblocking guarantee is inferred."
