"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-GROQ-LPU1-FP16-PHYSICAL-ACCUM","REQ-GROQ-LPU1-FP16-PHYSICAL-ACCUM","2026-08-12","Groq ISCA 2020 full text; GroqChip brief v1.7; targeted field FIELD-NUM-PHYSICAL-ACCUM","architecture_paper; product_brief","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-GROQ-LPU1-SCALING","REQ-GROQ-LPU1-SCALING","2026-08-12","Groq ISCA 2020 full text; GroqChip brief v1.7; targeted field FIELD-NUM-SCALING-GRANULARITY","architecture_paper; product_brief","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-GROQ-LPU1-SUBNORMAL","REQ-GROQ-LPU1-SUBNORMAL","2026-08-12","Groq ISCA 2020 full text; GroqChip brief v1.7; targeted field FIELD-NUM-SUBNORMAL","architecture_paper; product_brief","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-GROQ-LPU1-TOPOLOGY","REQ-GROQ-LPU1-TOPOLOGY","2026-08-12","Groq ISCA 2020 full text; GroqChip brief v1.7; targeted field FIELD-INT-TOPOLOGY","architecture_paper; product_brief","blocked","M2-GHC-ARCH","draft","远端访问限制，不是沙箱或审批问题"
"SEARCH-GROQ-LPU1-MOE-ROUTE","REQ-GROQ-LPU1-MOE-ROUTE","2026-08-12","Groq ISCA 2020 full text; GroqChip brief v1.7; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","architecture_paper; product_brief","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-GROQ-LPU1-TOPK","REQ-GROQ-LPU1-TOPK","2026-08-12","Groq ISCA 2020 full text; GroqChip brief v1.7; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","architecture_paper; product_brief","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-MXM-EXACT-FORMATS","REQ-NVG3-MXM-EXACT-FORMATS","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-NUM-OPERAND-A","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-MXM-ACCUM","REQ-NVG3-MXM-ACCUM","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-NUM-ACCUMULATION","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-MXM-PHYSICAL-ACCUM","REQ-NVG3-MXM-PHYSICAL-ACCUM","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-NUM-PHYSICAL-ACCUM","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-VXM-FORMATS","REQ-NVG3-VXM-FORMATS","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-NUM-OPERAND-A","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-ROUNDING","REQ-NVG3-ROUNDING","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-NUM-ROUNDING","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-SCALING","REQ-NVG3-SCALING","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-NUM-SCALING-GRANULARITY","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-TOPOLOGY-CLASS","REQ-NVG3-TOPOLOGY-CLASS","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-INT-TOPOLOGY-DIMENSIONS","developer_documentation; product_page","candidate_found","M2-GHC-ARCH","draft","候选表述尚不能映射为正式枚举"
"SEARCH-NVG3-MOE-ROUTE","REQ-NVG3-MOE-ROUTE","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-NVG3-TOPK","REQ-NVG3-TOPK","2026-08-12","NVIDIA Groq 3 architecture/C2C blogs and LPX product page; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-PHYSICAL-ACCUM","REQ-HUAWEI-DV-PHYSICAL-ACCUM","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-NUM-PHYSICAL-ACCUM","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-ROUNDING","REQ-HUAWEI-DV-ROUNDING","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-NUM-ROUNDING","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-SCALING","REQ-HUAWEI-DV-SCALING","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-NUM-SCALING-GRANULARITY","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-SATURATION","REQ-HUAWEI-DV-SATURATION","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-NUM-SATURATION","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-SUBNORMAL","REQ-HUAWEI-DV-SUBNORMAL","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-NUM-SUBNORMAL","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-INT8-OUTPUT","REQ-HUAWEI-DV-INT8-OUTPUT","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-NUM-OUTPUT","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-SCALAR-THROUGHPUT","REQ-HUAWEI-DV-SCALAR-THROUGHPUT","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-COMP-THROUGHPUT","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-VECTOR-THROUGHPUT","REQ-HUAWEI-DV-VECTOR-THROUGHPUT","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-COMP-THROUGHPUT","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-MOE-ROUTE","REQ-HUAWEI-DV-MOE-ROUTE","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-HUAWEI-DV-TOPK","REQ-HUAWEI-DV-TOPK","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-EXECUTION","REQ-CAMBRICON-MLUARCH05-EXECUTION","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-COMP-EXECUTION","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-MATRIX","REQ-CAMBRICON-MLUARCH05-MATRIX","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-COMP-ARRAY-SHAPE","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-MATRIX-THROUGHPUT","REQ-CAMBRICON-MLUARCH05-MATRIX-THROUGHPUT","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-COMP-THROUGHPUT","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-VECTOR","REQ-CAMBRICON-MLUARCH05-VECTOR","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-COMP-INSTRUCTION-TILE","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-SCALAR","REQ-CAMBRICON-MLUARCH05-SCALAR","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-COMP-ISSUE-WIDTH","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-FORMATS","REQ-CAMBRICON-MLUARCH05-FORMATS","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-NUM-OPERAND-A","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-ACCUM","REQ-CAMBRICON-MLUARCH05-ACCUM","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-NUM-ACCUMULATION","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-PHYSICAL-ACCUM","REQ-CAMBRICON-MLUARCH05-PHYSICAL-ACCUM","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-NUM-PHYSICAL-ACCUM","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-MEM-HIERARCHY","REQ-CAMBRICON-MLUARCH05-MEM-HIERARCHY","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-MEM-NAME","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-MEM-CAPACITY","REQ-CAMBRICON-MLUARCH05-MEM-CAPACITY","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-MEM-CAPACITY","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-MEM-BW","REQ-CAMBRICON-MLUARCH05-MEM-BW","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-MEM-BIDIR-BW","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-INTERCONNECT","REQ-CAMBRICON-MLUARCH05-INTERCONNECT","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-INT-TOPOLOGY","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-INTERCONNECT-BW","REQ-CAMBRICON-MLUARCH05-INTERCONNECT-BW","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-INT-AGGREGATE-BW","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-BANG-MAPPING","REQ-CAMBRICON-MLUARCH05-BANG-MAPPING","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-SW-PROGRAMMING-MODEL","press_release; source_code; developer_documentation; product_page","blocked","M2-GHC-ARCH","draft","远端访问限制，不是沙箱或审批问题"
"SEARCH-CAMBRICON-MLUARCH05-MOE-ROUTE","REQ-CAMBRICON-MLUARCH05-MOE-ROUTE","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-CAMBRICON-MLUARCH05-TOPK","REQ-CAMBRICON-MLUARCH05-TOPK","2026-08-12","Cambricon WAIC MLU590, fixed MLU-OPS commit, official product pages and CNToolkit access attempt; targeted field FIELD-CAP-IMPLEMENTATION-DETAIL","press_release; source_code; developer_documentation; product_page","no_reliable_result","M2-GHC-ARCH","draft","按计划检查可访问一手来源，未发现可靠定值或专用模块证据"
"SEARCH-GROQ-LPU1-ROUNDING-MODE","REQ-GROQ-LPU1-ROUNDING-MODE","2026-08-12","Groq ISCA 2020 full text, especially PDF p.9 matrix numerics; targeted FIELD-NUM-ROUNDING","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","找到 single rounding step at the end 的阶段说明，但未找到 RNE、RTZ、stochastic 等舍入模式"
"SEARCH-HUAWEI-DV-CUBE-FP16-ACCUM","REQ-HUAWEI-DV-CUBE-FP16-ACCUM","2026-08-12","Da Vinci Hot Chips 2019 and Ascend HPCA 2021 full texts; targeted FIELD-NUM-ACCUMULATION","architecture_paper","no_reliable_result","M2-GHC-ARCH","draft","只找到 FP16 source 和 FP32 destination，未找到可把 destination 认定为 accumulation 的直接表述"
