"fact_id","source_id","claim_role","source_locator","raw_value_text","raw_value_number","raw_unit"
"FACT-M2NA-AMPERE-SM-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.22, Figure 7, GA100 Streaming Multiprocessor labels","FP32, INT32, FP64, TENSOR CORE, LD/ST, SFU, Warp Scheduler, Dispatch Unit","",""
"FACT-M2NA-AMPERE-TENSOR-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.20, A100 SM Architecture","third-generation Tensor Cores","",""
"FACT-M2NA-AMPERE-TENSOR-FORMATS","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.20, Third-generation Tensor Cores bullet","FP16, BF16, TF32, FP64, INT8, INT4, Binary","",""
"FACT-M2NA-AMPERE-CUDA-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.22, Figure 7, SM processing-block labels","FP32 and INT32 datapaths","",""
"FACT-M2NA-AMPERE-ASYNC-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, A100 SM feature bullets","new asynchronous copy instruction","",""
"FACT-M2NA-AMPERE-L1SMEM-MGMT","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, A100 SM feature bullets","combined shared memory and L1 data cache","",""
"FACT-M2NA-AMPERE-L1SMEM-SCOPE","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.15, A100 GPU Key Features Summary","per SM","",""
"FACT-M2NA-AMPERE-FP16-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, Tensor Core feature bullets","FP16","",""
"FACT-M2NA-AMPERE-FP16-B","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, Tensor Core feature bullets","FP16","",""
"FACT-M2NA-AMPERE-FP16-ACC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, Tensor Core feature bullets","FP32","",""
"FACT-M2NA-AMPERE-BF16-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, Tensor Core feature bullets","BF16","",""
"FACT-M2NA-AMPERE-BF16-ACC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, Tensor Core feature bullets","FP32","",""
"FACT-M2NA-AMPERE-TF32-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, Tensor Core feature bullets","TF32 on FP32 input/output data","",""
"FACT-M2NA-AMPERE-TF32-ACC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, Tensor Core feature bullets","FP32 input/output data","",""
"FACT-M2NA-AMPERE-FP64-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.15, A100 SM section","IEEE-compliant FP64","",""
"FACT-M2NA-AMPERE-INT-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.20, Third-generation Tensor Cores bullet","INT8, INT4, Binary","",""
"FACT-M2NA-AMPERE-SPARSE-LEVEL","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.32, Sparse Matrix Multiply-Accumulate Operations","Sparse MMA instructions","",""
"FACT-M2NA-AMPERE-SPARSE-DETAIL","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.32, Sparse Matrix Multiply-Accumulate Operations","skip compute on zero-valued entries","",""
"FACT-M2NA-AMPERE-ASYNC-LEVEL","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.21, A100 SM feature bullets","asynchronous copy instruction","",""
"FACT-M2NA-AMPERE-NVLINK-PROTOCOL","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF pp.16-17, Third-Generation NVLink","Third-generation NVLink","",""
"FACT-M2NA-AMPERE-SW","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","PDF p.17, Asynchronous Barrier","CUDA 11 barrier objects","",""
"FACT-M2NA-ADA-SM-EXEC","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.10, Ada SM processing-block paragraph","CUDA Cores, Ada Fourth-Generation Tensor Core, Load/Store units, Special Function Unit","",""
"FACT-M2NA-ADA-TENSOR-EXEC","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF pp.8, 10, Ada SM","Ada Fourth-Generation Tensor Core","",""
"FACT-M2NA-ADA-TENSOR-FORMATS","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF pp.24, 27 and p.30 Table 2","FP8, FP16, BF16, TF32, INT8, INT4","",""
"FACT-M2NA-ADA-L1SMEM-MGMT","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.12, Memory Subsystem","unified L1 data cache or shared memory","",""
"FACT-M2NA-ADA-L1SMEM-SCOPE","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.12, Memory Subsystem","Ada SM","",""
"FACT-M2NA-ADA-FP8-A","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.30, Table 2, FP8 Tensor rows","FP8","",""
"FACT-M2NA-ADA-FP8-ACC","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.30, Table 2, FP8 Tensor rows","FP16 or FP32 accumulate","",""
"FACT-M2NA-ADA-FP16-ACC","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.30, Table 2, FP16 Tensor rows","FP16 or FP32 accumulate","",""
"FACT-M2NA-ADA-BF16-ACC","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.30, Table 2, BF16 Tensor row","FP32 accumulate","",""
"FACT-M2NA-ADA-TF32-A","SRC-M2NA-NVIDIA-ADA-WP-2022","architecture_mechanism","PDF p.30, Table 2, TF32 Tensor row","TF32","",""
